Date,Time,Sunshine time,Air temperature,Precipitation,Snow depth,export,Price
01-01-2019,00:00:00,0,274.1,22.3,1.22,3.201,28.32
01-01-2019,01:00:00,0,274.1,22.3,1.22,3.234,10.07
01-01-2019,02:00:00,0,274.1,22.3,1.22,3.449,10.03
01-01-2019,03:00:00,0,274.1,22.3,1.22,3.624,4.56
01-01-2019,04:00:00,0,274.1,22.3,1.22,3.507,4.83
01-01-2019,05:00:00,0,274.1,22.3,1.22,3.524,8.09
01-01-2019,06:00:00,0,274.1,22.3,1.22,3.384,25.54
01-01-2019,07:00:00,0,274.1,22.3,1.22,3.268,39.16
01-01-2019,08:00:00,0,274.1,22.3,1.22,2.857,37.66
01-01-2019,09:00:00,8599,274.1,22.3,1.22,3.01,21.52
01-01-2019,10:00:00,19554,274.1,22.3,1.22,2.964,28.25
01-01-2019,11:00:00,19175,274.1,22.3,1.22,2.795,19.29
01-01-2019,12:00:00,20405,274.1,22.3,1.22,2.822,19.32
01-01-2019,13:00:00,13646,274.1,22.3,1.22,3.14,16.21
01-01-2019,14:00:00,5259,274.1,22.3,1.22,2.965,21.47
01-01-2019,15:00:00,0,274.1,22.3,1.22,2.871,32.69
01-01-2019,16:00:00,0,274.1,22.3,1.22,2.891,29.34
01-01-2019,17:00:00,0,274.1,22.3,1.22,2.985,30.19
01-01-2019,18:00:00,0,274.1,22.3,1.22,2.987,30.09
01-01-2019,19:00:00,0,274.1,22.3,1.22,2.433,29.58
01-01-2019,20:00:00,0,274.1,22.3,1.22,2.863,36.91
01-01-2019,21:00:00,0,274.1,22.3,1.22,3.038,33.14
01-01-2019,22:00:00,0,274.1,22.3,1.22,3.06,21.61
01-01-2019,23:00:00,0,274.1,22.3,1.22,2.976,4.04
02-01-2019,00:00:00,0,-24,22.2,1.15,2.817,9.7
02-01-2019,01:00:00,0,-24,22.2,1.15,2.837,6.32
02-01-2019,02:00:00,0,-24,22.2,1.15,2.802,4.35
02-01-2019,03:00:00,0,-24,22.2,1.15,3.141,8.81
02-01-2019,04:00:00,0,-24,22.2,1.15,3.24,22.67
02-01-2019,05:00:00,0,-24,22.2,1.15,2.84,43.28
02-01-2019,06:00:00,0,-24,22.2,1.15,2.707,44.64
02-01-2019,07:00:00,0,-24,22.2,1.15,2.794,49.64
02-01-2019,08:00:00,0,-24,22.2,1.15,2.846,49.96
02-01-2019,09:00:00,12894,-24,22.2,1.15,3.058,50.74
02-01-2019,10:00:00,18000,-24,22.2,1.15,2.689,49.99
02-01-2019,11:00:00,19174,-24,22.2,1.15,3.083,50.25
02-01-2019,12:00:00,20371,-24,22.2,1.15,3.209,49.94
02-01-2019,13:00:00,21114,-24,22.2,1.15,3.357,49.97
02-01-2019,14:00:00,16477,-24,22.2,1.15,2.737,50.93
02-01-2019,15:00:00,1250,-24,22.2,1.15,2.485,52.38
02-01-2019,16:00:00,0,-24,22.2,1.15,2.63,54.67
02-01-2019,17:00:00,0,-24,22.2,1.15,2.752,55.58
02-01-2019,18:00:00,0,-24,22.2,1.15,2.489,55.39
02-01-2019,19:00:00,0,-24,22.2,1.15,2.613,54.9
02-01-2019,20:00:00,0,-24,22.2,1.15,2.331,53.86
02-01-2019,21:00:00,0,-24,22.2,1.15,1.876,52.71
02-01-2019,22:00:00,0,-24,22.2,1.15,0.975,52.09
02-01-2019,23:00:00,0,-24,22.2,1.15,0.612,50.76
03-01-2019,00:00:00,0,-102.6,37,1.34,0.554,49.8
03-01-2019,01:00:00,0,-102.6,37,1.34,0.395,48.89
03-01-2019,02:00:00,0,-102.6,37,1.34,0.367,48.31
03-01-2019,03:00:00,0,-102.6,37,1.34,0.474,48.4
03-01-2019,04:00:00,0,-102.6,37,1.34,1.214,48.79
03-01-2019,05:00:00,0,-102.6,37,1.34,1.346,49.61
03-01-2019,06:00:00,0,-102.6,37,1.34,1.658,51.17
03-01-2019,07:00:00,0,-102.6,37,1.34,2.036,53.91
03-01-2019,08:00:00,387,-102.6,37,1.34,2.027,58.86
03-01-2019,09:00:00,11111,-102.6,37,1.34,1.763,59.14
03-01-2019,10:00:00,12345,-102.6,37,1.34,2.187,58.19
03-01-2019,11:00:00,14722,-102.6,37,1.34,2.321,61.47
03-01-2019,12:00:00,14633,-102.6,37,1.34,2.39,62
