Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Östmark-Rännberg;102200;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1980-07-01 00:00:00;1988-08-01 23:59:59;198.0;60.3328;12.6775

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1980-07-01 00:00:01;1980-07-02 00:00:00;1980-07-01;16.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1980-07-02 00:00:01;1980-07-03 00:00:00;1980-07-02;16.3;Y;;Tidsperiod (fr.o.m.) = 1980-07-01 00:00:00 (UTC)
1980-07-03 00:00:01;1980-07-04 00:00:00;1980-07-03;15.3;Y;;Tidsperiod (t.o.m.) = 1988-08-01 23:59:59 (UTC)
1980-07-04 00:00:01;1980-07-05 00:00:00;1980-07-04;15.4;Y;;Medelvärdet är beräknat för = 24 timmar
1980-07-05 00:00:01;1980-07-06 00:00:00;1980-07-05;13.3;Y;;
1980-07-06 00:00:01;1980-07-07 00:00:00;1980-07-06;15.1;Y;;Kvalitetskoderna:
1980-07-07 00:00:01;1980-07-08 00:00:00;1980-07-07;14.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1980-07-08 00:00:01;1980-07-09 00:00:00;1980-07-08;15.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1980-07-09 00:00:01;1980-07-10 00:00:00;1980-07-09;16.1;Y;;
1980-07-10 00:00:01;1980-07-11 00:00:00;1980-07-10;16.1;Y;;Nätinformation:
1980-07-11 00:00:01;1980-07-12 00:00:00;1980-07-11;14.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1980-07-12 00:00:01;1980-07-13 00:00:00;1980-07-12;13.6;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1980-07-13 00:00:01;1980-07-14 00:00:00;1980-07-13;13.4;Y;;
1980-07-14 00:00:01;1980-07-15 00:00:00;1980-07-14;14.1;Y;;Möjliga orsaker till saknade data:
