Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Östmark-Röjdåsen;102210;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1988-08-01 00:00:00;2000-05-31 23:59:59;308.0;60.3548;12.6491

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1988-08-01 00:00:01;1988-08-02 00:00:00;1988-08-01;12.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1988-08-02 00:00:01;1988-08-03 00:00:00;1988-08-02;11.1;Y;;Tidsperiod (fr.o.m.) = 1988-08-01 00:00:00 (UTC)
1988-08-03 00:00:01;1988-08-04 00:00:00;1988-08-03;12.1;Y;;Tidsperiod (t.o.m.) = 2000-05-31 23:59:59 (UTC)
1988-08-04 00:00:01;1988-08-05 00:00:00;1988-08-04;11.7;Y;;Medelvärdet är beräknat för = 24 timmar
1988-08-05 00:00:01;1988-08-06 00:00:00;1988-08-05;13.9;Y;;
1988-08-06 00:00:01;1988-08-07 00:00:00;1988-08-06;16.8;Y;;Kvalitetskoderna:
1988-08-07 00:00:01;1988-08-08 00:00:00;1988-08-07;16.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1988-08-08 00:00:01;1988-08-09 00:00:00;1988-08-08;15.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1988-08-09 00:00:01;1988-08-10 00:00:00;1988-08-09;15.1;Y;;
1988-08-10 00:00:01;1988-08-11 00:00:00;1988-08-10;15.2;Y;;Nätinformation:
1988-08-11 00:00:01;1988-08-12 00:00:00;1988-08-11;14.6;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1988-08-12 00:00:01;1988-08-13 00:00:00;1988-08-12;14.7;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1988-08-13 00:00:01;1988-08-14 00:00:00;1988-08-13;13.5;Y;;
1988-08-14 00:00:01;1988-08-15 00:00:00;1988-08-14;14.5;Y;;Möjliga orsaker till saknade data:
1988-08-15 00:00:01;1988-08-16 00:00:00;1988-08-15;13.0;Y;;– stationen eller givaren har varit ur funktion.
1988-08-16 00:00:01;1988-08-17 00:00:00;1988-08-16;13.8;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1988-08-17 00:00:01;1988-08-18 00:00:00;1988-08-17;13.6;Y
1988-08-18 00:00:01;1988-08-19 00:00:00;1988-08-18;12.0;Y
1988-08-19 00:00:01;1988-08-20 00:00:00;1988-08-19;10.9;Y
1988-08-20 00:00:01;1988-08-21 00:00:00;1988-08-20;13.9;Y
1988-08-21 00:00:01;1988-08-22 00:00:00;1988-08-21;13.4;Y
1988-08-22 00:00:01;1988-08-23 00:00:00;1988-08-22;10.1;Y
1988-08-23 00:00:01;1988-08-24 00:00:00;1988-08-23;11.4;Y
1988-08-24 00:00:01;1988-08-25 00:00:00;1988-08-24;12.2;Y
1988-08-25 00:00:01;1988-08-26 00:00:00;1988-08-25;10.0;Y
1988-08-26 00:00:01;1988-08-27 00:00:00;1988-08-26;11.4;Y
1988-08-27 00:00:01;1988-08-28 00:00:00;1988-08-27;12.6;Y
1988-08-28 00:00:01;1988-08-29 00:00:00;1988-08-28;13.6;Y
1988-08-29 00:00:01;1988-08-30 00:00:00;1988-08-29;14.3;Y
1988-08-30 00:00:01;1988-08-31 00:00:00;1988-08-30;12.0;Y
1988-08-31 00:00:01;1988-09-01 00:00:00;1988-08-31;11.8;Y
1988-09-01 00:00:01;1988-09-02 00:00:00;1988-09-01;12.4;Y
1988-09-02 00:00:01;1988-09-03 00:00:00;1988-09-02;12.5;Y
1988-09-03 00:00:01;1988-09-04 00:00:00;1988-09-03;12.2;Y
1988-09-04 00:00:01;1988-09-05 00:00:00;1988-09-04;12.1;Y
1988-09-05 00:00:01;1988-09-06 00:00:00;1988-09-05;10.5;Y
1988-09-06 00:00:01;1988-09-07 00:00:00;1988-09-06;10.1;Y
1988-09-07 00:00:01;1988-09-08 00:00:00;1988-09-07;12.1;Y
1988-09-08 00:00:01;1988-09-09 00:00:00;1988-09-08;12.2;Y
1988-09-09 00:00:01;1988-09-10 00:00:00;1988-09-09;13.9;Y
