Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Granåbron;103290;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1949-05-01 00:00:00;1952-05-01 23:59:59;310.0;60.4403;13.8944

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1949-05-05 00:00:01;1949-05-06 00:00:00;1949-05-05;12.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1949-05-06 00:00:01;1949-05-07 00:00:00;1949-05-06;10.4;Y;;Tidsperiod (fr.o.m.) = 1949-05-01 00:00:00 (UTC)
1949-05-07 00:00:01;1949-05-08 00:00:00;1949-05-07;5.6;Y;;Tidsperiod (t.o.m.) = 1952-05-01 23:59:59 (UTC)
1949-05-08 00:00:01;1949-05-09 00:00:00;1949-05-08;2.8;Y;;Medelvärdet är beräknat för = 24 timmar
1949-05-09 00:00:01;1949-05-10 00:00:00;1949-05-09;2.2;Y;;
1949-05-10 00:00:01;1949-05-11 00:00:00;1949-05-10;3.6;Y;;Kvalitetskoderna:
1949-05-11 00:00:01;1949-05-12 00:00:00;1949-05-11;9.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1949-05-12 00:00:01;1949-05-13 00:00:00;1949-05-12;10.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1949-05-13 00:00:01;1949-05-14 00:00:00;1949-05-13;10.9;Y;;
1949-05-14 00:00:01;1949-05-15 00:00:00;1949-05-14;11.8;Y;;Nätinformation:
1949-05-15 00:00:01;1949-05-16 00:00:00;1949-05-15;15.3;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1949-05-16 00:00:01;1949-05-17 00:00:00;1949-05-16;14.2;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1949-05-17 00:00:01;1949-05-18 00:00:00;1949-05-17;11.4;Y;;
1949-05-18 00:00:01;1949-05-19 00:00:00;1949-05-18;15.6;Y;;Möjliga orsaker till saknade data:
1949-05-19 00:00:01;1949-05-20 00:00:00;1949-05-19;15.4;Y;;– stationen eller givaren har varit ur funktion.
