Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Knås;103570;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1987-10-01 00:00:00;1989-03-31 23:59:59;280.0;60.9676;13.8985

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1987-10-01 00:00:01;1987-10-02 00:00:00;1987-10-01;3.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1987-10-02 00:00:01;1987-10-03 00:00:00;1987-10-02;1.9;Y;;Tidsperiod (fr.o.m.) = 1987-10-01 00:00:00 (UTC)
1987-10-03 00:00:01;1987-10-04 00:00:00;1987-10-03;2.5;Y;;Tidsperiod (t.o.m.) = 1989-03-31 23:59:59 (UTC)
1987-10-04 00:00:01;1987-10-05 00:00:00;1987-10-04;2.2;Y;;Medelvärdet är beräknat för = 24 timmar
1987-10-05 00:00:01;1987-10-06 00:00:00;1987-10-05;1.9;Y;;
1987-10-06 00:00:01;1987-10-07 00:00:00;1987-10-06;6.4;Y;;Kvalitetskoderna:
1987-10-07 00:00:01;1987-10-08 00:00:00;1987-10-07;8.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1987-10-08 00:00:01;1987-10-09 00:00:00;1987-10-08;8.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1987-10-09 00:00:01;1987-10-10 00:00:00;1987-10-09;8.0;Y;;
1987-10-10 00:00:01;1987-10-11 00:00:00;1987-10-10;8.4;Y;;Nätinformation:
1987-10-11 00:00:01;1987-10-12 00:00:00;1987-10-11;8.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1987-10-12 00:00:01;1987-10-13 00:00:00;1987-10-12;6.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1987-10-13 00:00:01;1987-10-14 00:00:00;1987-10-13;7.4;Y;;
1987-10-14 00:00:01;1987-10-15 00:00:00;1987-10-14;6.1;Y;;Möjliga orsaker till saknade data:
1987-10-15 00:00:01;1987-10-16 00:00:00;1987-10-15;6.9;Y;;– stationen eller givaren har varit ur funktion.
1987-10-16 00:00:01;1987-10-17 00:00:00;1987-10-16;10.8;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1987-10-17 00:00:01;1987-10-18 00:00:00;1987-10-17;7.3;Y
1987-10-18 00:00:01;1987-10-19 00:00:00;1987-10-18;5.1;Y
1987-10-19 00:00:01;1987-10-20 00:00:00;1987-10-19;3.6;Y
1987-10-20 00:00:01;1987-10-21 00:00:00;1987-10-20;5.7;Y
1987-10-21 00:00:01;1987-10-22 00:00:00;1987-10-21;6.1;Y
1987-10-22 00:00:01;1987-10-23 00:00:00;1987-10-22;5.0;Y
1987-10-23 00:00:01;1987-10-24 00:00:00;1987-10-23;3.4;Y
1987-10-24 00:00:01;1987-10-25 00:00:00;1987-10-24;3.3;Y
1987-10-25 00:00:01;1987-10-26 00:00:00;1987-10-25;2.5;Y
1987-10-26 00:00:01;1987-10-27 00:00:00;1987-10-26;0.2;Y
1987-10-27 00:00:01;1987-10-28 00:00:00;1987-10-27;4.0;Y
1987-10-28 00:00:01;1987-10-29 00:00:00;1987-10-28;5.7;Y
1987-10-29 00:00:01;1987-10-30 00:00:00;1987-10-29;3.6;Y
1987-10-30 00:00:01;1987-10-31 00:00:00;1987-10-30;2.6;Y
1987-10-31 00:00:01;1987-11-01 00:00:00;1987-10-31;1.5;Y
1987-11-01 00:00:01;1987-11-02 00:00:00;1987-11-01;1.1;Y
1987-11-02 00:00:01;1987-11-03 00:00:00;1987-11-02;-3.2;Y
