Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Säter;105210;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1963-04-01 00:00:00;1964-06-30 23:59:59;160.0;60.3500;15.7500

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1963-04-01 00:00:01;1963-04-02 00:00:00;1963-04-01;-5.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1963-04-02 00:00:01;1963-04-03 00:00:00;1963-04-02;-2.5;Y;;Tidsperiod (fr.o.m.) = 1963-04-01 00:00:00 (UTC)
1963-04-03 00:00:01;1963-04-04 00:00:00;1963-04-03;1.3;Y;;Tidsperiod (t.o.m.) = 1964-06-30 23:59:59 (UTC)
1963-04-04 00:00:01;1963-04-05 00:00:00;1963-04-04;0.4;Y;;Medelvärdet är beräknat för = 24 timmar
1963-04-05 00:00:01;1963-04-06 00:00:00;1963-04-05;-0.3;Y;;
1963-04-06 00:00:01;1963-04-07 00:00:00;1963-04-06;-1.7;Y;;Kvalitetskoderna:
1963-04-07 00:00:01;1963-04-08 00:00:00;1963-04-07;4.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1963-04-08 00:00:01;1963-04-09 00:00:00;1963-04-08;2.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1963-04-09 00:00:01;1963-04-10 00:00:00;1963-04-09;2.9;Y;;
1963-04-10 00:00:01;1963-04-11 00:00:00;1963-04-10;0.9;Y;;Nätinformation:
1963-04-11 00:00:01;1963-04-12 00:00:00;1963-04-11;2.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1963-04-12 00:00:01;1963-04-13 00:00:00;1963-04-12;2.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1963-04-13 00:00:01;1963-04-14 00:00:00;1963-04-13;5.0;Y;;
1963-04-14 00:00:01;1963-04-15 00:00:00;1963-04-14;3.5;Y;;Möjliga orsaker till saknade data:
1963-04-15 00:00:01;1963-04-16 00:00:00;1963-04-15;3.3;Y;;– stationen eller givaren har varit ur funktion.
1963-04-16 00:00:01;1963-04-17 00:00:00;1963-04-16;5.4;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1963-04-17 00:00:01;1963-04-18 00:00:00;1963-04-17;4.8;Y
1963-04-18 00:00:01;1963-04-19 00:00:00;1963-04-18;4.9;Y
1963-04-19 00:00:01;1963-04-20 00:00:00;1963-04-19;3.3;Y
1963-04-20 00:00:01;1963-04-21 00:00:00;1963-04-20;5.4;Y
1963-04-21 00:00:01;1963-04-22 00:00:00;1963-04-21;3.3;Y
1963-04-22 00:00:01;1963-04-23 00:00:00;1963-04-22;1.6;Y
1963-04-23 00:00:01;1963-04-24 00:00:00;1963-04-23;1.2;Y
1963-04-24 00:00:01;1963-04-25 00:00:00;1963-04-24;3.2;Y
1963-04-25 00:00:01;1963-04-26 00:00:00;1963-04-25;5.2;Y
1963-04-26 00:00:01;1963-04-27 00:00:00;1963-04-26;8.1;Y
1963-04-27 00:00:01;1963-04-28 00:00:00;1963-04-27;8.6;Y
1963-04-28 00:00:01;1963-04-29 00:00:00;1963-04-28;5.3;Y
1963-04-29 00:00:01;1963-04-30 00:00:00;1963-04-29;6.5;Y
1963-04-30 00:00:01;1963-05-01 00:00:00;1963-04-30;7.2;Y
1963-05-01 00:00:01;1963-05-02 00:00:00;1963-05-01;7.0;Y
1963-05-02 00:00:01;1963-05-03 00:00:00;1963-05-02;3.4;Y
1963-05-03 00:00:01;1963-05-04 00:00:00;1963-05-03;5.5;Y
1963-05-04 00:00:01;1963-05-05 00:00:00;1963-05-04;8.1;Y
1963-05-05 00:00:01;1963-05-06 00:00:00;1963-05-05;10.2;Y
1963-05-06 00:00:01;1963-05-07 00:00:00;1963-05-06;7.0;Y
1963-05-07 00:00:01;1963-05-08 00:00:00;1963-05-07;7.0;Y
1963-05-08 00:00:01;1963-05-09 00:00:00;1963-05-08;10.7;Y
1963-05-09 00:00:01;1963-05-10 00:00:00;1963-05-09;11.0;Y
1963-05-10 00:00:01;1963-05-11 00:00:00;1963-05-10;14.1;Y
1963-05-11 00:00:01;1963-05-12 00:00:00;1963-05-11;12.1;Y
1963-05-12 00:00:01;1963-05-13 00:00:00;1963-05-12;10.6;Y
1963-05-13 00:00:01;1963-05-14 00:00:00;1963-05-13;11.6;Y
1963-05-14 00:00:01;1963-05-15 00:00:00;1963-05-14;12.7;Y
1963-05-15 00:00:01;1963-05-16 00:00:00;1963-05-15;12.5;Y
1963-05-16 00:00:01;1963-05-17 00:00:00;1963-05-16;12.6;Y
1963-05-17 00:00:01;1963-05-18 00:00:00;1963-05-17;10.2;Y
1963-05-18 00:00:01;1963-05-19 00:00:00;1963-05-18;9.0;Y
1963-05-19 00:00:01;1963-05-20 00:00:00;1963-05-19;7.8;Y
1963-05-20 00:00:01;1963-05-21 00:00:00;1963-05-20;7.6;Y
1963-05-21 00:00:01;1963-05-22 00:00:00;1963-05-21;10.4;Y
1963-05-22 00:00:01;1963-05-23 00:00:00;1963-05-22;11.5;Y
1963-05-23 00:00:01;1963-05-24 00:00:00;1963-05-23;13.0;Y
1963-05-24 00:00:01;1963-05-25 00:00:00;1963-05-24;9.7;Y
1963-05-25 00:00:01;1963-05-26 00:00:00;1963-05-25;14.8;Y
1963-05-26 00:00:01;1963-05-27 00:00:00;1963-05-26;15.8;Y
1963-05-27 00:00:01;1963-05-28 00:00:00;1963-05-27;16.7;Y
1963-05-28 00:00:01;1963-05-29 00:00:00;1963-05-28;17.7;Y
1963-05-29 00:00:01;1963-05-30 00:00:00;1963-05-29;19.3;Y
1963-05-30 00:00:01;1963-05-31 00:00:00;1963-05-30;17.2;Y
1963-05-31 00:00:01;1963-06-01 00:00:00;1963-05-31;14.2;Y
1963-06-01 00:00:01;1963-06-02 00:00:00;1963-06-01;13.6;Y
1963-06-02 00:00:01;1963-06-03 00:00:00;1963-06-02;15.1;Y
1963-06-03 00:00:01;1963-06-04 00:00:00;1963-06-03;12.7;Y
1963-06-04 00:00:01;1963-06-05 00:00:00;1963-06-04;12.6;Y
1963-06-05 00:00:01;1963-06-06 00:00:00;1963-06-05;15.9;Y
1963-06-06 00:00:01;1963-06-07 00:00:00;1963-06-06;19.7;Y
1963-06-07 00:00:01;1963-06-08 00:00:00;1963-06-07;16.5;Y
1963-06-08 00:00:01;1963-06-09 00:00:00;1963-06-08;18.8;Y
1963-06-09 00:00:01;1963-06-10 00:00:00;1963-06-09;16.1;Y
1963-06-10 00:00:01;1963-06-11 00:00:00;1963-06-10;18.4;Y
1963-06-11 00:00:01;1963-06-12 00:00:00;1963-06-11;15.5;Y
1963-06-12 00:00:01;1963-06-13 00:00:00;1963-06-12;12.7;Y
1963-06-13 00:00:01;1963-06-14 00:00:00;1963-06-13;11.8;Y
1963-06-14 00:00:01;1963-06-15 00:00:00;1963-06-14;10.5;Y
1963-06-15 00:00:01;1963-06-16 00:00:00;1963-06-15;11.9;Y
1963-06-16 00:00:01;1963-06-17 00:00:00;1963-06-16;14.0;Y
1963-06-17 00:00:01;1963-06-18 00:00:00;1963-06-17;15.3;Y
1963-06-18 00:00:01;1963-06-19 00:00:00;1963-06-18;17.5;Y
1963-06-19 00:00:01;1963-06-20 00:00:00;1963-06-19;15.4;Y
1963-06-20 00:00:01;1963-06-21 00:00:00;1963-06-20;15.9;Y
1963-06-21 00:00:01;1963-06-22 00:00:00;1963-06-21;11.8;Y
