Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Borlänge;105310;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1974-04-01 00:00:00;1978-04-30 23:59:59;120.0;60.5020;15.4606

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1974-04-01 00:00:01;1974-04-02 00:00:00;1974-04-01;3.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1974-04-02 00:00:01;1974-04-03 00:00:00;1974-04-02;3.2;Y;;Tidsperiod (fr.o.m.) = 1974-04-01 00:00:00 (UTC)
1974-04-03 00:00:01;1974-04-04 00:00:00;1974-04-03;3.9;Y;;Tidsperiod (t.o.m.) = 1978-04-30 23:59:59 (UTC)
1974-04-04 00:00:01;1974-04-05 00:00:00;1974-04-04;5.3;Y;;Medelvärdet är beräknat för = 24 timmar
1974-04-05 00:00:01;1974-04-06 00:00:00;1974-04-05;7.7;Y;;
1974-04-06 00:00:01;1974-04-07 00:00:00;1974-04-06;10.1;Y;;Kvalitetskoderna:
1974-04-07 00:00:01;1974-04-08 00:00:00;1974-04-07;9.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1974-04-08 00:00:01;1974-04-09 00:00:00;1974-04-08;9.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1974-04-09 00:00:01;1974-04-10 00:00:00;1974-04-09;3.1;Y;;
1974-04-10 00:00:01;1974-04-11 00:00:00;1974-04-10;3.5;Y;;Nätinformation:
1974-04-11 00:00:01;1974-04-12 00:00:00;1974-04-11;-2.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1974-04-12 00:00:01;1974-04-13 00:00:00;1974-04-12;-0.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1974-04-13 00:00:01;1974-04-14 00:00:00;1974-04-13;1.9;Y;;
1974-04-14 00:00:01;1974-04-15 00:00:00;1974-04-14;3.3;Y;;Möjliga orsaker till saknade data:
1974-04-15 00:00:01;1974-04-16 00:00:00;1974-04-15;5.0;Y;;– stationen eller givaren har varit ur funktion.
1974-04-16 00:00:01;1974-04-17 00:00:00;1974-04-16;4.9;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1974-04-17 00:00:01;1974-04-18 00:00:00;1974-04-17;6.7;Y
1974-04-18 00:00:01;1974-04-19 00:00:00;1974-04-18;7.5;Y
1974-04-19 00:00:01;1974-04-20 00:00:00;1974-04-19;5.3;Y
1974-04-20 00:00:01;1974-04-21 00:00:00;1974-04-20;8.2;Y
1974-04-21 00:00:01;1974-04-22 00:00:00;1974-04-21;6.8;Y
1974-04-22 00:00:01;1974-04-23 00:00:00;1974-04-22;8.0;Y
1974-04-23 00:00:01;1974-04-24 00:00:00;1974-04-23;6.1;Y
1974-04-24 00:00:01;1974-04-25 00:00:00;1974-04-24;4.3;Y
1974-04-25 00:00:01;1974-04-26 00:00:00;1974-04-25;5.4;Y
1974-04-26 00:00:01;1974-04-27 00:00:00;1974-04-26;4.1;Y
1974-04-27 00:00:01;1974-04-28 00:00:00;1974-04-27;7.1;Y
1974-04-28 00:00:01;1974-04-29 00:00:00;1974-04-28;10.1;Y
1974-04-29 00:00:01;1974-04-30 00:00:00;1974-04-29;9.7;Y
1974-04-30 00:00:01;1974-05-01 00:00:00;1974-04-30;9.3;Y
1974-05-01 00:00:01;1974-05-02 00:00:00;1974-05-01;7.9;Y
1974-05-02 00:00:01;1974-05-03 00:00:00;1974-05-02;7.0;Y
1974-05-03 00:00:01;1974-05-04 00:00:00;1974-05-03;3.7;Y
1974-05-04 00:00:01;1974-05-05 00:00:00;1974-05-04;1.8;Y
1974-05-05 00:00:01;1974-05-06 00:00:00;1974-05-05;3.6;Y
1974-05-06 00:00:01;1974-05-07 00:00:00;1974-05-06;4.8;Y
1974-05-07 00:00:01;1974-05-08 00:00:00;1974-05-07;6.7;Y
1974-05-08 00:00:01;1974-05-09 00:00:00;1974-05-08;7.0;Y
1974-05-09 00:00:01;1974-05-10 00:00:00;1974-05-09;7.6;Y
1974-05-10 00:00:01;1974-05-11 00:00:00;1974-05-10;9.7;Y
1974-05-11 00:00:01;1974-05-12 00:00:00;1974-05-11;9.7;Y
1974-05-12 00:00:01;1974-05-13 00:00:00;1974-05-12;9.6;Y
1974-05-13 00:00:01;1974-05-14 00:00:00;1974-05-13;9.4;Y
1974-05-14 00:00:01;1974-05-15 00:00:00;1974-05-14;8.5;Y
1974-05-15 00:00:01;1974-05-16 00:00:00;1974-05-15;8.9;Y
1974-05-16 00:00:01;1974-05-17 00:00:00;1974-05-16;11.7;Y
1974-05-17 00:00:01;1974-05-18 00:00:00;1974-05-17;13.9;Y
1974-05-18 00:00:01;1974-05-19 00:00:00;1974-05-18;19.3;Y
1974-05-19 00:00:01;1974-05-20 00:00:00;1974-05-19;14.8;Y
1974-05-20 00:00:01;1974-05-21 00:00:00;1974-05-20;10.5;Y
1974-05-21 00:00:01;1974-05-22 00:00:00;1974-05-21;12.3;Y
1974-05-22 00:00:01;1974-05-23 00:00:00;1974-05-22;10.7;Y
1974-05-23 00:00:01;1974-05-24 00:00:00;1974-05-23;12.4;Y
1974-05-24 00:00:01;1974-05-25 00:00:00;1974-05-24;12.3;Y
1974-05-25 00:00:01;1974-05-26 00:00:00;1974-05-25;11.7;Y
1974-05-26 00:00:01;1974-05-27 00:00:00;1974-05-26;11.6;Y
1974-05-27 00:00:01;1974-05-28 00:00:00;1974-05-27;8.6;Y
1974-05-28 00:00:01;1974-05-29 00:00:00;1974-05-28;8.3;Y
1974-05-29 00:00:01;1974-05-30 00:00:00;1974-05-29;8.5;Y
1974-05-30 00:00:01;1974-05-31 00:00:00;1974-05-30;9.1;Y
1974-05-31 00:00:01;1974-06-01 00:00:00;1974-05-31;10.6;Y
1974-06-01 00:00:01;1974-06-02 00:00:00;1974-06-01;11.4;Y
1974-06-02 00:00:01;1974-06-03 00:00:00;1974-06-02;12.7;Y
1974-06-03 00:00:01;1974-06-04 00:00:00;1974-06-03;11.6;Y
1974-06-04 00:00:01;1974-06-05 00:00:00;1974-06-04;10.9;Y
1974-06-05 00:00:01;1974-06-06 00:00:00;1974-06-05;11.7;Y
1974-06-06 00:00:01;1974-06-07 00:00:00;1974-06-06;12.0;Y
1974-06-07 00:00:01;1974-06-08 00:00:00;1974-06-07;10.6;Y
1974-06-08 00:00:01;1974-06-09 00:00:00;1974-06-08;11.9;Y
1974-06-09 00:00:01;1974-06-10 00:00:00;1974-06-09;10.9;Y
1974-06-10 00:00:01;1974-06-11 00:00:00;1974-06-10;10.7;Y
1974-06-11 00:00:01;1974-06-12 00:00:00;1974-06-11;9.8;Y
1974-06-12 00:00:01;1974-06-13 00:00:00;1974-06-12;13.0;Y
1974-06-13 00:00:01;1974-06-14 00:00:00;1974-06-13;16.2;Y
1974-06-14 00:00:01;1974-06-15 00:00:00;1974-06-14;17.1;Y
1974-06-15 00:00:01;1974-06-16 00:00:00;1974-06-15;18.4;Y
1974-06-16 00:00:01;1974-06-17 00:00:00;1974-06-16;17.7;Y
1974-06-17 00:00:01;1974-06-18 00:00:00;1974-06-17;18.9;Y
1974-06-18 00:00:01;1974-06-19 00:00:00;1974-06-18;16.9;Y
1974-06-19 00:00:01;1974-06-20 00:00:00;1974-06-19;16.8;Y
1974-06-20 00:00:01;1974-06-21 00:00:00;1974-06-20;17.6;Y
1974-06-21 00:00:01;1974-06-22 00:00:00;1974-06-21;18.6;Y
1974-06-22 00:00:01;1974-06-23 00:00:00;1974-06-22;19.3;Y
1974-06-23 00:00:01;1974-06-24 00:00:00;1974-06-23;18.2;Y
1974-06-24 00:00:01;1974-06-25 00:00:00;1974-06-24;15.7;Y
1974-06-25 00:00:01;1974-06-26 00:00:00;1974-06-25;14.4;Y
1974-06-26 00:00:01;1974-06-27 00:00:00;1974-06-26;11.9;Y
1974-06-27 00:00:01;1974-06-28 00:00:00;1974-06-27;11.7;Y
1974-06-28 00:00:01;1974-06-29 00:00:00;1974-06-28;14.4;Y
1974-06-29 00:00:01;1974-06-30 00:00:00;1974-06-29;15.4;Y
1974-06-30 00:00:01;1974-07-01 00:00:00;1974-06-30;16.7;Y
1974-07-01 00:00:01;1974-07-02 00:00:00;1974-07-01;16.0;Y
1974-07-02 00:00:01;1974-07-03 00:00:00;1974-07-02;18.3;Y
1974-07-03 00:00:01;1974-07-04 00:00:00;1974-07-03;16.9;Y
1974-07-04 00:00:01;1974-07-05 00:00:00;1974-07-04;14.5;Y
1974-07-05 00:00:01;1974-07-06 00:00:00;1974-07-05;10.8;Y
1974-07-06 00:00:01;1974-07-07 00:00:00;1974-07-06;13.0;Y
1974-07-07 00:00:01;1974-07-08 00:00:00;1974-07-07;13.4;Y
1974-07-08 00:00:01;1974-07-09 00:00:00;1974-07-08;14.5;Y
1974-07-09 00:00:01;1974-07-10 00:00:00;1974-07-09;15.3;Y
1974-07-10 00:00:01;1974-07-11 00:00:00;1974-07-10;15.7;Y
1974-07-11 00:00:01;1974-07-12 00:00:00;1974-07-11;14.0;Y
1974-07-12 00:00:01;1974-07-13 00:00:00;1974-07-12;15.2;Y
1974-07-13 00:00:01;1974-07-14 00:00:00;1974-07-13;16.5;Y
1974-07-14 00:00:01;1974-07-15 00:00:00;1974-07-14;12.7;Y
1974-07-15 00:00:01;1974-07-16 00:00:00;1974-07-15;14.7;Y
1974-07-16 00:00:01;1974-07-17 00:00:00;1974-07-16;14.8;Y
1974-07-17 00:00:01;1974-07-18 00:00:00;1974-07-17;15.8;Y
1974-07-18 00:00:01;1974-07-19 00:00:00;1974-07-18;15.1;Y
1974-07-19 00:00:01;1974-07-20 00:00:00;1974-07-19;15.9;Y
1974-07-20 00:00:01;1974-07-21 00:00:00;1974-07-20;18.1;Y
1974-07-21 00:00:01;1974-07-22 00:00:00;1974-07-21;18.3;Y
1974-07-22 00:00:01;1974-07-23 00:00:00;1974-07-22;14.7;Y
1974-07-23 00:00:01;1974-07-24 00:00:00;1974-07-23;16.7;Y
1974-07-24 00:00:01;1974-07-25 00:00:00;1974-07-24;14.7;Y
1974-07-25 00:00:01;1974-07-26 00:00:00;1974-07-25;12.4;Y
1974-07-26 00:00:01;1974-07-27 00:00:00;1974-07-26;12.1;Y
1974-07-27 00:00:01;1974-07-28 00:00:00;1974-07-27;9.7;Y
1974-07-28 00:00:01;1974-07-29 00:00:00;1974-07-28;13.6;Y
1974-07-29 00:00:01;1974-07-30 00:00:00;1974-07-29;12.6;Y
1974-07-30 00:00:01;1974-07-31 00:00:00;1974-07-30;13.4;Y
1974-07-31 00:00:01;1974-08-01 00:00:00;1974-07-31;13.4;Y
1974-08-01 00:00:01;1974-08-02 00:00:00;1974-08-01;14.6;Y
1974-08-02 00:00:01;1974-08-03 00:00:00;1974-08-02;14.9;Y
1974-08-03 00:00:01;1974-08-04 00:00:00;1974-08-03;13.9;Y
1974-08-04 00:00:01;1974-08-05 00:00:00;1974-08-04;15.1;Y
1974-08-05 00:00:01;1974-08-06 00:00:00;1974-08-05;13.3;Y
1974-08-06 00:00:01;1974-08-07 00:00:00;1974-08-06;13.4;Y
1974-08-07 00:00:01;1974-08-08 00:00:00;1974-08-07;13.5;Y
1974-08-08 00:00:01;1974-08-09 00:00:00;1974-08-08;13.4;Y
1974-08-09 00:00:01;1974-08-10 00:00:00;1974-08-09;14.1;Y
1974-08-10 00:00:01;1974-08-11 00:00:00;1974-08-10;15.0;Y
1974-08-11 00:00:01;1974-08-12 00:00:00;1974-08-11;13.8;Y
1974-08-12 00:00:01;1974-08-13 00:00:00;1974-08-12;13.8;Y
1974-08-13 00:00:01;1974-08-14 00:00:00;1974-08-13;14.0;Y
