Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Sågmyra;105410;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1985-06-01 00:00:00;1988-02-29 23:59:59;257.0;60.7004;15.3263

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1985-06-01 00:00:01;1985-06-02 00:00:00;1985-06-01;17.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1985-06-02 00:00:01;1985-06-03 00:00:00;1985-06-02;16.6;Y;;Tidsperiod (fr.o.m.) = 1985-06-01 00:00:00 (UTC)
1985-06-03 00:00:01;1985-06-04 00:00:00;1985-06-03;12.8;Y;;Tidsperiod (t.o.m.) = 1988-02-29 23:59:59 (UTC)
1985-06-04 00:00:01;1985-06-05 00:00:00;1985-06-04;15.3;Y;;Medelvärdet är beräknat för = 24 timmar
1985-06-05 00:00:01;1985-06-06 00:00:00;1985-06-05;11.4;Y;;
1985-06-06 00:00:01;1985-06-07 00:00:00;1985-06-06;9.7;Y;;Kvalitetskoderna:
1985-06-07 00:00:01;1985-06-08 00:00:00;1985-06-07;7.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1985-06-08 00:00:01;1985-06-09 00:00:00;1985-06-08;7.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1985-06-09 00:00:01;1985-06-10 00:00:00;1985-06-09;7.1;Y;;
1985-06-10 00:00:01;1985-06-11 00:00:00;1985-06-10;11.6;Y;;Nätinformation:
1985-06-11 00:00:01;1985-06-12 00:00:00;1985-06-11;11.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1985-06-12 00:00:01;1985-06-13 00:00:00;1985-06-12;10.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1985-06-13 00:00:01;1985-06-14 00:00:00;1985-06-13;11.5;Y;;
1985-06-14 00:00:01;1985-06-15 00:00:00;1985-06-14;11.9;Y;;Möjliga orsaker till saknade data:
1985-06-15 00:00:01;1985-06-16 00:00:00;1985-06-15;12.7;Y;;– stationen eller givaren har varit ur funktion.
1985-06-16 00:00:01;1985-06-17 00:00:00;1985-06-16;13.3;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1985-06-17 00:00:01;1985-06-18 00:00:00;1985-06-17;14.1;Y
1985-06-18 00:00:01;1985-06-19 00:00:00;1985-06-18;15.2;Y
1985-06-19 00:00:01;1985-06-20 00:00:00;1985-06-19;16.8;Y
1985-06-20 00:00:01;1985-06-21 00:00:00;1985-06-20;16.9;Y
1985-06-21 00:00:01;1985-06-22 00:00:00;1985-06-21;16.7;Y
1985-06-22 00:00:01;1985-06-23 00:00:00;1985-06-22;18.3;Y
1985-06-23 00:00:01;1985-06-24 00:00:00;1985-06-23;20.3;Y
1985-06-24 00:00:01;1985-06-25 00:00:00;1985-06-24;21.4;Y
1985-06-25 00:00:01;1985-06-26 00:00:00;1985-06-25;21.6;Y
1985-06-26 00:00:01;1985-06-27 00:00:00;1985-06-26;20.9;Y
1985-06-27 00:00:01;1985-06-28 00:00:00;1985-06-27;18.1;Y
1985-06-28 00:00:01;1985-06-29 00:00:00;1985-06-28;14.8;Y
1985-06-29 00:00:01;1985-06-30 00:00:00;1985-06-29;14.3;Y
1985-06-30 00:00:01;1985-07-01 00:00:00;1985-06-30;13.4;Y
1985-07-01 00:00:01;1985-07-02 00:00:00;1985-07-01;12.9;Y
1985-07-02 00:00:01;1985-07-03 00:00:00;1985-07-02;13.5;Y
1985-07-03 00:00:01;1985-07-04 00:00:00;1985-07-03;15.3;Y
1985-07-04 00:00:01;1985-07-05 00:00:00;1985-07-04;18.5;Y
1985-07-05 00:00:01;1985-07-06 00:00:00;1985-07-05;20.0;Y
1985-07-06 00:00:01;1985-07-07 00:00:00;1985-07-06;22.1;Y
1985-07-07 00:00:01;1985-07-08 00:00:00;1985-07-07;15.4;Y
1985-07-08 00:00:01;1985-07-09 00:00:00;1985-07-08;15.7;Y
1985-07-09 00:00:01;1985-07-10 00:00:00;1985-07-09;17.2;Y
1985-07-10 00:00:01;1985-07-11 00:00:00;1985-07-10;18.6;Y
1985-07-11 00:00:01;1985-07-12 00:00:00;1985-07-11;17.7;Y
1985-07-12 00:00:01;1985-07-13 00:00:00;1985-07-12;18.2;Y
1985-07-13 00:00:01;1985-07-14 00:00:00;1985-07-13;18.0;Y
1985-07-14 00:00:01;1985-07-15 00:00:00;1985-07-14;17.9;Y
1985-07-15 00:00:01;1985-07-16 00:00:00;1985-07-15;17.6;Y
1985-07-16 00:00:01;1985-07-17 00:00:00;1985-07-16;14.7;Y
1985-07-17 00:00:01;1985-07-18 00:00:00;1985-07-17;13.4;Y
1985-07-18 00:00:01;1985-07-19 00:00:00;1985-07-18;15.2;Y
1985-07-19 00:00:01;1985-07-20 00:00:00;1985-07-19;17.0;Y
1985-07-20 00:00:01;1985-07-21 00:00:00;1985-07-20;14.2;Y
1985-07-21 00:00:01;1985-07-22 00:00:00;1985-07-21;14.2;Y
1985-07-22 00:00:01;1985-07-23 00:00:00;1985-07-22;14.8;Y
1985-07-23 00:00:01;1985-07-24 00:00:00;1985-07-23;12.7;Y
1985-07-24 00:00:01;1985-07-25 00:00:00;1985-07-24;13.0;Y
1985-07-25 00:00:01;1985-07-26 00:00:00;1985-07-25;15.1;Y
1985-07-26 00:00:01;1985-07-27 00:00:00;1985-07-26;17.5;Y
1985-07-27 00:00:01;1985-07-28 00:00:00;1985-07-27;17.5;Y
1985-07-28 00:00:01;1985-07-29 00:00:00;1985-07-28;15.2;Y
1985-07-29 00:00:01;1985-07-30 00:00:00;1985-07-29;14.4;Y
1985-07-30 00:00:01;1985-07-31 00:00:00;1985-07-30;14.0;Y
1985-07-31 00:00:01;1985-08-01 00:00:00;1985-07-31;15.4;Y
1985-08-01 00:00:01;1985-08-02 00:00:00;1985-08-01;16.3;Y
1985-08-02 00:00:01;1985-08-03 00:00:00;1985-08-02;16.5;Y
1985-08-03 00:00:01;1985-08-04 00:00:00;1985-08-03;14.4;Y
1985-08-04 00:00:01;1985-08-05 00:00:00;1985-08-04;14.5;Y
1985-08-05 00:00:01;1985-08-06 00:00:00;1985-08-05;14.3;Y
1985-08-06 00:00:01;1985-08-07 00:00:00;1985-08-06;14.5;Y
1985-08-07 00:00:01;1985-08-08 00:00:00;1985-08-07;15.0;Y
1985-08-08 00:00:01;1985-08-09 00:00:00;1985-08-08;14.1;Y
1985-08-09 00:00:01;1985-08-10 00:00:00;1985-08-09;16.5;Y
1985-08-10 00:00:01;1985-08-11 00:00:00;1985-08-10;14.2;Y
1985-08-11 00:00:01;1985-08-12 00:00:00;1985-08-11;15.6;Y
1985-08-12 00:00:01;1985-08-13 00:00:00;1985-08-12;14.2;Y
1985-08-13 00:00:01;1985-08-14 00:00:00;1985-08-13;15.7;Y
1985-08-14 00:00:01;1985-08-15 00:00:00;1985-08-14;15.9;Y
1985-08-15 00:00:01;1985-08-16 00:00:00;1985-08-15;16.1;Y
