Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Domnarvet;105640;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-05-01 00:00:00;1968-01-01 06:00:00;128.0;60.5000;15.4500

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1961-05-16 00:00:01;1961-05-17 00:00:00;1961-05-16;7.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-05-17 00:00:01;1961-05-18 00:00:00;1961-05-17;11.6;Y;;Tidsperiod (fr.o.m.) = 1961-05-01 00:00:00 (UTC)
1961-05-18 00:00:01;1961-05-19 00:00:00;1961-05-18;10.9;Y;;Tidsperiod (t.o.m.) = 1968-01-01 06:00:00 (UTC)
1961-05-19 00:00:01;1961-05-20 00:00:00;1961-05-19;7.0;Y;;Medelvärdet är beräknat för = 24 timmar
1961-05-20 00:00:01;1961-05-21 00:00:00;1961-05-20;8.1;Y;;
1961-05-21 00:00:01;1961-05-22 00:00:00;1961-05-21;9.7;Y;;Kvalitetskoderna:
1961-05-22 00:00:01;1961-05-23 00:00:00;1961-05-22;10.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1961-05-23 00:00:01;1961-05-24 00:00:00;1961-05-23;11.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-05-24 00:00:01;1961-05-25 00:00:00;1961-05-24;12.8;Y;;
1961-05-25 00:00:01;1961-05-26 00:00:00;1961-05-25;11.6;Y;;Nätinformation:
1961-05-26 00:00:01;1961-05-27 00:00:00;1961-05-26;9.3;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1961-05-27 00:00:01;1961-05-28 00:00:00;1961-05-27;8.2;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1961-05-28 00:00:01;1961-05-29 00:00:00;1961-05-28;8.6;Y;;
1961-05-29 00:00:01;1961-05-30 00:00:00;1961-05-29;8.7;Y;;Möjliga orsaker till saknade data:
1961-05-30 00:00:01;1961-05-31 00:00:00;1961-05-30;12.7;Y;;– stationen eller givaren har varit ur funktion.
1961-05-31 00:00:01;1961-06-01 00:00:00;1961-05-31;15.1;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1961-06-01 00:00:01;1961-06-02 00:00:00;1961-06-01;18.5;Y
1961-06-02 00:00:01;1961-06-03 00:00:00;1961-06-02;15.9;Y
1961-06-03 00:00:01;1961-06-04 00:00:00;1961-06-03;19.0;Y
1961-06-04 00:00:01;1961-06-05 00:00:00;1961-06-04;20.7;Y
1961-06-05 00:00:01;1961-06-06 00:00:00;1961-06-05;20.0;Y
1961-06-06 00:00:01;1961-06-07 00:00:00;1961-06-06;20.4;Y
1961-06-07 00:00:01;1961-06-08 00:00:00;1961-06-07;21.0;Y
1961-06-08 00:00:01;1961-06-09 00:00:00;1961-06-08;19.4;Y
1961-06-09 00:00:01;1961-06-10 00:00:00;1961-06-09;18.9;Y
1961-06-10 00:00:01;1961-06-11 00:00:00;1961-06-10;15.1;Y
1961-06-11 00:00:01;1961-06-12 00:00:00;1961-06-11;15.1;Y
1961-06-12 00:00:01;1961-06-13 00:00:00;1961-06-12;17.6;Y
1961-06-13 00:00:01;1961-06-14 00:00:00;1961-06-13;12.8;Y
1961-06-14 00:00:01;1961-06-15 00:00:00;1961-06-14;13.6;Y
1961-06-15 00:00:01;1961-06-16 00:00:00;1961-06-15;13.2;Y
1961-06-16 00:00:01;1961-06-17 00:00:00;1961-06-16;14.6;Y
1961-06-17 00:00:01;1961-06-18 00:00:00;1961-06-17;15.1;Y
1961-06-18 00:00:01;1961-06-19 00:00:00;1961-06-18;14.4;Y
1961-06-19 00:00:01;1961-06-20 00:00:00;1961-06-19;13.6;Y
1961-06-20 00:00:01;1961-06-21 00:00:00;1961-06-20;13.3;Y
1961-06-21 00:00:01;1961-06-22 00:00:00;1961-06-21;13.1;Y
1961-06-22 00:00:01;1961-06-23 00:00:00;1961-06-22;13.7;Y
1961-06-23 00:00:01;1961-06-24 00:00:00;1961-06-23;13.0;Y
1961-06-24 00:00:01;1961-06-25 00:00:00;1961-06-24;11.8;Y
1961-06-25 00:00:01;1961-06-26 00:00:00;1961-06-25;12.4;Y
1961-06-26 00:00:01;1961-06-27 00:00:00;1961-06-26;14.1;Y
1961-06-27 00:00:01;1961-06-28 00:00:00;1961-06-27;13.0;Y
1961-06-28 00:00:01;1961-06-29 00:00:00;1961-06-28;12.2;Y
1961-06-29 00:00:01;1961-06-30 00:00:00;1961-06-29;16.0;Y
1961-06-30 00:00:01;1961-07-01 00:00:00;1961-06-30;17.4;Y
1961-07-01 00:00:01;1961-07-02 00:00:00;1961-07-01;19.9;Y
1961-07-09 00:00:01;1961-07-10 00:00:00;1961-07-09;14.6;Y
1961-07-10 00:00:01;1961-07-11 00:00:00;1961-07-10;13.2;Y
1961-07-11 00:00:01;1961-07-12 00:00:00;1961-07-11;14.6;Y
1961-07-12 00:00:01;1961-07-13 00:00:00;1961-07-12;14.2;Y
1961-07-13 00:00:01;1961-07-14 00:00:00;1961-07-13;14.7;Y
1961-07-14 00:00:01;1961-07-15 00:00:00;1961-07-14;16.4;Y
1961-07-15 00:00:01;1961-07-16 00:00:00;1961-07-15;16.1;Y
1961-07-16 00:00:01;1961-07-17 00:00:00;1961-07-16;17.5;Y
1961-07-17 00:00:01;1961-07-18 00:00:00;1961-07-17;17.3;Y
1961-07-18 00:00:01;1961-07-19 00:00:00;1961-07-18;16.2;Y
1961-07-19 00:00:01;1961-07-20 00:00:00;1961-07-19;14.3;Y
1961-07-20 00:00:01;1961-07-21 00:00:00;1961-07-20;14.9;Y
1961-07-21 00:00:01;1961-07-22 00:00:00;1961-07-21;15.1;Y
1961-07-22 00:00:01;1961-07-23 00:00:00;1961-07-22;11.7;Y
1961-07-23 00:00:01;1961-07-24 00:00:00;1961-07-23;12.4;Y
1961-07-24 00:00:01;1961-07-25 00:00:00;1961-07-24;14.8;Y
1961-07-25 00:00:01;1961-07-26 00:00:00;1961-07-25;14.1;Y
1961-07-26 00:00:01;1961-07-27 00:00:00;1961-07-26;12.8;Y
1961-07-27 00:00:01;1961-07-28 00:00:00;1961-07-27;13.9;Y
1961-07-28 00:00:01;1961-07-29 00:00:00;1961-07-28;13.4;Y
1961-07-29 00:00:01;1961-07-30 00:00:00;1961-07-29;14.8;Y
1961-07-30 00:00:01;1961-07-31 00:00:00;1961-07-30;16.2;Y
1961-07-31 00:00:01;1961-08-01 00:00:00;1961-07-31;16.5;Y
1961-08-01 00:00:01;1961-08-02 00:00:00;1961-08-01;14.5;Y
1961-08-02 00:00:01;1961-08-03 00:00:00;1961-08-02;15.2;Y
1961-08-03 00:00:01;1961-08-04 00:00:00;1961-08-03;14.9;Y
1961-08-04 00:00:01;1961-08-05 00:00:00;1961-08-04;12.3;Y
1961-08-05 00:00:01;1961-08-06 00:00:00;1961-08-05;14.2;Y
1961-08-06 00:00:01;1961-08-07 00:00:00;1961-08-06;12.0;Y
1961-08-07 00:00:01;1961-08-08 00:00:00;1961-08-07;13.7;Y
1961-08-08 00:00:01;1961-08-09 00:00:00;1961-08-08;14.1;Y
1961-08-09 00:00:01;1961-08-10 00:00:00;1961-08-09;12.6;Y
1961-08-10 00:00:01;1961-08-11 00:00:00;1961-08-10;13.9;Y
1961-08-11 00:00:01;1961-08-12 00:00:00;1961-08-11;15.2;Y
1961-08-12 00:00:01;1961-08-13 00:00:00;1961-08-12;12.9;Y
1961-08-13 00:00:01;1961-08-14 00:00:00;1961-08-13;14.2;Y
1961-08-14 00:00:01;1961-08-15 00:00:00;1961-08-14;11.2;Y
1961-08-15 00:00:01;1961-08-16 00:00:00;1961-08-15;11.9;Y
1961-08-16 00:00:01;1961-08-17 00:00:00;1961-08-16;12.8;Y
1961-08-17 00:00:01;1961-08-18 00:00:00;1961-08-17;13.1;Y
1961-08-18 00:00:01;1961-08-19 00:00:00;1961-08-18;13.3;Y
1961-08-19 00:00:01;1961-08-20 00:00:00;1961-08-19;12.4;Y
1961-08-20 00:00:01;1961-08-21 00:00:00;1961-08-20;14.0;Y
1961-08-21 00:00:01;1961-08-22 00:00:00;1961-08-21;12.8;Y
