Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Sonnbo;106060;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1986-10-01 00:00:00;1991-01-01 23:59:59;89.0;60.1197;16.2838

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1986-10-01 00:00:01;1986-10-02 00:00:00;1986-10-01;12.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1986-10-02 00:00:01;1986-10-03 00:00:00;1986-10-02;12.5;Y;;Tidsperiod (fr.o.m.) = 1986-10-01 00:00:00 (UTC)
1986-10-03 00:00:01;1986-10-04 00:00:00;1986-10-03;5.5;Y;;Tidsperiod (t.o.m.) = 1991-01-01 23:59:59 (UTC)
1986-10-04 00:00:01;1986-10-05 00:00:00;1986-10-04;6.5;Y;;Medelvärdet är beräknat för = 24 timmar
1986-10-05 00:00:01;1986-10-06 00:00:00;1986-10-05;2.8;Y;;
1986-10-06 00:00:01;1986-10-07 00:00:00;1986-10-06;5.9;Y;;Kvalitetskoderna:
1986-10-07 00:00:01;1986-10-08 00:00:00;1986-10-07;4.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1986-10-08 00:00:01;1986-10-09 00:00:00;1986-10-08;2.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1986-10-09 00:00:01;1986-10-10 00:00:00;1986-10-09;3.7;Y;;
1986-10-10 00:00:01;1986-10-11 00:00:00;1986-10-10;10.1;Y;;Nätinformation:
1986-10-11 00:00:01;1986-10-12 00:00:00;1986-10-11;8.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1986-10-12 00:00:01;1986-10-13 00:00:00;1986-10-12;5.9;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1986-10-13 00:00:01;1986-10-14 00:00:00;1986-10-13;9.0;Y;;
1986-10-14 00:00:01;1986-10-15 00:00:00;1986-10-14;5.4;Y;;Möjliga orsaker till saknade data:
1986-10-15 00:00:01;1986-10-16 00:00:00;1986-10-15;8.4;Y;;– stationen eller givaren har varit ur funktion.
1986-10-16 00:00:01;1986-10-17 00:00:00;1986-10-16;7.3;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1986-10-17 00:00:01;1986-10-18 00:00:00;1986-10-17;4.5;Y
1986-10-18 00:00:01;1986-10-19 00:00:00;1986-10-18;3.3;Y
1986-10-19 00:00:01;1986-10-20 00:00:00;1986-10-19;7.1;Y
1986-10-20 00:00:01;1986-10-21 00:00:00;1986-10-20;4.3;Y
1986-10-21 00:00:01;1986-10-22 00:00:00;1986-10-21;3.1;Y
1986-10-22 00:00:01;1986-10-23 00:00:00;1986-10-22;2.1;Y
1986-10-23 00:00:01;1986-10-24 00:00:00;1986-10-23;0.6;Y
1986-10-24 00:00:01;1986-10-25 00:00:00;1986-10-24;0.5;Y
1986-10-25 00:00:01;1986-10-26 00:00:00;1986-10-25;2.3;Y
1986-10-26 00:00:01;1986-10-27 00:00:00;1986-10-26;4.8;Y
1986-10-27 00:00:01;1986-10-28 00:00:00;1986-10-27;6.8;Y
1986-10-28 00:00:01;1986-10-29 00:00:00;1986-10-28;6.9;Y
1986-10-29 00:00:01;1986-10-30 00:00:00;1986-10-29;7.9;Y
1986-10-30 00:00:01;1986-10-31 00:00:00;1986-10-30;5.2;Y
1986-10-31 00:00:01;1986-11-01 00:00:00;1986-10-31;5.4;Y
1986-11-01 00:00:01;1986-11-02 00:00:00;1986-11-01;4.5;Y
1986-11-02 00:00:01;1986-11-03 00:00:00;1986-11-02;1.5;Y
1986-11-03 00:00:01;1986-11-04 00:00:00;1986-11-03;-0.2;Y
1986-11-04 00:00:01;1986-11-05 00:00:00;1986-11-04;2.1;Y
1986-11-05 00:00:01;1986-11-06 00:00:00;1986-11-05;0.4;Y
1986-11-06 00:00:01;1986-11-07 00:00:00;1986-11-06;1.7;Y
1986-11-07 00:00:01;1986-11-08 00:00:00;1986-11-07;0.8;Y
1986-11-08 00:00:01;1986-11-09 00:00:00;1986-11-08;6.9;Y
1986-11-09 00:00:01;1986-11-10 00:00:00;1986-11-09;4.6;Y
1986-11-10 00:00:01;1986-11-11 00:00:00;1986-11-10;6.8;Y
1986-11-11 00:00:01;1986-11-12 00:00:00;1986-11-11;8.6;Y
1986-11-12 00:00:01;1986-11-13 00:00:00;1986-11-12;3.7;Y
1986-11-13 00:00:01;1986-11-14 00:00:00;1986-11-13;-1.8;Y
1986-11-14 00:00:01;1986-11-15 00:00:00;1986-11-14;0.4;Y
1986-11-15 00:00:01;1986-11-16 00:00:00;1986-11-15;2.7;Y
1986-11-16 00:00:01;1986-11-17 00:00:00;1986-11-16;4.9;Y
1986-11-17 00:00:01;1986-11-18 00:00:00;1986-11-17;4.3;Y
1986-11-18 00:00:01;1986-11-19 00:00:00;1986-11-18;5.0;Y
1986-11-19 00:00:01;1986-11-20 00:00:00;1986-11-19;3.6;Y
1986-11-20 00:00:01;1986-11-21 00:00:00;1986-11-20;-0.7;Y
1986-11-21 00:00:01;1986-11-22 00:00:00;1986-11-21;-0.3;Y
1986-11-22 00:00:01;1986-11-23 00:00:00;1986-11-22;2.7;Y
1986-11-23 00:00:01;1986-11-24 00:00:00;1986-11-23;4.6;Y
1986-11-24 00:00:01;1986-11-25 00:00:00;1986-11-24;4.6;Y
1986-11-25 00:00:01;1986-11-26 00:00:00;1986-11-25;6.6;Y
1986-11-26 00:00:01;1986-11-27 00:00:00;1986-11-26;8.6;Y
1986-11-27 00:00:01;1986-11-28 00:00:00;1986-11-27;3.4;Y
1986-11-28 00:00:01;1986-11-29 00:00:00;1986-11-28;8.2;Y
1986-11-29 00:00:01;1986-11-30 00:00:00;1986-11-29;6.8;Y
1986-11-30 00:00:01;1986-12-01 00:00:00;1986-11-30;3.6;Y
1986-12-01 00:00:01;1986-12-02 00:00:00;1986-12-01;5.6;Y
1986-12-02 00:00:01;1986-12-03 00:00:00;1986-12-02;-0.6;Y
1986-12-03 00:00:01;1986-12-04 00:00:00;1986-12-03;2.6;Y
1986-12-04 00:00:01;1986-12-05 00:00:00;1986-12-04;7.3;Y
1986-12-05 00:00:01;1986-12-06 00:00:00;1986-12-05;1.2;Y
1986-12-06 00:00:01;1986-12-07 00:00:00;1986-12-06;-1.9;Y
1986-12-07 00:00:01;1986-12-08 00:00:00;1986-12-07;-6.2;Y
1986-12-08 00:00:01;1986-12-09 00:00:00;1986-12-08;1.7;Y
1986-12-09 00:00:01;1986-12-10 00:00:00;1986-12-09;2.5;Y
1986-12-10 00:00:01;1986-12-11 00:00:00;1986-12-10;4.0;Y
1986-12-11 00:00:01;1986-12-12 00:00:00;1986-12-11;-1.4;Y
1986-12-12 00:00:01;1986-12-13 00:00:00;1986-12-12;-0.3;Y
1986-12-13 00:00:01;1986-12-14 00:00:00;1986-12-13;0.3;Y
1986-12-14 00:00:01;1986-12-15 00:00:00;1986-12-14;-1.5;Y
1986-12-15 00:00:01;1986-12-16 00:00:00;1986-12-15;-5.0;Y
1986-12-16 00:00:01;1986-12-17 00:00:00;1986-12-16;-2.9;Y
1986-12-17 00:00:01;1986-12-18 00:00:00;1986-12-17;-3.5;Y
1986-12-18 00:00:01;1986-12-19 00:00:00;1986-12-18;-4.3;Y
1986-12-19 00:00:01;1986-12-20 00:00:00;1986-12-19;-4.3;Y
1986-12-20 00:00:01;1986-12-21 00:00:00;1986-12-20;-9.1;Y
1986-12-21 00:00:01;1986-12-22 00:00:00;1986-12-21;-9.3;Y
1986-12-22 00:00:01;1986-12-23 00:00:00;1986-12-22;-9.1;Y
1986-12-23 00:00:01;1986-12-24 00:00:00;1986-12-23;-6.6;Y
1986-12-24 00:00:01;1986-12-25 00:00:00;1986-12-24;-7.6;Y
1986-12-25 00:00:01;1986-12-26 00:00:00;1986-12-25;-9.7;Y
1986-12-26 00:00:01;1986-12-27 00:00:00;1986-12-26;-5.9;Y
1986-12-27 00:00:01;1986-12-28 00:00:00;1986-12-27;-5.7;Y
1986-12-28 00:00:01;1986-12-29 00:00:00;1986-12-28;-10.0;Y
1986-12-29 00:00:01;1986-12-30 00:00:00;1986-12-29;-3.5;Y
1986-12-30 00:00:01;1986-12-31 00:00:00;1986-12-30;-10.9;Y
1986-12-31 00:00:01;1987-01-01 00:00:00;1986-12-31;-14.1;Y
1987-01-01 00:00:01;1987-01-02 00:00:00;1987-01-01;-20.0;Y
1987-01-02 00:00:01;1987-01-03 00:00:00;1987-01-02;-18.1;Y
1987-01-03 00:00:01;1987-01-04 00:00:00;1987-01-03;-12.6;Y
1987-01-04 00:00:01;1987-01-05 00:00:00;1987-01-04;-19.0;Y
1987-01-05 00:00:01;1987-01-06 00:00:00;1987-01-05;-11.7;Y
1987-01-06 00:00:01;1987-01-07 00:00:00;1987-01-06;-17.0;Y
1987-01-07 00:00:01;1987-01-08 00:00:00;1987-01-07;-22.3;Y
1987-01-08 00:00:01;1987-01-09 00:00:00;1987-01-08;-19.1;Y
1987-01-09 00:00:01;1987-01-10 00:00:00;1987-01-09;-23.4;Y
1987-01-10 00:00:01;1987-01-11 00:00:00;1987-01-10;-27.5;Y
1987-01-11 00:00:01;1987-01-12 00:00:00;1987-01-11;-26.1;Y
1987-01-12 00:00:01;1987-01-13 00:00:00;1987-01-12;-23.7;Y
1987-01-13 00:00:01;1987-01-14 00:00:00;1987-01-13;-20.1;Y
1987-01-14 00:00:01;1987-01-15 00:00:00;1987-01-14;-12.7;Y
1987-01-15 00:00:01;1987-01-16 00:00:00;1987-01-15;-15.1;Y
1987-01-16 00:00:01;1987-01-17 00:00:00;1987-01-16;-11.0;Y
1987-01-17 00:00:01;1987-01-18 00:00:00;1987-01-17;-12.1;Y
1987-01-18 00:00:01;1987-01-19 00:00:00;1987-01-18;-7.9;Y
1987-01-19 00:00:01;1987-01-20 00:00:00;1987-01-19;-8.3;Y
1987-01-20 00:00:01;1987-01-21 00:00:00;1987-01-20;-6.1;Y
1987-01-21 00:00:01;1987-01-22 00:00:00;1987-01-21;-7.1;Y
1987-01-22 00:00:01;1987-01-23 00:00:00;1987-01-22;-10.2;Y
1987-01-23 00:00:01;1987-01-24 00:00:00;1987-01-23;-9.8;Y
1987-01-24 00:00:01;1987-01-25 00:00:00;1987-01-24;-1.5;Y
1987-01-25 00:00:01;1987-01-26 00:00:00;1987-01-25;0.4;Y
1987-01-26 00:00:01;1987-01-27 00:00:00;1987-01-26;-10.0;Y
1987-01-27 00:00:01;1987-01-28 00:00:00;1987-01-27;-11.1;Y
1987-01-28 00:00:01;1987-01-29 00:00:00;1987-01-28;-19.1;Y
1987-01-29 00:00:01;1987-01-30 00:00:00;1987-01-29;-18.6;Y
1987-01-30 00:00:01;1987-01-31 00:00:00;1987-01-30;-5.5;Y
1987-01-31 00:00:01;1987-02-01 00:00:00;1987-01-31;2.0;Y
1987-02-01 00:00:01;1987-02-02 00:00:00;1987-02-01;-3.5;Y
1987-02-02 00:00:01;1987-02-03 00:00:00;1987-02-02;-3.2;Y
1987-02-03 00:00:01;1987-02-04 00:00:00;1987-02-03;-3.9;Y
1987-02-04 00:00:01;1987-02-05 00:00:00;1987-02-04;0.6;Y
1987-02-05 00:00:01;1987-02-06 00:00:00;1987-02-05;2.2;Y
1987-02-06 00:00:01;1987-02-07 00:00:00;1987-02-06;1.6;Y
1987-02-07 00:00:01;1987-02-08 00:00:00;1987-02-07;-4.9;Y
1987-02-08 00:00:01;1987-02-09 00:00:00;1987-02-08;-8.2;Y
1987-02-09 00:00:01;1987-02-10 00:00:00;1987-02-09;-10.4;Y
1987-02-10 00:00:01;1987-02-11 00:00:00;1987-02-10;-12.7;Y
1987-02-11 00:00:01;1987-02-12 00:00:00;1987-02-11;-3.2;Y
1987-02-12 00:00:01;1987-02-13 00:00:00;1987-02-12;-1.6;Y
1987-02-13 00:00:01;1987-02-14 00:00:00;1987-02-13;-0.9;Y
1987-02-14 00:00:01;1987-02-15 00:00:00;1987-02-14;-1.4;Y
1987-02-15 00:00:01;1987-02-16 00:00:00;1987-02-15;-6.8;Y
1987-02-16 00:00:01;1987-02-17 00:00:00;1987-02-16;-12.3;Y
1987-02-17 00:00:01;1987-02-18 00:00:00;1987-02-17;-6.7;Y
1987-02-18 00:00:01;1987-02-19 00:00:00;1987-02-18;-9.5;Y
1987-02-19 00:00:01;1987-02-20 00:00:00;1987-02-19;-10.0;Y
1987-02-20 00:00:01;1987-02-21 00:00:00;1987-02-20;-4.3;Y
1987-02-21 00:00:01;1987-02-22 00:00:00;1987-02-21;-1.9;Y
1987-02-22 00:00:01;1987-02-23 00:00:00;1987-02-22;-4.8;Y
1987-02-23 00:00:01;1987-02-24 00:00:00;1987-02-23;-7.7;Y
1987-02-24 00:00:01;1987-02-25 00:00:00;1987-02-24;-7.0;Y
1987-02-25 00:00:01;1987-02-26 00:00:00;1987-02-25;-13.4;Y
1987-02-26 00:00:01;1987-02-27 00:00:00;1987-02-26;-10.0;Y
1987-02-27 00:00:01;1987-02-28 00:00:00;1987-02-27;-6.7;Y
1987-02-28 00:00:01;1987-03-01 00:00:00;1987-02-28;-12.3;Y
1987-03-01 00:00:01;1987-03-02 00:00:00;1987-03-01;-15.2;Y
1987-03-02 00:00:01;1987-03-03 00:00:00;1987-03-02;-16.5;Y
1987-03-03 00:00:01;1987-03-04 00:00:00;1987-03-03;-13.3;Y
1987-03-04 00:00:01;1987-03-05 00:00:00;1987-03-04;-14.9;Y
1987-03-05 00:00:01;1987-03-06 00:00:00;1987-03-05;-14.5;Y
1987-03-06 00:00:01;1987-03-07 00:00:00;1987-03-06;-7.9;Y
1987-03-07 00:00:01;1987-03-08 00:00:00;1987-03-07;-10.4;Y
1987-03-08 00:00:01;1987-03-09 00:00:00;1987-03-08;-8.0;Y
1987-03-09 00:00:01;1987-03-10 00:00:00;1987-03-09;-8.2;Y
1987-03-10 00:00:01;1987-03-11 00:00:00;1987-03-10;-8.3;Y
1987-03-11 00:00:01;1987-03-12 00:00:00;1987-03-11;-7.0;Y
1987-03-12 00:00:01;1987-03-13 00:00:00;1987-03-12;-6.6;Y
1987-03-13 00:00:01;1987-03-14 00:00:00;1987-03-13;-7.4;Y
1987-03-14 00:00:01;1987-03-15 00:00:00;1987-03-14;-7.2;Y
1987-03-15 00:00:01;1987-03-16 00:00:00;1987-03-15;-5.2;Y
1987-03-16 00:00:01;1987-03-17 00:00:00;1987-03-16;-5.7;Y
1987-03-17 00:00:01;1987-03-18 00:00:00;1987-03-17;-5.6;Y
1987-03-18 00:00:01;1987-03-19 00:00:00;1987-03-18;-1.7;Y
1987-03-19 00:00:01;1987-03-20 00:00:00;1987-03-19;-1.9;Y
1987-03-20 00:00:01;1987-03-21 00:00:00;1987-03-20;-2.6;Y
1987-03-21 00:00:01;1987-03-22 00:00:00;1987-03-21;-2.4;Y
1987-03-22 00:00:01;1987-03-23 00:00:00;1987-03-22;-0.3;Y
1987-03-23 00:00:01;1987-03-24 00:00:00;1987-03-23;-0.4;Y
1987-03-24 00:00:01;1987-03-25 00:00:00;1987-03-24;0.1;Y
1987-03-25 00:00:01;1987-03-26 00:00:00;1987-03-25;-0.5;Y
1987-03-26 00:00:01;1987-03-27 00:00:00;1987-03-26;-1.5;Y
1987-03-27 00:00:01;1987-03-28 00:00:00;1987-03-27;2.4;Y
1987-03-28 00:00:01;1987-03-29 00:00:00;1987-03-28;3.5;Y
1987-03-29 00:00:01;1987-03-30 00:00:00;1987-03-29;2.9;Y
1987-03-30 00:00:01;1987-03-31 00:00:00;1987-03-30;2.3;Y
1987-03-31 00:00:01;1987-04-01 00:00:00;1987-03-31;1.0;Y
1987-04-01 00:00:01;1987-04-02 00:00:00;1987-04-01;2.3;Y
1987-04-02 00:00:01;1987-04-03 00:00:00;1987-04-02;0.9;Y
1987-04-03 00:00:01;1987-04-04 00:00:00;1987-04-03;1.1;Y
1987-04-04 00:00:01;1987-04-05 00:00:00;1987-04-04;1.8;Y
1987-04-05 00:00:01;1987-04-06 00:00:00;1987-04-05;1.9;Y
1987-04-06 00:00:01;1987-04-07 00:00:00;1987-04-06;2.4;Y
1987-04-07 00:00:01;1987-04-08 00:00:00;1987-04-07;3.2;Y
1987-04-08 00:00:01;1987-04-09 00:00:00;1987-04-08;-0.7;Y
1987-04-09 00:00:01;1987-04-10 00:00:00;1987-04-09;-2.8;Y
1987-04-10 00:00:01;1987-04-11 00:00:00;1987-04-10;-0.8;Y
1987-04-11 00:00:01;1987-04-12 00:00:00;1987-04-11;0.3;Y
1987-04-12 00:00:01;1987-04-13 00:00:00;1987-04-12;1.9;Y
1987-04-13 00:00:01;1987-04-14 00:00:00;1987-04-13;3.0;Y
1987-04-14 00:00:01;1987-04-15 00:00:00;1987-04-14;4.9;Y
1987-04-15 00:00:01;1987-04-16 00:00:00;1987-04-15;4.2;Y
1987-04-16 00:00:01;1987-04-17 00:00:00;1987-04-16;6.9;Y
1987-04-17 00:00:01;1987-04-18 00:00:00;1987-04-17;5.1;Y
1987-04-18 00:00:01;1987-04-19 00:00:00;1987-04-18;3.8;Y
1987-04-19 00:00:01;1987-04-20 00:00:00;1987-04-19;3.8;Y
1987-04-20 00:00:01;1987-04-21 00:00:00;1987-04-20;0.7;Y
1987-04-21 00:00:01;1987-04-22 00:00:00;1987-04-21;0.7;Y
1987-04-22 00:00:01;1987-04-23 00:00:00;1987-04-22;4.0;Y
1987-04-23 00:00:01;1987-04-24 00:00:00;1987-04-23;10.4;Y
1987-04-24 00:00:01;1987-04-25 00:00:00;1987-04-24;9.6;Y
1987-04-25 00:00:01;1987-04-26 00:00:00;1987-04-25;6.8;Y
1987-04-26 00:00:01;1987-04-27 00:00:00;1987-04-26;3.3;Y
1987-04-27 00:00:01;1987-04-28 00:00:00;1987-04-27;5.1;Y
1987-04-28 00:00:01;1987-04-29 00:00:00;1987-04-28;12.3;Y
1987-04-29 00:00:01;1987-04-30 00:00:00;1987-04-29;14.7;Y
1987-04-30 00:00:01;1987-05-01 00:00:00;1987-04-30;15.4;Y
1987-05-01 00:00:01;1987-05-02 00:00:00;1987-05-01;15.1;Y
1987-05-02 00:00:01;1987-05-03 00:00:00;1987-05-02;10.3;Y
1987-05-03 00:00:01;1987-05-04 00:00:00;1987-05-03;7.7;Y
1987-05-04 00:00:01;1987-05-05 00:00:00;1987-05-04;4.8;Y
1987-05-05 00:00:01;1987-05-06 00:00:00;1987-05-05;7.0;Y
1987-05-06 00:00:01;1987-05-07 00:00:00;1987-05-06;9.5;Y
1987-05-07 00:00:01;1987-05-08 00:00:00;1987-05-07;8.2;Y
1987-05-08 00:00:01;1987-05-09 00:00:00;1987-05-08;8.0;Y
1987-05-09 00:00:01;1987-05-10 00:00:00;1987-05-09;10.0;Y
1987-05-10 00:00:01;1987-05-11 00:00:00;1987-05-10;5.9;Y
1987-05-11 00:00:01;1987-05-12 00:00:00;1987-05-11;5.5;Y
1987-05-12 00:00:01;1987-05-13 00:00:00;1987-05-12;3.9;Y
1987-05-13 00:00:01;1987-05-14 00:00:00;1987-05-13;4.7;Y
1987-05-14 00:00:01;1987-05-15 00:00:00;1987-05-14;6.7;Y
1987-05-15 00:00:01;1987-05-16 00:00:00;1987-05-15;6.5;Y
1987-05-16 00:00:01;1987-05-17 00:00:00;1987-05-16;8.3;Y
1987-05-17 00:00:01;1987-05-18 00:00:00;1987-05-17;7.4;Y
1987-05-18 00:00:01;1987-05-19 00:00:00;1987-05-18;6.9;Y
1987-05-19 00:00:01;1987-05-20 00:00:00;1987-05-19;9.1;Y
1987-05-20 00:00:01;1987-05-21 00:00:00;1987-05-20;8.5;Y
1987-05-21 00:00:01;1987-05-22 00:00:00;1987-05-21;10.1;Y
1987-05-22 00:00:01;1987-05-23 00:00:00;1987-05-22;12.6;Y
1987-05-23 00:00:01;1987-05-24 00:00:00;1987-05-23;15.0;Y
1987-05-24 00:00:01;1987-05-25 00:00:00;1987-05-24;10.6;Y
1987-05-25 00:00:01;1987-05-26 00:00:00;1987-05-25;12.6;Y
1987-05-26 00:00:01;1987-05-27 00:00:00;1987-05-26;10.0;Y
1987-05-27 00:00:01;1987-05-28 00:00:00;1987-05-27;5.7;Y
1987-05-28 00:00:01;1987-05-29 00:00:00;1987-05-28;6.5;Y
1987-05-29 00:00:01;1987-05-30 00:00:00;1987-05-29;7.0;Y
1987-05-30 00:00:01;1987-05-31 00:00:00;1987-05-30;8.6;Y
1987-05-31 00:00:01;1987-06-01 00:00:00;1987-05-31;8.7;Y
1987-06-01 00:00:01;1987-06-02 00:00:00;1987-06-01;10.4;Y
1987-06-02 00:00:01;1987-06-03 00:00:00;1987-06-02;10.6;Y
1987-06-03 00:00:01;1987-06-04 00:00:00;1987-06-03;8.4;Y
1987-06-04 00:00:01;1987-06-05 00:00:00;1987-06-04;11.5;Y
1987-06-05 00:00:01;1987-06-06 00:00:00;1987-06-05;14.9;Y
1987-06-06 00:00:01;1987-06-07 00:00:00;1987-06-06;15.8;Y
1987-06-07 00:00:01;1987-06-08 00:00:00;1987-06-07;13.2;Y
1987-06-08 00:00:01;1987-06-09 00:00:00;1987-06-08;12.2;Y
1987-06-09 00:00:01;1987-06-10 00:00:00;1987-06-09;10.8;Y
1987-06-10 00:00:01;1987-06-11 00:00:00;1987-06-10;11.2;Y
1987-06-11 00:00:01;1987-06-12 00:00:00;1987-06-11;12.3;Y
1987-06-12 00:00:01;1987-06-13 00:00:00;1987-06-12;9.6;Y
1987-06-13 00:00:01;1987-06-14 00:00:00;1987-06-13;9.6;Y
1987-06-14 00:00:01;1987-06-15 00:00:00;1987-06-14;9.9;Y
1987-06-15 00:00:01;1987-06-16 00:00:00;1987-06-15;8.2;Y
1987-06-16 00:00:01;1987-06-17 00:00:00;1987-06-16;8.6;Y
1987-06-17 00:00:01;1987-06-18 00:00:00;1987-06-17;8.8;Y
1987-06-18 00:00:01;1987-06-19 00:00:00;1987-06-18;10.9;Y
1987-06-19 00:00:01;1987-06-20 00:00:00;1987-06-19;9.2;Y
1987-06-20 00:00:01;1987-06-21 00:00:00;1987-06-20;11.6;Y
1987-06-21 00:00:01;1987-06-22 00:00:00;1987-06-21;13.7;Y
1987-06-22 00:00:01;1987-06-23 00:00:00;1987-06-22;16.0;Y
1987-06-23 00:00:01;1987-06-24 00:00:00;1987-06-23;13.9;Y
1987-06-24 00:00:01;1987-06-25 00:00:00;1987-06-24;13.7;Y
1987-06-25 00:00:01;1987-06-26 00:00:00;1987-06-25;12.7;Y
1987-06-26 00:00:01;1987-06-27 00:00:00;1987-06-26;13.0;Y
1987-06-27 00:00:01;1987-06-28 00:00:00;1987-06-27;13.3;Y
1987-06-28 00:00:01;1987-06-29 00:00:00;1987-06-28;14.9;Y
1987-06-29 00:00:01;1987-06-30 00:00:00;1987-06-29;15.7;Y
1987-06-30 00:00:01;1987-07-01 00:00:00;1987-06-30;13.3;Y
1987-08-01 00:00:01;1987-08-02 00:00:00;1987-08-01;12.9;Y
1987-08-02 00:00:01;1987-08-03 00:00:00;1987-08-02;12.5;Y
1987-08-03 00:00:01;1987-08-04 00:00:00;1987-08-03;12.8;Y
1987-08-04 00:00:01;1987-08-05 00:00:00;1987-08-04;14.0;Y
1987-08-05 00:00:01;1987-08-06 00:00:00;1987-08-05;14.2;Y
1987-08-06 00:00:01;1987-08-07 00:00:00;1987-08-06;13.1;Y
1987-08-07 00:00:01;1987-08-08 00:00:00;1987-08-07;12.7;Y
1987-08-08 00:00:01;1987-08-09 00:00:00;1987-08-08;9.9;Y
1987-08-09 00:00:01;1987-08-10 00:00:00;1987-08-09;9.9;Y
1987-08-10 00:00:01;1987-08-11 00:00:00;1987-08-10;10.2;Y
1987-08-11 00:00:01;1987-08-12 00:00:00;1987-08-11;11.7;Y
