Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Kratte masugn;106340;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1950-03-01 00:00:00;1954-05-01 23:59:59;160.0;60.4528;16.3861

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1950-03-01 00:00:01;1950-03-02 00:00:00;1950-03-01;-6.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1950-03-02 00:00:01;1950-03-03 00:00:00;1950-03-02;-6.4;Y;;Tidsperiod (fr.o.m.) = 1950-03-01 00:00:00 (UTC)
1950-03-03 00:00:01;1950-03-04 00:00:00;1950-03-03;-3.6;Y;;Tidsperiod (t.o.m.) = 1954-05-01 23:59:59 (UTC)
1950-03-04 00:00:01;1950-03-05 00:00:00;1950-03-04;2.4;Y;;Medelvärdet är beräknat för = 24 timmar
1950-03-05 00:00:01;1950-03-06 00:00:00;1950-03-05;4.7;Y;;
1950-03-06 00:00:01;1950-03-07 00:00:00;1950-03-06;6.9;Y;;Kvalitetskoderna:
1950-03-07 00:00:01;1950-03-08 00:00:00;1950-03-07;2.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1950-03-08 00:00:01;1950-03-09 00:00:00;1950-03-08;-0.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1950-03-09 00:00:01;1950-03-10 00:00:00;1950-03-09;-2.9;Y;;
1950-03-10 00:00:01;1950-03-11 00:00:00;1950-03-10;-4.0;Y;;Nätinformation:
1950-03-11 00:00:01;1950-03-12 00:00:00;1950-03-11;-0.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1950-03-12 00:00:01;1950-03-13 00:00:00;1950-03-12;-6.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1950-03-13 00:00:01;1950-03-14 00:00:00;1950-03-13;-8.3;Y;;
1950-03-14 00:00:01;1950-03-15 00:00:00;1950-03-14;-8.7;Y;;Möjliga orsaker till saknade data:
1950-03-15 00:00:01;1950-03-16 00:00:00;1950-03-15;-8.7;Y;;– stationen eller givaren har varit ur funktion.
1950-03-16 00:00:01;1950-03-17 00:00:00;1950-03-16;-5.4;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1950-03-17 00:00:01;1950-03-18 00:00:00;1950-03-17;2.3;Y
1950-03-18 00:00:01;1950-03-19 00:00:00;1950-03-18;5.2;Y
1950-03-19 00:00:01;1950-03-20 00:00:00;1950-03-19;6.8;Y
1950-03-20 00:00:01;1950-03-21 00:00:00;1950-03-20;4.3;Y
1950-03-21 00:00:01;1950-03-22 00:00:00;1950-03-21;1.1;Y
1950-03-22 00:00:01;1950-03-23 00:00:00;1950-03-22;-0.3;Y
1950-03-23 00:00:01;1950-03-24 00:00:00;1950-03-23;0.3;Y
1950-03-24 00:00:01;1950-03-25 00:00:00;1950-03-24;2.2;Y
1950-03-25 00:00:01;1950-03-26 00:00:00;1950-03-25;3.9;Y
1950-03-26 00:00:01;1950-03-27 00:00:00;1950-03-26;3.9;Y
