Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Sandviken;106360;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1977-01-01 00:00:00;1987-04-30 23:59:59;65.0;60.6103;16.7896

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1977-01-15 00:00:01;1977-01-16 00:00:00;1977-01-15;4.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1977-01-16 00:00:01;1977-01-17 00:00:00;1977-01-16;0.8;Y;;Tidsperiod (fr.o.m.) = 1977-01-01 00:00:00 (UTC)
1977-01-17 00:00:01;1977-01-18 00:00:00;1977-01-17;-0.4;Y;;Tidsperiod (t.o.m.) = 1987-04-30 23:59:59 (UTC)
1977-01-18 00:00:01;1977-01-19 00:00:00;1977-01-18;-5.1;Y;;Medelvärdet är beräknat för = 24 timmar
1977-01-19 00:00:01;1977-01-20 00:00:00;1977-01-19;-4.4;Y;;
1977-01-20 00:00:01;1977-01-21 00:00:00;1977-01-20;-8.2;Y;;Kvalitetskoderna:
1977-01-21 00:00:01;1977-01-22 00:00:00;1977-01-21;-1.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1977-01-22 00:00:01;1977-01-23 00:00:00;1977-01-22;-0.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1977-01-23 00:00:01;1977-01-24 00:00:00;1977-01-23;-6.4;Y;;
1977-01-24 00:00:01;1977-01-25 00:00:00;1977-01-24;0.7;Y;;Nätinformation:
1977-01-25 00:00:01;1977-01-26 00:00:00;1977-01-25;-2.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1977-01-26 00:00:01;1977-01-27 00:00:00;1977-01-26;-6.9;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1977-01-27 00:00:01;1977-01-28 00:00:00;1977-01-27;-8.0;Y;;
1977-01-28 00:00:01;1977-01-29 00:00:00;1977-01-28;1.6;Y;;Möjliga orsaker till saknade data:
1977-01-29 00:00:01;1977-01-30 00:00:00;1977-01-29;0.1;Y;;– stationen eller givaren har varit ur funktion.
1977-01-30 00:00:01;1977-01-31 00:00:00;1977-01-30;-1.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1977-12-01 00:00:01;1977-12-02 00:00:00;1977-12-01;-1.6;Y
1977-12-02 00:00:01;1977-12-03 00:00:00;1977-12-02;0.3;Y
1977-12-03 00:00:01;1977-12-04 00:00:00;1977-12-03;-4.5;Y
1977-12-04 00:00:01;1977-12-05 00:00:00;1977-12-04;-7.2;Y
1977-12-05 00:00:01;1977-12-06 00:00:00;1977-12-05;-2.6;Y
1977-12-06 00:00:01;1977-12-07 00:00:00;1977-12-06;-1.3;Y
1977-12-07 00:00:01;1977-12-08 00:00:00;1977-12-07;-2.2;Y
1977-12-08 00:00:01;1977-12-09 00:00:00;1977-12-08;-0.1;Y
1977-12-09 00:00:01;1977-12-10 00:00:00;1977-12-09;-0.8;Y
1977-12-10 00:00:01;1977-12-11 00:00:00;1977-12-10;-0.7;Y
1977-12-11 00:00:01;1977-12-12 00:00:00;1977-12-11;-0.7;Y
1977-12-12 00:00:01;1977-12-13 00:00:00;1977-12-12;0.1;Y
1977-12-13 00:00:01;1977-12-14 00:00:00;1977-12-13;1.7;Y
1977-12-14 00:00:01;1977-12-15 00:00:00;1977-12-14;0.9;Y
1977-12-15 00:00:01;1977-12-16 00:00:00;1977-12-15;0.3;Y
