Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Vintjärn;106500;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1982-06-01 00:00:00;1983-03-28 23:59:59;348.0;60.8321;16.0581
1983-03-01 00:00:00;1984-05-17 23:59:59;354.0;60.8321;16.0581
1984-05-01 00:00:00;1996-02-01 06:00:00;348.0;60.8321;16.0581

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1982-06-01 00:00:01;1982-06-02 00:00:00;1982-06-01;17.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1982-06-02 00:00:01;1982-06-03 00:00:00;1982-06-02;19.8;Y;;Tidsperiod (fr.o.m.) = 1982-06-01 00:00:00 (UTC)
1982-06-03 00:00:01;1982-06-04 00:00:00;1982-06-03;21.0;Y;;Tidsperiod (t.o.m.) = 1996-02-01 06:00:00 (UTC)
1982-06-04 00:00:01;1982-06-05 00:00:00;1982-06-04;21.5;Y;;Medelvärdet är beräknat för = 24 timmar
1982-06-05 00:00:01;1982-06-06 00:00:00;1982-06-05;18.4;Y;;
1982-06-06 00:00:01;1982-06-07 00:00:00;1982-06-06;8.2;Y;;Kvalitetskoderna:
1982-06-07 00:00:01;1982-06-08 00:00:00;1982-06-07;11.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1982-06-08 00:00:01;1982-06-09 00:00:00;1982-06-08;7.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1982-06-09 00:00:01;1982-06-10 00:00:00;1982-06-09;4.8;Y;;
1982-06-10 00:00:01;1982-06-11 00:00:00;1982-06-10;6.6;Y;;Nätinformation:
