Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Viksta;107020;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1952-07-01 00:00:00;1953-04-30 23:59:59;103.0;60.0694;17.6181

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1952-07-18 00:00:01;1952-07-19 00:00:00;1952-07-18;15.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1952-07-20 00:00:01;1952-07-21 00:00:00;1952-07-20;12.2;Y;;Tidsperiod (fr.o.m.) = 1952-07-01 00:00:00 (UTC)
1952-07-21 00:00:01;1952-07-22 00:00:00;1952-07-21;13.2;Y;;Tidsperiod (t.o.m.) = 1953-04-30 23:59:59 (UTC)
1952-07-28 00:00:01;1952-07-29 00:00:00;1952-07-28;14.3;Y;;Medelvärdet är beräknat för = 24 timmar
1952-07-29 00:00:01;1952-07-30 00:00:00;1952-07-29;15.1;Y;;
1952-07-30 00:00:01;1952-07-31 00:00:00;1952-07-30;15.9;Y;;Kvalitetskoderna:
1952-07-31 00:00:01;1952-08-01 00:00:00;1952-07-31;14.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1952-08-01 00:00:01;1952-08-02 00:00:00;1952-08-01;16.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1952-08-03 00:00:01;1952-08-04 00:00:00;1952-08-03;20.2;Y;;
1952-08-04 00:00:01;1952-08-05 00:00:00;1952-08-04;18.2;Y;;Nätinformation:
1952-08-05 00:00:01;1952-08-06 00:00:00;1952-08-05;16.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1952-08-06 00:00:01;1952-08-07 00:00:00;1952-08-06;16.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1952-08-07 00:00:01;1952-08-08 00:00:00;1952-08-07;14.2;Y;;
1952-08-10 00:00:01;1952-08-11 00:00:00;1952-08-10;15.3;Y;;Möjliga orsaker till saknade data:
1952-08-11 00:00:01;1952-08-12 00:00:00;1952-08-11;16.0;Y;;– stationen eller givaren har varit ur funktion.
1952-08-12 00:00:01;1952-08-13 00:00:00;1952-08-12;14.3;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1952-08-13 00:00:01;1952-08-14 00:00:00;1952-08-13;17.7;Y
1952-08-14 00:00:01;1952-08-15 00:00:00;1952-08-14;15.3;Y
1952-08-15 00:00:01;1952-08-16 00:00:00;1952-08-15;12.6;Y
1952-08-17 00:00:01;1952-08-18 00:00:00;1952-08-17;11.4;Y
1952-08-18 00:00:01;1952-08-19 00:00:00;1952-08-18;13.1;Y
1952-08-19 00:00:01;1952-08-20 00:00:00;1952-08-19;11.5;Y
1952-08-20 00:00:01;1952-08-21 00:00:00;1952-08-20;12.4;Y
1952-08-21 00:00:01;1952-08-22 00:00:00;1952-08-21;12.3;Y
1952-08-22 00:00:01;1952-08-23 00:00:00;1952-08-22;13.0;Y
1952-08-24 00:00:01;1952-08-25 00:00:00;1952-08-24;14.0;Y
1952-08-25 00:00:01;1952-08-26 00:00:00;1952-08-25;10.7;Y
1952-08-26 00:00:01;1952-08-27 00:00:00;1952-08-26;11.3;Y
1952-08-28 00:00:01;1952-08-29 00:00:00;1952-08-28;11.4;Y
1952-08-29 00:00:01;1952-08-30 00:00:00;1952-08-29;11.4;Y
1952-09-01 00:00:01;1952-09-02 00:00:00;1952-09-01;15.6;Y
1952-09-02 00:00:01;1952-09-03 00:00:00;1952-09-02;12.4;Y
1952-09-03 00:00:01;1952-09-04 00:00:00;1952-09-03;11.3;Y
1952-09-04 00:00:01;1952-09-05 00:00:00;1952-09-04;9.3;Y
1952-09-05 00:00:01;1952-09-06 00:00:00;1952-09-05;10.0;Y
1952-09-07 00:00:01;1952-09-08 00:00:00;1952-09-07;8.2;Y
1952-09-08 00:00:01;1952-09-09 00:00:00;1952-09-08;8.1;Y
1952-09-09 00:00:01;1952-09-10 00:00:00;1952-09-09;10.6;Y
1952-09-10 00:00:01;1952-09-11 00:00:00;1952-09-10;9.0;Y
1952-09-11 00:00:01;1952-09-12 00:00:00;1952-09-11;9.7;Y
1952-09-12 00:00:01;1952-09-13 00:00:00;1952-09-12;8.2;Y
1952-09-14 00:00:01;1952-09-15 00:00:00;1952-09-14;6.6;Y
1952-09-15 00:00:01;1952-09-16 00:00:00;1952-09-15;5.8;Y
1952-09-16 00:00:01;1952-09-17 00:00:00;1952-09-16;9.6;Y
1952-09-17 00:00:01;1952-09-18 00:00:00;1952-09-17;11.0;Y
1952-09-18 00:00:01;1952-09-19 00:00:00;1952-09-18;8.3;Y
1952-09-19 00:00:01;1952-09-20 00:00:00;1952-09-19;6.5;Y
1952-09-21 00:00:01;1952-09-22 00:00:00;1952-09-21;3.1;Y
1952-09-22 00:00:01;1952-09-23 00:00:00;1952-09-22;7.0;Y
1952-09-23 00:00:01;1952-09-24 00:00:00;1952-09-23;3.2;Y
1952-09-24 00:00:01;1952-09-25 00:00:00;1952-09-24;2.4;Y
1952-09-25 00:00:01;1952-09-26 00:00:00;1952-09-25;7.4;Y
1952-09-26 00:00:01;1952-09-27 00:00:00;1952-09-26;8.8;Y
1952-09-27 00:00:01;1952-09-28 00:00:00;1952-09-27;10.1;Y
1952-09-28 00:00:01;1952-09-29 00:00:00;1952-09-28;9.3;Y
1952-09-29 00:00:01;1952-09-30 00:00:00;1952-09-29;4.5;Y
1952-09-30 00:00:01;1952-10-01 00:00:00;1952-09-30;1.9;Y
1952-10-01 00:00:01;1952-10-02 00:00:00;1952-10-01;7.0;Y
1952-10-02 00:00:01;1952-10-03 00:00:00;1952-10-02;6.5;Y
1952-10-03 00:00:01;1952-10-04 00:00:00;1952-10-03;4.6;Y
1952-10-05 00:00:01;1952-10-06 00:00:00;1952-10-05;3.3;Y
1952-10-06 00:00:01;1952-10-07 00:00:00;1952-10-06;2.7;Y
1952-10-07 00:00:01;1952-10-08 00:00:00;1952-10-07;4.0;Y
1952-10-08 00:00:01;1952-10-09 00:00:00;1952-10-08;1.6;Y
1952-10-09 00:00:01;1952-10-10 00:00:00;1952-10-09;4.8;Y
1952-10-10 00:00:01;1952-10-11 00:00:00;1952-10-10;2.3;Y
1952-10-12 00:00:01;1952-10-13 00:00:00;1952-10-12;2.9;Y
1952-10-13 00:00:01;1952-10-14 00:00:00;1952-10-13;3.8;Y
1952-10-14 00:00:01;1952-10-15 00:00:00;1952-10-14;4.1;Y
1952-10-15 00:00:01;1952-10-16 00:00:00;1952-10-15;4.6;Y
1952-10-16 00:00:01;1952-10-17 00:00:00;1952-10-16;5.5;Y
1952-10-17 00:00:01;1952-10-18 00:00:00;1952-10-17;4.2;Y
1952-10-19 00:00:01;1952-10-20 00:00:00;1952-10-19;3.0;Y
1952-10-20 00:00:01;1952-10-21 00:00:00;1952-10-20;2.3;Y
