Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Björklinge;107040;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1953-04-01 00:00:00;1955-01-31 23:59:59;31.0;60.0514;17.5667

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1953-04-01 00:00:01;1953-04-02 00:00:00;1953-04-01;-1.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1953-04-02 00:00:01;1953-04-03 00:00:00;1953-04-02;2.8;Y;;Tidsperiod (fr.o.m.) = 1953-04-01 00:00:00 (UTC)
1953-04-03 00:00:01;1953-04-04 00:00:00;1953-04-03;7.5;Y;;Tidsperiod (t.o.m.) = 1955-01-31 23:59:59 (UTC)
1953-04-05 00:00:01;1953-04-06 00:00:00;1953-04-05;6.9;Y;;Medelvärdet är beräknat för = 24 timmar
1953-04-06 00:00:01;1953-04-07 00:00:00;1953-04-06;3.6;Y;;
1953-04-07 00:00:01;1953-04-08 00:00:00;1953-04-07;4.2;Y;;Kvalitetskoderna:
1953-04-08 00:00:01;1953-04-09 00:00:00;1953-04-08;3.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1953-04-09 00:00:01;1953-04-10 00:00:00;1953-04-09;-0.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1953-04-10 00:00:01;1953-04-11 00:00:00;1953-04-10;2.3;Y;;
1953-04-12 00:00:01;1953-04-13 00:00:00;1953-04-12;5.6;Y;;Nätinformation:
1953-04-13 00:00:01;1953-04-14 00:00:00;1953-04-13;8.7;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1953-04-14 00:00:01;1953-04-15 00:00:00;1953-04-14;6.9;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1953-04-15 00:00:01;1953-04-16 00:00:00;1953-04-15;3.4;Y;;
1953-04-16 00:00:01;1953-04-17 00:00:00;1953-04-16;3.5;Y;;Möjliga orsaker till saknade data:
1953-04-17 00:00:01;1953-04-18 00:00:00;1953-04-17;6.1;Y;;– stationen eller givaren har varit ur funktion.
1953-04-19 00:00:01;1953-04-20 00:00:00;1953-04-19;1.7;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1953-04-20 00:00:01;1953-04-21 00:00:00;1953-04-20;6.7;Y
1953-04-21 00:00:01;1953-04-22 00:00:00;1953-04-21;8.0;Y
