Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Sandbro;107050;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-07-01 00:00:00;1962-11-01 23:59:59;35.0;60.0042;17.5833

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1962-07-01 00:00:01;1962-07-02 00:00:00;1962-07-01;16.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-07-02 00:00:01;1962-07-03 00:00:00;1962-07-02;15.6;Y;;Tidsperiod (fr.o.m.) = 1962-07-01 00:00:00 (UTC)
1962-07-03 00:00:01;1962-07-04 00:00:00;1962-07-03;14.1;Y;;Tidsperiod (t.o.m.) = 1962-11-01 23:59:59 (UTC)
1962-07-04 00:00:01;1962-07-05 00:00:00;1962-07-04;12.2;Y;;Medelvärdet är beräknat för = 24 timmar
1962-07-05 00:00:01;1962-07-06 00:00:00;1962-07-05;11.3;Y;;
1962-07-06 00:00:01;1962-07-07 00:00:00;1962-07-06;12.3;Y;;Kvalitetskoderna:
1962-07-07 00:00:01;1962-07-08 00:00:00;1962-07-07;12.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-07-08 00:00:01;1962-07-09 00:00:00;1962-07-08;16.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-07-09 00:00:01;1962-07-10 00:00:00;1962-07-09;16.8;Y;;
1962-07-10 00:00:01;1962-07-11 00:00:00;1962-07-10;15.4;Y;;Nätinformation:
1962-07-11 00:00:01;1962-07-12 00:00:00;1962-07-11;11.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-07-12 00:00:01;1962-07-13 00:00:00;1962-07-12;11.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1962-07-13 00:00:01;1962-07-14 00:00:00;1962-07-13;12.0;Y;;
1962-07-14 00:00:01;1962-07-15 00:00:00;1962-07-14;11.6;Y;;Möjliga orsaker till saknade data:
1962-07-15 00:00:01;1962-07-16 00:00:00;1962-07-15;12.5;Y;;– stationen eller givaren har varit ur funktion.
1962-07-16 00:00:01;1962-07-17 00:00:00;1962-07-16;13.7;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1962-07-17 00:00:01;1962-07-18 00:00:00;1962-07-17;14.6;Y
1962-07-18 00:00:01;1962-07-19 00:00:00;1962-07-18;15.5;Y
1962-07-19 00:00:01;1962-07-20 00:00:00;1962-07-19;13.8;Y
1962-07-20 00:00:01;1962-07-21 00:00:00;1962-07-20;14.1;Y
1962-07-21 00:00:01;1962-07-22 00:00:00;1962-07-21;16.5;Y
1962-07-22 00:00:01;1962-07-23 00:00:00;1962-07-22;17.1;Y
1962-07-23 00:00:01;1962-07-24 00:00:00;1962-07-23;15.1;Y
1962-07-24 00:00:01;1962-07-25 00:00:00;1962-07-24;11.7;Y
