Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Orrskog;107220;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1957-04-01 00:00:00;1962-05-01 23:59:00;35.0;60.3833;17.4167

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1957-04-01 00:00:01;1957-04-02 00:00:00;1957-04-01;0.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1957-04-02 00:00:01;1957-04-03 00:00:00;1957-04-02;2.7;Y;;Tidsperiod (fr.o.m.) = 1957-04-01 00:00:00 (UTC)
1957-04-03 00:00:01;1957-04-04 00:00:00;1957-04-03;5.2;Y;;Tidsperiod (t.o.m.) = 1962-05-01 23:59:00 (UTC)
1957-04-04 00:00:01;1957-04-05 00:00:00;1957-04-04;5.7;Y;;Medelvärdet är beräknat för = 24 timmar
1957-04-05 00:00:01;1957-04-06 00:00:00;1957-04-05;6.4;Y;;
1957-04-06 00:00:01;1957-04-07 00:00:00;1957-04-06;5.3;Y;;Kvalitetskoderna:
1957-04-07 00:00:01;1957-04-08 00:00:00;1957-04-07;1.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1957-04-08 00:00:01;1957-04-09 00:00:00;1957-04-08;2.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1957-04-09 00:00:01;1957-04-10 00:00:00;1957-04-09;-1.5;Y;;
1957-04-11 00:00:01;1957-04-12 00:00:00;1957-04-11;-2.8;Y;;Nätinformation:
1957-04-12 00:00:01;1957-04-13 00:00:00;1957-04-12;-3.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1957-04-13 00:00:01;1957-04-14 00:00:00;1957-04-13;-3.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1957-04-14 00:00:01;1957-04-15 00:00:00;1957-04-14;-3.4;Y;;
1957-04-15 00:00:01;1957-04-16 00:00:00;1957-04-15;-3.4;Y;;Möjliga orsaker till saknade data:
1957-04-16 00:00:01;1957-04-17 00:00:00;1957-04-16;-2.2;Y;;– stationen eller givaren har varit ur funktion.
