Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Trängslet;113230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1956-03-01 00:00:00;1963-01-31 23:59:59;419.0;61.3795;13.7235

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1956-03-01 00:00:01;1956-03-02 00:00:00;1956-03-01;-2.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1956-03-02 00:00:01;1956-03-03 00:00:00;1956-03-02;-3.5;Y;;Tidsperiod (fr.o.m.) = 1956-03-01 00:00:00 (UTC)
1956-03-03 00:00:01;1956-03-04 00:00:00;1956-03-03;-7.7;Y;;Tidsperiod (t.o.m.) = 1963-01-31 23:59:59 (UTC)
1956-03-04 00:00:01;1956-03-05 00:00:00;1956-03-04;-9.6;Y;;Medelvärdet är beräknat för = 24 timmar
1956-03-05 00:00:01;1956-03-06 00:00:00;1956-03-05;-7.6;Y;;
1956-03-06 00:00:01;1956-03-07 00:00:00;1956-03-06;-12.8;Y;;Kvalitetskoderna:
1956-03-07 00:00:01;1956-03-08 00:00:00;1956-03-07;-11.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1956-03-08 00:00:01;1956-03-09 00:00:00;1956-03-08;-7.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1956-03-09 00:00:01;1956-03-10 00:00:00;1956-03-09;-7.5;Y;;
1956-03-10 00:00:01;1956-03-11 00:00:00;1956-03-10;-4.4;Y;;Nätinformation:
1956-03-11 00:00:01;1956-03-12 00:00:00;1956-03-11;-6.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1956-03-12 00:00:01;1956-03-13 00:00:00;1956-03-12;-4.5;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1956-03-13 00:00:01;1956-03-14 00:00:00;1956-03-13;-5.1;Y;;
