Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Storfjället-Sälen;113610;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-11-01 00:00:00;1965-04-30 23:59:59;770.0;61.1666;13.1166
1966-01-01 00:00:00;1967-06-01 23:59:59;770.0;61.1666;13.1166

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1962-11-01 00:00:01;1962-11-02 00:00:00;1962-11-01;2.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-11-02 00:00:01;1962-11-03 00:00:00;1962-11-02;1.1;Y;;Tidsperiod (fr.o.m.) = 1962-11-01 00:00:00 (UTC)
1962-11-03 00:00:01;1962-11-04 00:00:00;1962-11-03;-0.8;Y;;Tidsperiod (t.o.m.) = 1967-06-01 23:59:59 (UTC)
1962-11-04 00:00:01;1962-11-05 00:00:00;1962-11-04;0.6;Y;;Medelvärdet är beräknat för = 24 timmar
1962-11-05 00:00:01;1962-11-06 00:00:00;1962-11-05;1.3;Y;;
1962-11-06 00:00:01;1962-11-07 00:00:00;1962-11-06;1.4;Y;;Kvalitetskoderna:
1962-11-07 00:00:01;1962-11-08 00:00:00;1962-11-07;-0.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-11-08 00:00:01;1962-11-09 00:00:00;1962-11-08;-0.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-11-09 00:00:01;1962-11-10 00:00:00;1962-11-09;-1.8;Y;;
1962-11-10 00:00:01;1962-11-11 00:00:00;1962-11-10;-3.8;Y;;Nätinformation:
