Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Dalstuga;115040;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1970-09-01 00:00:00;1977-10-01 23:59:59;240.0;61.0666;15.7000

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1970-09-14 00:00:01;1970-09-15 00:00:00;1970-09-14;10.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1970-09-15 00:00:01;1970-09-16 00:00:00;1970-09-15;9.6;Y;;Tidsperiod (fr.o.m.) = 1970-09-01 00:00:00 (UTC)
1970-09-16 00:00:01;1970-09-17 00:00:00;1970-09-16;7.6;Y;;Tidsperiod (t.o.m.) = 1977-10-01 23:59:59 (UTC)
1970-09-17 00:00:01;1970-09-18 00:00:00;1970-09-17;10.8;Y;;Medelvärdet är beräknat för = 24 timmar
1970-09-18 00:00:01;1970-09-19 00:00:00;1970-09-18;11.9;Y;;
1970-09-19 00:00:01;1970-09-20 00:00:00;1970-09-19;9.6;Y;;Kvalitetskoderna:
1970-09-20 00:00:01;1970-09-21 00:00:00;1970-09-20;6.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1970-09-21 00:00:01;1970-09-22 00:00:00;1970-09-21;6.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1970-09-22 00:00:01;1970-09-23 00:00:00;1970-09-22;6.9;Y;;
1970-09-23 00:00:01;1970-09-24 00:00:00;1970-09-23;5.8;Y;;Nätinformation:
1970-09-24 00:00:01;1970-09-25 00:00:00;1970-09-24;5.7;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1970-09-25 00:00:01;1970-09-26 00:00:00;1970-09-25;4.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1970-09-26 00:00:01;1970-09-27 00:00:00;1970-09-26;1.5;Y;;
1970-09-27 00:00:01;1970-09-28 00:00:00;1970-09-27;1.7;Y;;Möjliga orsaker till saknade data:
1970-09-28 00:00:01;1970-09-29 00:00:00;1970-09-28;4.6;Y;;– stationen eller givaren har varit ur funktion.
1970-09-29 00:00:01;1970-09-30 00:00:00;1970-09-29;5.2;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1970-09-30 00:00:01;1970-10-01 00:00:00;1970-09-30;7.2;Y
1970-10-01 00:00:01;1970-10-02 00:00:00;1970-10-01;8.1;Y
1970-10-02 00:00:01;1970-10-03 00:00:00;1970-10-02;7.7;Y
1970-10-03 00:00:01;1970-10-04 00:00:00;1970-10-03;6.3;Y
1970-10-04 00:00:01;1970-10-05 00:00:00;1970-10-04;5.2;Y
1970-10-05 00:00:01;1970-10-06 00:00:00;1970-10-05;5.1;Y
1970-10-06 00:00:01;1970-10-07 00:00:00;1970-10-06;9.8;Y
1970-10-07 00:00:01;1970-10-08 00:00:00;1970-10-07;11.2;Y
1970-10-08 00:00:01;1970-10-09 00:00:00;1970-10-08;8.2;Y
1970-10-09 00:00:01;1970-10-10 00:00:00;1970-10-09;6.9;Y
1970-10-10 00:00:01;1970-10-11 00:00:00;1970-10-10;8.7;Y
1970-10-11 00:00:01;1970-10-12 00:00:00;1970-10-11;6.2;Y
1970-10-12 00:00:01;1970-10-13 00:00:00;1970-10-12;7.7;Y
1970-10-13 00:00:01;1970-10-14 00:00:00;1970-10-13;6.2;Y
1970-10-14 00:00:01;1970-10-15 00:00:00;1970-10-14;4.4;Y
1970-10-15 00:00:01;1970-10-16 00:00:00;1970-10-15;8.0;Y
1970-10-16 00:00:01;1970-10-17 00:00:00;1970-10-16;6.9;Y
1970-10-17 00:00:01;1970-10-18 00:00:00;1970-10-17;7.9;Y
