Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Svabensverk;115050;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1977-09-01 00:00:00;1978-09-01 23:59:59;240.0;61.0442;15.7921

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1977-09-26 00:00:01;1977-09-27 00:00:00;1977-09-26;5.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1977-09-27 00:00:01;1977-09-28 00:00:00;1977-09-27;4.2;Y;;Tidsperiod (fr.o.m.) = 1977-09-22 00:00:00 (UTC)
1977-09-28 00:00:01;1977-09-29 00:00:00;1977-09-28;5.5;Y;;Tidsperiod (t.o.m.) = 1978-09-01 23:59:59 (UTC)
1977-09-29 00:00:01;1977-09-30 00:00:00;1977-09-29;6.5;Y;;Medelvärdet är beräknat för = 24 timmar
1977-09-30 00:00:01;1977-10-01 00:00:00;1977-09-30;4.0;Y;;
1977-10-01 00:00:01;1977-10-02 00:00:00;1977-10-01;4.1;Y;;Kvalitetskoderna:
1977-10-02 00:00:01;1977-10-03 00:00:00;1977-10-02;1.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1977-10-03 00:00:01;1977-10-04 00:00:00;1977-10-03;-0.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1977-10-04 00:00:01;1977-10-05 00:00:00;1977-10-04;1.3;Y;;
1977-10-05 00:00:01;1977-10-06 00:00:00;1977-10-05;4.3;Y;;Nätinformation:
1977-10-06 00:00:01;1977-10-07 00:00:00;1977-10-06;2.4;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1977-10-07 00:00:01;1977-10-08 00:00:00;1977-10-07;1.8;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1977-10-08 00:00:01;1977-10-09 00:00:00;1977-10-08;2.8;Y;;
1977-10-09 00:00:01;1977-10-10 00:00:00;1977-10-09;5.6;Y;;Möjliga orsaker till saknade data:
1977-10-10 00:00:01;1977-10-11 00:00:00;1977-10-10;8.1;Y;;– stationen eller givaren har varit ur funktion.
1977-10-11 00:00:01;1977-10-12 00:00:00;1977-10-11;5.2;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1977-10-12 00:00:01;1977-10-13 00:00:00;1977-10-12;2.6;Y
1977-10-13 00:00:01;1977-10-14 00:00:00;1977-10-13;7.7;Y
1977-10-14 00:00:01;1977-10-15 00:00:00;1977-10-14;3.0;Y
1977-10-15 00:00:01;1977-10-16 00:00:00;1977-10-15;4.4;Y
1977-10-16 00:00:01;1977-10-17 00:00:00;1977-10-16;5.9;Y
1977-10-17 00:00:01;1977-10-18 00:00:00;1977-10-17;4.1;Y
1977-10-18 00:00:01;1977-10-19 00:00:00;1977-10-18;4.7;Y
1977-10-19 00:00:01;1977-10-20 00:00:00;1977-10-19;4.7;Y
1977-10-20 00:00:01;1977-10-21 00:00:00;1977-10-20;5.8;Y
1977-10-21 00:00:01;1977-10-22 00:00:00;1977-10-21;7.6;Y
1977-10-22 00:00:01;1977-10-23 00:00:00;1977-10-22;9.8;Y
1977-10-23 00:00:01;1977-10-24 00:00:00;1977-10-23;9.3;Y
1977-10-24 00:00:01;1977-10-25 00:00:00;1977-10-24;7.4;Y
1977-10-25 00:00:01;1977-10-26 00:00:00;1977-10-25;8.3;Y
1977-10-26 00:00:01;1977-10-27 00:00:00;1977-10-26;5.3;Y
1977-10-27 00:00:01;1977-10-28 00:00:00;1977-10-27;3.3;Y
1977-10-28 00:00:01;1977-10-29 00:00:00;1977-10-28;7.7;Y
1977-10-29 00:00:01;1977-10-30 00:00:00;1977-10-29;4.7;Y
1977-10-30 00:00:01;1977-10-31 00:00:00;1977-10-30;6.1;Y
1977-10-31 00:00:01;1977-11-01 00:00:00;1977-10-31;8.2;Y
1977-11-01 00:00:01;1977-11-02 00:00:00;1977-11-01;7.1;Y
