Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Säve-Skålvisered;71500;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-10-01 00:00:00;2008-01-01 23:59:59;20.0;57.8305;11.9200

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2002-10-01 00:00:01;2002-10-02 00:00:00;2002-10-01;13.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2002-10-02 00:00:01;2002-10-03 00:00:00;2002-10-02;13.1;Y;;Tidsperiod (fr.o.m.) = 2002-10-01 00:00:00 (UTC)
2002-10-03 00:00:01;2002-10-04 00:00:00;2002-10-03;10.9;Y;;Tidsperiod (t.o.m.) = 2008-01-01 23:59:59 (UTC)
2002-10-04 00:00:01;2002-10-05 00:00:00;2002-10-04;9.7;Y;;Medelvärdet är beräknat för = 24 timmar
2002-10-05 00:00:01;2002-10-06 00:00:00;2002-10-05;7.7;Y;;
2002-10-06 00:00:01;2002-10-07 00:00:00;2002-10-06;2.9;Y;;Kvalitetskoderna:
2002-10-07 00:00:01;2002-10-08 00:00:00;2002-10-07;2.1;Y;;Grön (G) = Kontrollerade och godkända värden.
2002-10-08 00:00:01;2002-10-09 00:00:00;2002-10-08;5.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-10-09 00:00:01;2002-10-10 00:00:00;2002-10-09;2.6;Y;;
2002-10-10 00:00:01;2002-10-11 00:00:00;2002-10-10;1.1;Y;;Nätinformation:
2002-10-11 00:00:01;2002-10-12 00:00:00;2002-10-11;3.3;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2002-10-12 00:00:01;2002-10-13 00:00:00;2002-10-12;5.0;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2002-10-13 00:00:01;2002-10-14 00:00:00;2002-10-13;4.7;Y;;
2002-10-14 00:00:01;2002-10-15 00:00:00;2002-10-14;4.4;Y;;Möjliga orsaker till saknade data:
2002-10-15 00:00:01;2002-10-16 00:00:00;2002-10-15;3.4;Y;;– stationen eller givaren har varit ur funktion.
2002-10-16 00:00:01;2002-10-17 00:00:00;2002-10-16;2.8;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2002-10-17 00:00:01;2002-10-18 00:00:00;2002-10-17;2.9;Y
2002-10-18 00:00:01;2002-10-19 00:00:00;2002-10-18;0.7;Y
2002-10-19 00:00:01;2002-10-20 00:00:00;2002-10-19;-2.2;Y
2002-10-20 00:00:01;2002-10-21 00:00:00;2002-10-20;0.2;Y
2002-10-21 00:00:01;2002-10-22 00:00:00;2002-10-21;-1.5;Y
2002-10-22 00:00:01;2002-10-23 00:00:00;2002-10-22;3.0;Y
2002-10-23 00:00:01;2002-10-24 00:00:00;2002-10-23;7.2;Y
2002-10-24 00:00:01;2002-10-25 00:00:00;2002-10-24;6.3;Y
2002-10-25 00:00:01;2002-10-26 00:00:00;2002-10-25;7.8;Y
2002-10-26 00:00:01;2002-10-27 00:00:00;2002-10-26;8.8;Y
2002-10-27 00:00:01;2002-10-28 00:00:00;2002-10-27;5.7;Y
2002-10-28 00:00:01;2002-10-29 00:00:00;2002-10-28;5.1;Y
2002-10-29 00:00:01;2002-10-30 00:00:00;2002-10-29;6.5;Y
2002-10-30 00:00:01;2002-10-31 00:00:00;2002-10-30;1.3;Y
2002-10-31 00:00:01;2002-11-01 00:00:00;2002-10-31;4.2;Y
2002-11-01 00:00:01;2002-11-02 00:00:00;2002-11-01;3.6;Y
2002-11-02 00:00:01;2002-11-03 00:00:00;2002-11-02;-0.8;Y
2002-11-03 00:00:01;2002-11-04 00:00:00;2002-11-03;-1.5;Y
2002-11-04 00:00:01;2002-11-05 00:00:00;2002-11-04;0.1;Y
2002-11-05 00:00:01;2002-11-06 00:00:00;2002-11-05;1.5;Y
2002-11-06 00:00:01;2002-11-07 00:00:00;2002-11-06;3.3;Y
2002-11-07 00:00:01;2002-11-08 00:00:00;2002-11-07;3.6;Y
2002-11-08 00:00:01;2002-11-09 00:00:00;2002-11-08;2.8;Y
2002-11-09 00:00:01;2002-11-10 00:00:00;2002-11-09;2.3;Y
2002-11-10 00:00:01;2002-11-11 00:00:00;2002-11-10;-0.7;Y
2002-11-11 00:00:01;2002-11-12 00:00:00;2002-11-11;-4.1;Y
2002-11-12 00:00:01;2002-11-13 00:00:00;2002-11-12;0.1;Y
2002-11-13 00:00:01;2002-11-14 00:00:00;2002-11-13;5.8;Y
2002-11-14 00:00:01;2002-11-15 00:00:00;2002-11-14;2.7;Y
2002-11-15 00:00:01;2002-11-16 00:00:00;2002-11-15;6.9;Y
2002-11-16 00:00:01;2002-11-17 00:00:00;2002-11-16;5.2;Y
2002-11-17 00:00:01;2002-11-18 00:00:00;2002-11-17;4.0;Y
2002-11-18 00:00:01;2002-11-19 00:00:00;2002-11-18;3.0;Y
2002-11-19 00:00:01;2002-11-20 00:00:00;2002-11-19;-2.2;Y
2002-11-20 00:00:01;2002-11-21 00:00:00;2002-11-20;-3.2;Y
2002-11-21 00:00:01;2002-11-22 00:00:00;2002-11-21;-0.8;Y
2002-11-22 00:00:01;2002-11-23 00:00:00;2002-11-22;1.1;Y
2002-11-23 00:00:01;2002-11-24 00:00:00;2002-11-23;2.6;Y
2002-11-24 00:00:01;2002-11-25 00:00:00;2002-11-24;1.9;Y
2002-11-25 00:00:01;2002-11-26 00:00:00;2002-11-25;3.9;Y
2002-11-26 00:00:01;2002-11-27 00:00:00;2002-11-26;4.1;Y
2002-11-27 00:00:01;2002-11-28 00:00:00;2002-11-27;1.4;Y
2002-11-28 00:00:01;2002-11-29 00:00:00;2002-11-28;2.2;Y
2002-11-29 00:00:01;2002-11-30 00:00:00;2002-11-29;2.2;Y
2002-11-30 00:00:01;2002-12-01 00:00:00;2002-11-30;0.2;Y
2002-12-01 00:00:01;2002-12-02 00:00:00;2002-12-01;-0.3;Y
2002-12-02 00:00:01;2002-12-03 00:00:00;2002-12-02;2.1;Y
2002-12-03 00:00:01;2002-12-04 00:00:00;2002-12-03;3.3;Y
2002-12-04 00:00:01;2002-12-05 00:00:00;2002-12-04;1.6;Y
2002-12-05 00:00:01;2002-12-06 00:00:00;2002-12-05;0.1;Y
2002-12-06 00:00:01;2002-12-07 00:00:00;2002-12-06;-0.4;Y
2002-12-07 00:00:01;2002-12-08 00:00:00;2002-12-07;-2.4;Y
2002-12-08 00:00:01;2002-12-09 00:00:00;2002-12-08;-2.5;Y
2002-12-09 00:00:01;2002-12-10 00:00:00;2002-12-09;-5.1;Y
2002-12-10 00:00:01;2002-12-11 00:00:00;2002-12-10;-5.0;Y
2002-12-11 00:00:01;2002-12-12 00:00:00;2002-12-11;-3.8;Y
2002-12-12 00:00:01;2002-12-13 00:00:00;2002-12-12;-3.2;Y
2002-12-13 00:00:01;2002-12-14 00:00:00;2002-12-13;-5.8;Y
2002-12-14 00:00:01;2002-12-15 00:00:00;2002-12-14;-1.2;Y
2002-12-15 00:00:01;2002-12-16 00:00:00;2002-12-15;-0.7;Y
