Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Uddabo;72520;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2003-09-01 00:00:00;2005-03-31 23:59:59;245.0;57.8701;12.7074

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2003-09-01 00:00:01;2003-09-02 00:00:00;2003-09-01;8.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2003-09-02 00:00:01;2003-09-03 00:00:00;2003-09-02;8.1;Y;;Tidsperiod (fr.o.m.) = 2003-09-01 00:00:00 (UTC)
2003-09-03 00:00:01;2003-09-04 00:00:00;2003-09-03;13.2;Y;;Tidsperiod (t.o.m.) = 2005-03-31 23:59:59 (UTC)
2003-09-04 00:00:01;2003-09-05 00:00:00;2003-09-04;13.4;Y;;Medelvärdet är beräknat för = 24 timmar
2003-09-05 00:00:01;2003-09-06 00:00:00;2003-09-05;14.1;Y;;
2003-09-06 00:00:01;2003-09-07 00:00:00;2003-09-06;14.2;Y;;Kvalitetskoderna:
2003-09-07 00:00:01;2003-09-08 00:00:00;2003-09-07;15.6;Y;;Grön (G) = Kontrollerade och godkända värden.
2003-09-08 00:00:01;2003-09-09 00:00:00;2003-09-08;14.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2003-09-09 00:00:01;2003-09-10 00:00:00;2003-09-09;14.2;Y;;
2003-09-10 00:00:01;2003-09-11 00:00:00;2003-09-10;13.1;Y;;Nätinformation:
2003-09-11 00:00:01;2003-09-12 00:00:00;2003-09-11;13.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2003-09-12 00:00:01;2003-09-13 00:00:00;2003-09-12;13.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2003-09-13 00:00:01;2003-09-14 00:00:00;2003-09-13;12.3;Y;;
2003-09-14 00:00:01;2003-09-15 00:00:00;2003-09-14;13.1;Y;;Möjliga orsaker till saknade data:
2003-09-15 00:00:01;2003-09-16 00:00:00;2003-09-15;14.0;Y;;– stationen eller givaren har varit ur funktion.
2003-09-16 00:00:01;2003-09-17 00:00:00;2003-09-16;14.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2003-09-17 00:00:01;2003-09-18 00:00:00;2003-09-17;13.3;Y
2003-09-18 00:00:01;2003-09-19 00:00:00;2003-09-18;15.8;Y
2003-09-19 00:00:01;2003-09-20 00:00:00;2003-09-19;14.3;Y
2003-09-20 00:00:01;2003-09-21 00:00:00;2003-09-20;12.6;Y
2003-09-21 00:00:01;2003-09-22 00:00:00;2003-09-21;14.0;Y
2003-09-22 00:00:01;2003-09-23 00:00:00;2003-09-22;15.7;Y
2003-09-23 00:00:01;2003-09-24 00:00:00;2003-09-23;10.5;Y
2003-09-24 00:00:01;2003-09-25 00:00:00;2003-09-24;6.9;Y
2003-09-25 00:00:01;2003-09-26 00:00:00;2003-09-25;11.5;Y
2003-09-26 00:00:01;2003-09-27 00:00:00;2003-09-26;11.2;Y
2003-09-27 00:00:01;2003-09-28 00:00:00;2003-09-27;9.3;Y
2003-09-28 00:00:01;2003-09-29 00:00:00;2003-09-28;3.8;Y
2003-09-29 00:00:01;2003-09-30 00:00:00;2003-09-29;4.5;Y
2003-09-30 00:00:01;2003-10-01 00:00:00;2003-09-30;5.2;Y
2003-10-01 00:00:01;2003-10-02 00:00:00;2003-10-01;8.9;Y
2003-10-02 00:00:01;2003-10-03 00:00:00;2003-10-02;8.5;Y
2003-10-03 00:00:01;2003-10-04 00:00:00;2003-10-03;8.8;Y
2003-10-04 00:00:01;2003-10-05 00:00:00;2003-10-04;7.3;Y
2003-10-05 00:00:01;2003-10-06 00:00:00;2003-10-05;5.0;Y
2003-10-06 00:00:01;2003-10-07 00:00:00;2003-10-06;6.3;Y
2003-10-07 00:00:01;2003-10-08 00:00:00;2003-10-07;7.2;Y
2003-10-08 00:00:01;2003-10-09 00:00:00;2003-10-08;5.9;Y
2003-10-09 00:00:01;2003-10-10 00:00:00;2003-10-09;5.6;Y
2003-10-10 00:00:01;2003-10-11 00:00:00;2003-10-10;9.1;Y
2003-10-11 00:00:01;2003-10-12 00:00:00;2003-10-11;7.4;Y
2003-10-12 00:00:01;2003-10-13 00:00:00;2003-10-12;3.9;Y
2003-10-13 00:00:01;2003-10-14 00:00:00;2003-10-13;3.1;Y
2003-10-14 00:00:01;2003-10-15 00:00:00;2003-10-14;2.2;Y
2003-10-15 00:00:01;2003-10-16 00:00:00;2003-10-15;1.4;Y
