Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Gislaved;73170;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1972-07-01 00:00:00;1979-12-01 23:59:59;165.0;57.2847;13.5324

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1972-07-01 00:00:01;1972-07-02 00:00:00;1972-07-01;18.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1972-07-02 00:00:01;1972-07-03 00:00:00;1972-07-02;15.0;Y;;Tidsperiod (fr.o.m.) = 1972-07-01 00:00:00 (UTC)
1972-07-03 00:00:01;1972-07-04 00:00:00;1972-07-03;13.9;Y;;Tidsperiod (t.o.m.) = 1979-12-01 23:59:59 (UTC)
1972-07-04 00:00:01;1972-07-05 00:00:00;1972-07-04;14.0;Y;;Medelvärdet är beräknat för = 24 timmar
1972-07-05 00:00:01;1972-07-06 00:00:00;1972-07-05;16.8;Y;;
1972-07-06 00:00:01;1972-07-07 00:00:00;1972-07-06;19.0;Y;;Kvalitetskoderna:
1972-07-07 00:00:01;1972-07-08 00:00:00;1972-07-07;17.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1972-07-08 00:00:01;1972-07-09 00:00:00;1972-07-08;13.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1972-07-09 00:00:01;1972-07-10 00:00:00;1972-07-09;13.6;Y;;
1972-07-10 00:00:01;1972-07-11 00:00:00;1972-07-10;14.4;Y;;Nätinformation:
1972-07-11 00:00:01;1972-07-12 00:00:00;1972-07-11;13.7;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1972-07-12 00:00:01;1972-07-13 00:00:00;1972-07-12;14.3;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1972-07-13 00:00:01;1972-07-14 00:00:00;1972-07-13;14.4;Y;;
1972-07-14 00:00:01;1972-07-15 00:00:00;1972-07-14;15.7;Y;;Möjliga orsaker till saknade data:
1972-07-15 00:00:01;1972-07-16 00:00:00;1972-07-15;18.0;Y;;– stationen eller givaren har varit ur funktion.
1972-07-16 00:00:01;1972-07-17 00:00:00;1972-07-16;17.2;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1972-07-17 00:00:01;1972-07-18 00:00:00;1972-07-17;20.5;Y
1972-07-18 00:00:01;1972-07-19 00:00:00;1972-07-18;21.6;Y
1972-07-19 00:00:01;1972-07-20 00:00:00;1972-07-19;20.4;Y
1972-07-20 00:00:01;1972-07-21 00:00:00;1972-07-20;20.6;Y
1972-07-21 00:00:01;1972-07-22 00:00:00;1972-07-21;20.3;Y
1972-07-22 00:00:01;1972-07-23 00:00:00;1972-07-22;19.6;Y
1972-07-23 00:00:01;1972-07-24 00:00:00;1972-07-23;18.4;Y
1972-07-24 00:00:01;1972-07-25 00:00:00;1972-07-24;17.4;Y
1972-07-25 00:00:01;1972-07-26 00:00:00;1972-07-25;17.8;Y
