Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Tinghalla;73660;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-03-01 00:00:00;1970-09-30 23:59:59;278.0;57.9666;13.8500

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1962-03-01 00:00:01;1962-03-02 00:00:00;1962-03-01;-4.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-03-02 00:00:01;1962-03-03 00:00:00;1962-03-02;-5.2;Y;;Tidsperiod (fr.o.m.) = 1962-03-01 00:00:00 (UTC)
1962-03-03 00:00:01;1962-03-04 00:00:00;1962-03-03;-3.8;Y;;Tidsperiod (t.o.m.) = 1970-09-30 23:59:59 (UTC)
1962-03-04 00:00:01;1962-03-05 00:00:00;1962-03-04;-3.9;Y;;Medelvärdet är beräknat för = 24 timmar
1962-03-05 00:00:01;1962-03-06 00:00:00;1962-03-05;-7.7;Y;;
1962-03-06 00:00:01;1962-03-07 00:00:00;1962-03-06;-9.7;Y;;Kvalitetskoderna:
1962-03-07 00:00:01;1962-03-08 00:00:00;1962-03-07;-7.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-03-08 00:00:01;1962-03-09 00:00:00;1962-03-08;-4.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-03-09 00:00:01;1962-03-10 00:00:00;1962-03-09;-3.6;Y;;
1962-03-10 00:00:01;1962-03-11 00:00:00;1962-03-10;-1.4;Y;;Nätinformation:
1962-03-11 00:00:01;1962-03-12 00:00:00;1962-03-11;-5.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-03-12 00:00:01;1962-03-13 00:00:00;1962-03-12;-11.2;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1962-03-13 00:00:01;1962-03-14 00:00:00;1962-03-13;-12.6;Y;;
1962-03-14 00:00:01;1962-03-15 00:00:00;1962-03-14;-8.5;Y;;Möjliga orsaker till saknade data:
1962-03-15 00:00:01;1962-03-16 00:00:00;1962-03-15;-6.8;Y;;– stationen eller givaren har varit ur funktion.
1962-03-16 00:00:01;1962-03-17 00:00:00;1962-03-16;-3.8;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1962-03-17 00:00:01;1962-03-18 00:00:00;1962-03-17;-4.4;Y
1962-03-18 00:00:01;1962-03-19 00:00:00;1962-03-18;-6.1;Y
1962-03-19 00:00:01;1962-03-20 00:00:00;1962-03-19;-4.0;Y
1962-03-20 00:00:01;1962-03-21 00:00:00;1962-03-20;-2.6;Y
1962-03-21 00:00:01;1962-03-22 00:00:00;1962-03-21;-4.2;Y
1962-03-22 00:00:01;1962-03-23 00:00:00;1962-03-22;-4.3;Y
1962-03-23 00:00:01;1962-03-24 00:00:00;1962-03-23;-3.8;Y
1962-03-24 00:00:01;1962-03-25 00:00:00;1962-03-24;-4.8;Y
1962-03-25 00:00:01;1962-03-26 00:00:00;1962-03-25;-1.6;Y
1962-03-26 00:00:01;1962-03-27 00:00:00;1962-03-26;0.0;Y
1962-03-27 00:00:01;1962-03-28 00:00:00;1962-03-27;-0.6;Y
1962-03-28 00:00:01;1962-03-29 00:00:00;1962-03-28;-1.6;Y
1962-03-29 00:00:01;1962-03-30 00:00:00;1962-03-29;-2.6;Y
1962-03-30 00:00:01;1962-03-31 00:00:00;1962-03-30;-2.0;Y
1962-03-31 00:00:01;1962-04-01 00:00:00;1962-03-31;1.2;Y
1962-04-01 00:00:01;1962-04-02 00:00:00;1962-04-01;0.4;Y
1962-04-02 00:00:01;1962-04-03 00:00:00;1962-04-02;1.2;Y
1962-04-03 00:00:01;1962-04-04 00:00:00;1962-04-03;1.6;Y
1962-04-04 00:00:01;1962-04-05 00:00:00;1962-04-04;2.5;Y
1962-04-05 00:00:01;1962-04-06 00:00:00;1962-04-05;1.0;Y
1962-04-06 00:00:01;1962-04-07 00:00:00;1962-04-06;-0.6;Y
1962-04-07 00:00:01;1962-04-08 00:00:00;1962-04-07;1.2;Y
1962-04-08 00:00:01;1962-04-09 00:00:00;1962-04-08;0.4;Y
1962-04-09 00:00:01;1962-04-10 00:00:00;1962-04-09;0.6;Y
1962-04-10 00:00:01;1962-04-11 00:00:00;1962-04-10;1.0;Y
1962-04-11 00:00:01;1962-04-12 00:00:00;1962-04-11;2.3;Y
1962-04-12 00:00:01;1962-04-13 00:00:00;1962-04-12;2.4;Y
1962-04-13 00:00:01;1962-04-14 00:00:00;1962-04-13;3.4;Y
1962-04-14 00:00:01;1962-04-15 00:00:00;1962-04-14;1.3;Y
1962-04-15 00:00:01;1962-04-16 00:00:00;1962-04-15;2.4;Y
1962-04-16 00:00:01;1962-04-17 00:00:00;1962-04-16;3.6;Y
1962-04-17 00:00:01;1962-04-18 00:00:00;1962-04-17;5.2;Y
1962-04-18 00:00:01;1962-04-19 00:00:00;1962-04-18;7.0;Y
1962-04-19 00:00:01;1962-04-20 00:00:00;1962-04-19;6.8;Y
1962-04-20 00:00:01;1962-04-21 00:00:00;1962-04-20;8.2;Y
1962-04-21 00:00:01;1962-04-22 00:00:00;1962-04-21;5.4;Y
1962-04-22 00:00:01;1962-04-23 00:00:00;1962-04-22;9.6;Y
1962-04-23 00:00:01;1962-04-24 00:00:00;1962-04-23;6.7;Y
1962-04-24 00:00:01;1962-04-25 00:00:00;1962-04-24;9.1;Y
1962-04-25 00:00:01;1962-04-26 00:00:00;1962-04-25;11.4;Y
1962-04-26 00:00:01;1962-04-27 00:00:00;1962-04-26;7.4;Y
1962-04-27 00:00:01;1962-04-28 00:00:00;1962-04-27;5.0;Y
1962-04-28 00:00:01;1962-04-29 00:00:00;1962-04-28;4.6;Y
1962-04-29 00:00:01;1962-04-30 00:00:00;1962-04-29;1.7;Y
1962-04-30 00:00:01;1962-05-01 00:00:00;1962-04-30;1.5;Y
1962-05-01 00:00:01;1962-05-02 00:00:00;1962-05-01;3.0;Y
1962-05-02 00:00:01;1962-05-03 00:00:00;1962-05-02;1.8;Y
1962-05-03 00:00:01;1962-05-04 00:00:00;1962-05-03;3.3;Y
1962-05-04 00:00:01;1962-05-05 00:00:00;1962-05-04;2.4;Y
1962-05-05 00:00:01;1962-05-06 00:00:00;1962-05-05;3.0;Y
1962-05-06 00:00:01;1962-05-07 00:00:00;1962-05-06;7.0;Y
1962-05-07 00:00:01;1962-05-08 00:00:00;1962-05-07;7.8;Y
1962-05-08 00:00:01;1962-05-09 00:00:00;1962-05-08;9.2;Y
1962-05-09 00:00:01;1962-05-10 00:00:00;1962-05-09;7.3;Y
1962-05-10 00:00:01;1962-05-11 00:00:00;1962-05-10;7.2;Y
1962-05-11 00:00:01;1962-05-12 00:00:00;1962-05-11;5.2;Y
1962-05-12 00:00:01;1962-05-13 00:00:00;1962-05-12;6.5;Y
1962-05-13 00:00:01;1962-05-14 00:00:00;1962-05-13;7.1;Y
1962-05-14 00:00:01;1962-05-15 00:00:00;1962-05-14;5.7;Y
1962-05-15 00:00:01;1962-05-16 00:00:00;1962-05-15;8.7;Y
1962-05-16 00:00:01;1962-05-17 00:00:00;1962-05-16;9.3;Y
1962-05-17 00:00:01;1962-05-18 00:00:00;1962-05-17;7.8;Y
1962-05-18 00:00:01;1962-05-19 00:00:00;1962-05-18;5.8;Y
1962-05-19 00:00:01;1962-05-20 00:00:00;1962-05-19;7.8;Y
1962-05-20 00:00:01;1962-05-21 00:00:00;1962-05-20;8.7;Y
1962-05-21 00:00:01;1962-05-22 00:00:00;1962-05-21;8.9;Y
1962-05-22 00:00:01;1962-05-23 00:00:00;1962-05-22;9.2;Y
1962-05-23 00:00:01;1962-05-24 00:00:00;1962-05-23;7.0;Y
1962-05-24 00:00:01;1962-05-25 00:00:00;1962-05-24;7.0;Y
1962-05-25 00:00:01;1962-05-26 00:00:00;1962-05-25;8.0;Y
1962-05-26 00:00:01;1962-05-27 00:00:00;1962-05-26;7.5;Y
1962-05-27 00:00:01;1962-05-28 00:00:00;1962-05-27;6.2;Y
1962-05-28 00:00:01;1962-05-29 00:00:00;1962-05-28;8.6;Y
1962-05-29 00:00:01;1962-05-30 00:00:00;1962-05-29;7.0;Y
1962-05-30 00:00:01;1962-05-31 00:00:00;1962-05-30;6.5;Y
1962-05-31 00:00:01;1962-06-01 00:00:00;1962-05-31;6.2;Y
1962-06-01 00:00:01;1962-06-02 00:00:00;1962-06-01;5.9;Y
1962-06-02 00:00:01;1962-06-03 00:00:00;1962-06-02;5.9;Y
1962-06-03 00:00:01;1962-06-04 00:00:00;1962-06-03;7.6;Y
1962-06-04 00:00:01;1962-06-05 00:00:00;1962-06-04;10.2;Y
1962-06-05 00:00:01;1962-06-06 00:00:00;1962-06-05;11.0;Y
1962-06-06 00:00:01;1962-06-07 00:00:00;1962-06-06;14.3;Y
1962-06-07 00:00:01;1962-06-08 00:00:00;1962-06-07;15.3;Y
1962-06-08 00:00:01;1962-06-09 00:00:00;1962-06-08;15.5;Y
1962-06-09 00:00:01;1962-06-10 00:00:00;1962-06-09;13.1;Y
1962-06-10 00:00:01;1962-06-11 00:00:00;1962-06-10;11.8;Y
1962-06-11 00:00:01;1962-06-12 00:00:00;1962-06-11;11.0;Y
1962-06-12 00:00:01;1962-06-13 00:00:00;1962-06-12;10.1;Y
1962-06-13 00:00:01;1962-06-14 00:00:00;1962-06-13;9.3;Y
1962-06-14 00:00:01;1962-06-15 00:00:00;1962-06-14;13.0;Y
1962-06-15 00:00:01;1962-06-16 00:00:00;1962-06-15;16.0;Y
1962-06-16 00:00:01;1962-06-17 00:00:00;1962-06-16;12.8;Y
1962-06-17 00:00:01;1962-06-18 00:00:00;1962-06-17;13.5;Y
1962-06-18 00:00:01;1962-06-19 00:00:00;1962-06-18;14.1;Y
1962-06-19 00:00:01;1962-06-20 00:00:00;1962-06-19;16.1;Y
1962-06-20 00:00:01;1962-06-21 00:00:00;1962-06-20;12.1;Y
1962-06-21 00:00:01;1962-06-22 00:00:00;1962-06-21;11.6;Y
1962-06-22 00:00:01;1962-06-23 00:00:00;1962-06-22;13.9;Y
1962-06-23 00:00:01;1962-06-24 00:00:00;1962-06-23;12.0;Y
1962-06-24 00:00:01;1962-06-25 00:00:00;1962-06-24;10.5;Y
1962-06-25 00:00:01;1962-06-26 00:00:00;1962-06-25;9.7;Y
1962-06-26 00:00:01;1962-06-27 00:00:00;1962-06-26;10.9;Y
1962-06-27 00:00:01;1962-06-28 00:00:00;1962-06-27;10.1;Y
1962-06-28 00:00:01;1962-06-29 00:00:00;1962-06-28;10.8;Y
