Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Äspered;73690;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1952-11-01 00:00:00;1959-05-01 23:59:59;294.0;57.9331;13.1805

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1952-11-01 00:00:01;1952-11-02 00:00:00;1952-11-01;1.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1952-11-03 00:00:01;1952-11-04 00:00:00;1952-11-03;-3.8;Y;;Tidsperiod (fr.o.m.) = 1952-11-01 00:00:00 (UTC)
1952-11-04 00:00:01;1952-11-05 00:00:00;1952-11-04;2.7;Y;;Tidsperiod (t.o.m.) = 1959-05-01 23:59:59 (UTC)
1952-11-05 00:00:01;1952-11-06 00:00:00;1952-11-05;3.9;Y;;Medelvärdet är beräknat för = 24 timmar
1952-11-06 00:00:01;1952-11-07 00:00:00;1952-11-06;2.0;Y;;
1952-11-07 00:00:01;1952-11-08 00:00:00;1952-11-07;-1.6;Y;;Kvalitetskoderna:
1952-11-08 00:00:01;1952-11-09 00:00:00;1952-11-08;-1.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1952-11-09 00:00:01;1952-11-10 00:00:00;1952-11-09;-2.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1952-11-10 00:00:01;1952-11-11 00:00:00;1952-11-10;-3.2;Y;;
1952-11-11 00:00:01;1952-11-12 00:00:00;1952-11-11;-3.9;Y;;Nätinformation:
1952-11-12 00:00:01;1952-11-13 00:00:00;1952-11-12;0.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1952-11-13 00:00:01;1952-11-14 00:00:00;1952-11-13;-0.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1952-11-14 00:00:01;1952-11-15 00:00:00;1952-11-14;-0.3;Y;;
1952-11-15 00:00:01;1952-11-16 00:00:00;1952-11-15;-0.2;Y;;Möjliga orsaker till saknade data:
1952-11-16 00:00:01;1952-11-17 00:00:00;1952-11-16;-0.8;Y;;– stationen eller givaren har varit ur funktion.
1952-11-17 00:00:01;1952-11-18 00:00:00;1952-11-17;-1.1;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1952-11-18 00:00:01;1952-11-19 00:00:00;1952-11-18;-3.6;Y
1952-11-19 00:00:01;1952-11-20 00:00:00;1952-11-19;-2.4;Y
1952-11-20 00:00:01;1952-11-21 00:00:00;1952-11-20;1.6;Y
1952-11-21 00:00:01;1952-11-22 00:00:00;1952-11-21;2.3;Y
1952-11-22 00:00:01;1952-11-23 00:00:00;1952-11-22;1.1;Y
1952-11-23 00:00:01;1952-11-24 00:00:00;1952-11-23;1.8;Y
1952-11-24 00:00:01;1952-11-25 00:00:00;1952-11-24;-0.2;Y
1952-11-25 00:00:01;1952-11-26 00:00:00;1952-11-25;-1.2;Y
1952-11-26 00:00:01;1952-11-27 00:00:00;1952-11-26;-1.0;Y
1952-11-27 00:00:01;1952-11-28 00:00:00;1952-11-27;-4.4;Y
1952-11-28 00:00:01;1952-11-29 00:00:00;1952-11-28;-7.1;Y
1952-11-29 00:00:01;1952-11-30 00:00:00;1952-11-29;-3.8;Y
1952-11-30 00:00:01;1952-12-01 00:00:00;1952-11-30;-7.1;Y
1952-12-01 00:00:01;1952-12-02 00:00:00;1952-12-01;-9.0;Y
1952-12-02 00:00:01;1952-12-03 00:00:00;1952-12-02;-0.3;Y
1952-12-03 00:00:01;1952-12-04 00:00:00;1952-12-03;-3.0;Y
1952-12-04 00:00:01;1952-12-05 00:00:00;1952-12-04;-4.4;Y
1952-12-05 00:00:01;1952-12-06 00:00:00;1952-12-05;-6.8;Y
1952-12-06 00:00:01;1952-12-07 00:00:00;1952-12-06;-0.2;Y
1952-12-07 00:00:01;1952-12-08 00:00:00;1952-12-07;-4.8;Y
1952-12-08 00:00:01;1952-12-09 00:00:00;1952-12-08;0.6;Y
1952-12-09 00:00:01;1952-12-10 00:00:00;1952-12-09;1.1;Y
1952-12-10 00:00:01;1952-12-11 00:00:00;1952-12-10;0.7;Y
1952-12-11 00:00:01;1952-12-12 00:00:00;1952-12-11;-1.3;Y
1952-12-12 00:00:01;1952-12-13 00:00:00;1952-12-12;0.9;Y
1952-12-13 00:00:01;1952-12-14 00:00:00;1952-12-13;-0.6;Y
1952-12-14 00:00:01;1952-12-15 00:00:00;1952-12-14;-3.1;Y
1952-12-15 00:00:01;1952-12-16 00:00:00;1952-12-15;-3.8;Y
1952-12-16 00:00:01;1952-12-17 00:00:00;1952-12-16;-4.8;Y
1952-12-17 00:00:01;1952-12-18 00:00:00;1952-12-17;-3.0;Y
1952-12-18 00:00:01;1952-12-19 00:00:00;1952-12-18;-2.2;Y
1952-12-19 00:00:01;1952-12-20 00:00:00;1952-12-19;-3.8;Y
1952-12-20 00:00:01;1952-12-21 00:00:00;1952-12-20;-2.3;Y
1952-12-21 00:00:01;1952-12-22 00:00:00;1952-12-21;-2.4;Y
1952-12-22 00:00:01;1952-12-23 00:00:00;1952-12-22;-5.5;Y
1952-12-23 00:00:01;1952-12-24 00:00:00;1952-12-23;-4.8;Y
1952-12-24 00:00:01;1952-12-25 00:00:00;1952-12-24;-1.3;Y
1952-12-25 00:00:01;1952-12-26 00:00:00;1952-12-25;1.2;Y
1952-12-26 00:00:01;1952-12-27 00:00:00;1952-12-26;0.7;Y
1952-12-27 00:00:01;1952-12-28 00:00:00;1952-12-27;0.0;Y
1952-12-28 00:00:01;1952-12-29 00:00:00;1952-12-28;-0.8;Y
1952-12-29 00:00:01;1952-12-30 00:00:00;1952-12-29;-1.8;Y
1952-12-30 00:00:01;1952-12-31 00:00:00;1952-12-30;-4.1;Y
1952-12-31 00:00:01;1953-01-01 00:00:00;1952-12-31;-3.2;Y
1953-01-01 00:00:01;1953-01-02 00:00:00;1953-01-01;-3.3;Y
1953-01-02 00:00:01;1953-01-03 00:00:00;1953-01-02;-2.8;Y
1953-01-03 00:00:01;1953-01-04 00:00:00;1953-01-03;-6.3;Y
1953-01-04 00:00:01;1953-01-05 00:00:00;1953-01-04;-7.6;Y
1953-01-05 00:00:01;1953-01-06 00:00:00;1953-01-05;-9.3;Y
1953-01-06 00:00:01;1953-01-07 00:00:00;1953-01-06;-3.2;Y
1953-01-07 00:00:01;1953-01-08 00:00:00;1953-01-07;-2.9;Y
1953-01-08 00:00:01;1953-01-09 00:00:00;1953-01-08;-5.4;Y
1953-01-09 00:00:01;1953-01-10 00:00:00;1953-01-09;-1.6;Y
1953-01-10 00:00:01;1953-01-11 00:00:00;1953-01-10;-7.0;Y
1953-01-11 00:00:01;1953-01-12 00:00:00;1953-01-11;-4.6;Y
1953-01-12 00:00:01;1953-01-13 00:00:00;1953-01-12;-1.3;Y
1953-01-13 00:00:01;1953-01-14 00:00:00;1953-01-13;0.4;Y
1953-01-14 00:00:01;1953-01-15 00:00:00;1953-01-14;-0.8;Y
1953-01-15 00:00:01;1953-01-16 00:00:00;1953-01-15;-0.4;Y
1953-01-16 00:00:01;1953-01-17 00:00:00;1953-01-16;0.5;Y
