Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Aneby;74510;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2001-04-01 00:00:00;2005-07-01 23:59:59;240.0;57.8232;14.8913

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2001-04-01 00:00:01;2001-04-02 00:00:00;2001-04-01;6.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2001-04-02 00:00:01;2001-04-03 00:00:00;2001-04-02;5.6;Y;;Tidsperiod (fr.o.m.) = 2001-04-01 00:00:00 (UTC)
2001-04-03 00:00:01;2001-04-04 00:00:00;2001-04-03;7.7;Y;;Tidsperiod (t.o.m.) = 2005-07-01 23:59:59 (UTC)
2001-04-04 00:00:01;2001-04-05 00:00:00;2001-04-04;4.1;Y;;Medelvärdet är beräknat för = 24 timmar
2001-04-05 00:00:01;2001-04-06 00:00:00;2001-04-05;4.5;Y;;
2001-04-06 00:00:01;2001-04-07 00:00:00;2001-04-06;5.1;Y;;Kvalitetskoderna:
2001-04-07 00:00:01;2001-04-08 00:00:00;2001-04-07;6.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2001-04-08 00:00:01;2001-04-09 00:00:00;2001-04-08;5.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2001-04-09 00:00:01;2001-04-10 00:00:00;2001-04-09;4.6;Y;;
2001-04-10 00:00:01;2001-04-11 00:00:00;2001-04-10;3.9;Y;;Nätinformation:
