Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lannaskede;74640;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1921-07-01 00:00:00;1959-01-31 23:59:59;210.0;57.3832;14.8638

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1921-07-01 00:00:01;1921-07-02 00:00:00;1921-07-01;14.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1921-07-02 00:00:01;1921-07-03 00:00:00;1921-07-02;14.2;Y;;Tidsperiod (fr.o.m.) = 1921-07-01 00:00:00 (UTC)
1921-07-03 00:00:01;1921-07-04 00:00:00;1921-07-03;17.1;Y;;Tidsperiod (t.o.m.) = 1959-01-31 23:59:59 (UTC)
1921-07-04 00:00:01;1921-07-05 00:00:00;1921-07-04;16.3;Y;;Medelvärdet är beräknat för = 24 timmar
1921-07-05 00:00:01;1921-07-06 00:00:00;1921-07-05;15.4;Y;;
1921-07-06 00:00:01;1921-07-07 00:00:00;1921-07-06;13.4;Y;;Kvalitetskoderna:
1921-07-07 00:00:01;1921-07-08 00:00:00;1921-07-07;14.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1921-07-08 00:00:01;1921-07-09 00:00:00;1921-07-08;15.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1921-07-09 00:00:01;1921-07-10 00:00:00;1921-07-09;17.9;Y;;
1921-07-10 00:00:01;1921-07-11 00:00:00;1921-07-10;19.0;Y;;Nätinformation:
1921-07-11 00:00:01;1921-07-12 00:00:00;1921-07-11;19.9;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1921-07-12 00:00:01;1921-07-13 00:00:00;1921-07-12;14.7;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1921-07-13 00:00:01;1921-07-14 00:00:00;1921-07-13;12.3;Y;;
1921-07-14 00:00:01;1921-07-15 00:00:00;1921-07-14;11.9;Y;;Möjliga orsaker till saknade data:
1921-07-15 00:00:01;1921-07-16 00:00:00;1921-07-15;15.0;Y;;– stationen eller givaren har varit ur funktion.
1921-07-16 00:00:01;1921-07-17 00:00:00;1921-07-16;17.3;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1921-07-17 00:00:01;1921-07-18 00:00:00;1921-07-17;16.2;Y
1921-07-18 00:00:01;1921-07-19 00:00:00;1921-07-18;14.9;Y
1921-07-19 00:00:01;1921-07-20 00:00:00;1921-07-19;19.7;Y
1921-07-20 00:00:01;1921-07-21 00:00:00;1921-07-20;18.8;Y
1921-07-21 00:00:01;1921-07-22 00:00:00;1921-07-21;15.6;Y
1921-07-22 00:00:01;1921-07-23 00:00:00;1921-07-22;12.5;Y
1921-07-23 00:00:01;1921-07-24 00:00:00;1921-07-23;13.8;Y
1921-07-24 00:00:01;1921-07-25 00:00:00;1921-07-24;12.1;Y
1921-07-25 00:00:01;1921-07-26 00:00:00;1921-07-25;14.4;Y
1921-07-26 00:00:01;1921-07-27 00:00:00;1921-07-26;19.8;Y
1921-07-27 00:00:01;1921-07-28 00:00:00;1921-07-27;17.8;Y
1921-07-28 00:00:01;1921-07-29 00:00:00;1921-07-28;16.6;Y
1921-07-29 00:00:01;1921-07-30 00:00:00;1921-07-29;19.7;Y
1921-07-30 00:00:01;1921-07-31 00:00:00;1921-07-30;16.2;Y
1921-07-31 00:00:01;1921-08-01 00:00:00;1921-07-31;16.3;Y
1921-08-01 00:00:01;1921-08-02 00:00:00;1921-08-01;18.8;Y
1921-08-02 00:00:01;1921-08-03 00:00:00;1921-08-02;21.0;Y
1921-08-03 00:00:01;1921-08-04 00:00:00;1921-08-03;22.6;Y
1921-08-04 00:00:01;1921-08-05 00:00:00;1921-08-04;14.8;Y
1921-08-05 00:00:01;1921-08-06 00:00:00;1921-08-05;15.2;Y
1921-08-06 00:00:01;1921-08-07 00:00:00;1921-08-06;14.5;Y
1921-08-07 00:00:01;1921-08-08 00:00:00;1921-08-07;13.1;Y
1921-08-08 00:00:01;1921-08-09 00:00:00;1921-08-08;12.2;Y
1921-08-09 00:00:01;1921-08-10 00:00:00;1921-08-09;12.8;Y
1921-08-10 00:00:01;1921-08-11 00:00:00;1921-08-10;12.3;Y
1921-08-11 00:00:01;1921-08-12 00:00:00;1921-08-11;13.3;Y
1921-08-12 00:00:01;1921-08-13 00:00:00;1921-08-12;13.4;Y
1921-08-13 00:00:01;1921-08-14 00:00:00;1921-08-13;13.5;Y
1921-08-14 00:00:01;1921-08-15 00:00:00;1921-08-14;13.0;Y
1921-08-15 00:00:01;1921-08-16 00:00:00;1921-08-15;12.1;Y
1921-08-16 00:00:01;1921-08-17 00:00:00;1921-08-16;11.2;Y
1921-08-17 00:00:01;1921-08-18 00:00:00;1921-08-17;12.7;Y
1921-08-18 00:00:01;1921-08-19 00:00:00;1921-08-18;13.2;Y
1921-08-19 00:00:01;1921-08-20 00:00:00;1921-08-19;15.9;Y
1921-08-20 00:00:01;1921-08-21 00:00:00;1921-08-20;15.3;Y
1921-08-21 00:00:01;1921-08-22 00:00:00;1921-08-21;15.5;Y
