Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Buttle;78240;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-06-01 00:00:00;1983-08-31 23:59:59;45.0;57.4034;18.5297

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1962-06-01 00:00:01;1962-06-02 00:00:00;1962-06-01;6.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-06-02 00:00:01;1962-06-03 00:00:00;1962-06-02;6.3;Y;;Tidsperiod (fr.o.m.) = 1962-06-01 00:00:00 (UTC)
1962-06-03 00:00:01;1962-06-04 00:00:00;1962-06-03;8.2;Y;;Tidsperiod (t.o.m.) = 1983-08-31 23:59:59 (UTC)
1962-06-04 00:00:01;1962-06-05 00:00:00;1962-06-04;9.7;Y;;Medelvärdet är beräknat för = 24 timmar
1962-06-05 00:00:01;1962-06-06 00:00:00;1962-06-05;8.9;Y;;
1962-06-06 00:00:01;1962-06-07 00:00:00;1962-06-06;10.3;Y;;Kvalitetskoderna:
1962-06-07 00:00:01;1962-06-08 00:00:00;1962-06-07;11.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-06-08 00:00:01;1962-06-09 00:00:00;1962-06-08;15.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-06-09 00:00:01;1962-06-10 00:00:00;1962-06-09;14.1;Y;;
1962-06-10 00:00:01;1962-06-11 00:00:00;1962-06-10;10.8;Y;;Nätinformation:
1962-06-11 00:00:01;1962-06-12 00:00:00;1962-06-11;12.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-06-12 00:00:01;1962-06-13 00:00:00;1962-06-12;11.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
