Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Grästorp;82200;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1953-02-01 00:00:00;1961-03-31 23:59:59;55.0;58.3354;12.6767

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1953-02-01 00:00:01;1953-02-02 00:00:00;1953-02-01;-0.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1953-02-02 00:00:01;1953-02-03 00:00:00;1953-02-02;-4.4;Y;;Tidsperiod (fr.o.m.) = 1953-02-01 00:00:00 (UTC)
1953-02-03 00:00:01;1953-02-04 00:00:00;1953-02-03;-6.0;Y;;Tidsperiod (t.o.m.) = 1961-03-31 23:59:59 (UTC)
1953-02-04 00:00:01;1953-02-05 00:00:00;1953-02-04;-0.8;Y;;Medelvärdet är beräknat för = 24 timmar
1953-02-05 00:00:01;1953-02-06 00:00:00;1953-02-05;-6.9;Y;;
1953-02-06 00:00:01;1953-02-07 00:00:00;1953-02-06;-11.6;Y;;Kvalitetskoderna:
1953-02-07 00:00:01;1953-02-08 00:00:00;1953-02-07;-14.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1953-02-08 00:00:01;1953-02-09 00:00:00;1953-02-08;-17.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1953-02-09 00:00:01;1953-02-10 00:00:00;1953-02-09;-16.5;Y;;
1953-02-10 00:00:01;1953-02-11 00:00:00;1953-02-10;-10.1;Y;;Nätinformation:
