Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Såtenäs D;82250;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-06-01 00:00:00;2010-07-01 23:59:59;55.0;58.4397;12.6928

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2002-06-01 00:00:01;2002-06-02 00:00:00;2002-06-01;14.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2002-06-02 00:00:01;2002-06-03 00:00:00;2002-06-02;15.9;Y;;Tidsperiod (fr.o.m.) = 2002-06-01 00:00:00 (UTC)
2002-06-03 00:00:01;2002-06-04 00:00:00;2002-06-03;15.9;Y;;Tidsperiod (t.o.m.) = 2010-07-01 23:59:59 (UTC)
2002-06-04 00:00:01;2002-06-05 00:00:00;2002-06-04;18.4;Y;;Medelvärdet är beräknat för = 24 timmar
2002-06-05 00:00:01;2002-06-06 00:00:00;2002-06-05;19.1;Y;;
2002-06-06 00:00:01;2002-06-07 00:00:00;2002-06-06;19.0;Y;;Kvalitetskoderna:
2002-06-07 00:00:01;2002-06-08 00:00:00;2002-06-07;17.6;Y;;Grön (G) = Kontrollerade och godkända värden.
2002-06-08 00:00:01;2002-06-09 00:00:00;2002-06-08;15.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-06-09 00:00:01;2002-06-10 00:00:00;2002-06-09;18.3;Y;;
2002-06-10 00:00:01;2002-06-11 00:00:00;2002-06-10;17.0;Y;;Nätinformation:
2002-06-11 00:00:01;2002-06-12 00:00:00;2002-06-11;15.3;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2002-06-12 00:00:01;2002-06-13 00:00:00;2002-06-12;13.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2002-06-13 00:00:01;2002-06-14 00:00:00;2002-06-13;11.4;Y;;
2002-06-14 00:00:01;2002-06-15 00:00:00;2002-06-14;15.7;Y;;Möjliga orsaker till saknade data:
2002-06-15 00:00:01;2002-06-16 00:00:00;2002-06-15;13.8;Y;;– stationen eller givaren har varit ur funktion.
2002-06-16 00:00:01;2002-06-17 00:00:00;2002-06-16;16.7;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2002-06-17 00:00:01;2002-06-18 00:00:00;2002-06-17;17.1;Y
2002-06-18 00:00:01;2002-06-19 00:00:00;2002-06-18;21.3;Y
2002-06-19 00:00:01;2002-06-20 00:00:00;2002-06-19;17.6;Y
2002-06-20 00:00:01;2002-06-21 00:00:00;2002-06-20;15.9;Y
2002-06-21 00:00:01;2002-06-22 00:00:00;2002-06-21;14.8;Y
2002-06-22 00:00:01;2002-06-23 00:00:00;2002-06-22;15.7;Y
2002-06-23 00:00:01;2002-06-24 00:00:00;2002-06-23;14.6;Y
2002-06-24 00:00:01;2002-06-25 00:00:00;2002-06-24;16.3;Y
2002-06-25 00:00:01;2002-06-26 00:00:00;2002-06-25;15.3;Y
2002-06-26 00:00:01;2002-06-27 00:00:00;2002-06-26;14.0;Y
2002-06-27 00:00:01;2002-06-28 00:00:00;2002-06-27;13.8;Y
2002-06-28 00:00:01;2002-06-29 00:00:00;2002-06-28;12.2;Y
2002-06-29 00:00:01;2002-06-30 00:00:00;2002-06-29;15.0;Y
2002-06-30 00:00:01;2002-07-01 00:00:00;2002-06-30;13.2;Y
2002-07-01 00:00:01;2002-07-02 00:00:00;2002-07-01;13.2;Y
2002-07-02 00:00:01;2002-07-03 00:00:00;2002-07-02;14.4;Y
2002-07-03 00:00:01;2002-07-04 00:00:00;2002-07-03;13.7;Y
2002-07-04 00:00:01;2002-07-05 00:00:00;2002-07-04;14.5;Y
2002-07-05 00:00:01;2002-07-06 00:00:00;2002-07-05;15.2;Y
2002-07-06 00:00:01;2002-07-07 00:00:00;2002-07-06;14.6;Y
2002-07-07 00:00:01;2002-07-08 00:00:00;2002-07-07;14.7;Y
2002-07-08 00:00:01;2002-07-09 00:00:00;2002-07-08;15.2;Y
2002-07-09 00:00:01;2002-07-10 00:00:00;2002-07-09;22.4;Y
2002-07-10 00:00:01;2002-07-11 00:00:00;2002-07-10;21.8;Y
2002-07-11 00:00:01;2002-07-12 00:00:00;2002-07-11;17.2;Y
2002-07-12 00:00:01;2002-07-13 00:00:00;2002-07-12;16.7;Y
2002-07-13 00:00:01;2002-07-14 00:00:00;2002-07-13;16.1;Y
2002-07-14 00:00:01;2002-07-15 00:00:00;2002-07-14;17.9;Y
2002-07-15 00:00:01;2002-07-16 00:00:00;2002-07-15;19.3;Y
2002-07-16 00:00:01;2002-07-17 00:00:00;2002-07-16;19.5;Y
2002-07-17 00:00:01;2002-07-18 00:00:00;2002-07-17;17.6;Y
2002-07-18 00:00:01;2002-07-19 00:00:00;2002-07-18;18.6;Y
2002-07-19 00:00:01;2002-07-20 00:00:00;2002-07-19;16.5;Y
2002-07-20 00:00:01;2002-07-21 00:00:00;2002-07-20;19.4;Y
2002-07-21 00:00:01;2002-07-22 00:00:00;2002-07-21;18.0;Y
2002-07-22 00:00:01;2002-07-23 00:00:00;2002-07-22;17.7;Y
2002-07-23 00:00:01;2002-07-24 00:00:00;2002-07-23;17.3;Y
2002-07-24 00:00:01;2002-07-25 00:00:00;2002-07-24;14.2;Y
2002-07-25 00:00:01;2002-07-26 00:00:00;2002-07-25;17.0;Y
2002-07-26 00:00:01;2002-07-27 00:00:00;2002-07-26;15.9;Y
2002-07-27 00:00:01;2002-07-28 00:00:00;2002-07-27;17.0;Y
2002-07-28 00:00:01;2002-07-29 00:00:00;2002-07-28;20.0;Y
2002-07-29 00:00:01;2002-07-30 00:00:00;2002-07-29;21.5;Y
2002-07-30 00:00:01;2002-07-31 00:00:00;2002-07-30;23.0;Y
2002-07-31 00:00:01;2002-08-01 00:00:00;2002-07-31;21.0;Y
2002-08-01 00:00:01;2002-08-02 00:00:00;2002-08-01;19.3;Y
2002-08-02 00:00:01;2002-08-03 00:00:00;2002-08-02;20.1;Y
2002-08-03 00:00:01;2002-08-04 00:00:00;2002-08-03;18.3;Y
2002-08-04 00:00:01;2002-08-05 00:00:00;2002-08-04;18.6;Y
2002-08-05 00:00:01;2002-08-06 00:00:00;2002-08-05;18.7;Y
2002-08-06 00:00:01;2002-08-07 00:00:00;2002-08-06;18.4;Y
2002-08-07 00:00:01;2002-08-08 00:00:00;2002-08-07;18.0;Y
2002-08-08 00:00:01;2002-08-09 00:00:00;2002-08-08;19.2;Y
2002-08-09 00:00:01;2002-08-10 00:00:00;2002-08-09;19.6;Y
2002-08-10 00:00:01;2002-08-11 00:00:00;2002-08-10;20.6;Y
2002-08-11 00:00:01;2002-08-12 00:00:00;2002-08-11;21.1;Y
2002-08-12 00:00:01;2002-08-13 00:00:00;2002-08-12;19.4;Y
2002-08-13 00:00:01;2002-08-14 00:00:00;2002-08-13;20.3;Y
2002-08-14 00:00:01;2002-08-15 00:00:00;2002-08-14;20.4;Y
2002-08-15 00:00:01;2002-08-16 00:00:00;2002-08-15;20.6;Y
2002-08-16 00:00:01;2002-08-17 00:00:00;2002-08-16;20.5;Y
2002-08-17 00:00:01;2002-08-18 00:00:00;2002-08-17;21.4;Y
2002-08-18 00:00:01;2002-08-19 00:00:00;2002-08-18;20.6;Y
2002-08-19 00:00:01;2002-08-20 00:00:00;2002-08-19;19.7;Y
2002-08-20 00:00:01;2002-08-21 00:00:00;2002-08-20;20.8;Y
2002-08-21 00:00:01;2002-08-22 00:00:00;2002-08-21;18.8;Y
2002-08-22 00:00:01;2002-08-23 00:00:00;2002-08-22;18.9;Y
2002-08-23 00:00:01;2002-08-24 00:00:00;2002-08-23;19.1;Y
2002-08-24 00:00:01;2002-08-25 00:00:00;2002-08-24;19.5;Y
2002-08-25 00:00:01;2002-08-26 00:00:00;2002-08-25;18.6;Y
2002-08-26 00:00:01;2002-08-27 00:00:00;2002-08-26;18.6;Y
2002-08-27 00:00:01;2002-08-28 00:00:00;2002-08-27;17.2;Y
2002-08-28 00:00:01;2002-08-29 00:00:00;2002-08-28;17.5;Y
2002-08-29 00:00:01;2002-08-30 00:00:00;2002-08-29;16.6;Y
2002-08-30 00:00:01;2002-08-31 00:00:00;2002-08-30;18.7;Y
2002-08-31 00:00:01;2002-09-01 00:00:00;2002-08-31;18.4;Y
2002-09-01 00:00:01;2002-09-02 00:00:00;2002-09-01;15.9;Y
2002-09-02 00:00:01;2002-09-03 00:00:00;2002-09-02;15.1;Y
2002-09-03 00:00:01;2002-09-04 00:00:00;2002-09-03;17.2;Y
2002-09-04 00:00:01;2002-09-05 00:00:00;2002-09-04;18.4;Y
2002-09-05 00:00:01;2002-09-06 00:00:00;2002-09-05;17.3;Y
2002-09-06 00:00:01;2002-09-07 00:00:00;2002-09-06;16.4;Y
2002-09-07 00:00:01;2002-09-08 00:00:00;2002-09-07;17.2;Y
2002-09-08 00:00:01;2002-09-09 00:00:00;2002-09-08;17.8;Y
2002-09-09 00:00:01;2002-09-10 00:00:00;2002-09-09;16.4;Y
2002-09-10 00:00:01;2002-09-11 00:00:00;2002-09-10;16.1;Y
2002-09-11 00:00:01;2002-09-12 00:00:00;2002-09-11;14.4;Y
2002-09-12 00:00:01;2002-09-13 00:00:00;2002-09-12;14.6;Y
2002-09-13 00:00:01;2002-09-14 00:00:00;2002-09-13;17.2;Y
2002-09-14 00:00:01;2002-09-15 00:00:00;2002-09-14;15.5;Y
2002-09-15 00:00:01;2002-09-16 00:00:00;2002-09-15;12.0;Y
2002-09-16 00:00:01;2002-09-17 00:00:00;2002-09-16;11.7;Y
2002-09-17 00:00:01;2002-09-18 00:00:00;2002-09-17;13.7;Y
2002-09-18 00:00:01;2002-09-19 00:00:00;2002-09-18;12.8;Y
2002-09-19 00:00:01;2002-09-20 00:00:00;2002-09-19;10.7;Y
2002-09-20 00:00:01;2002-09-21 00:00:00;2002-09-20;10.7;Y
2002-09-21 00:00:01;2002-09-22 00:00:00;2002-09-21;8.2;Y
2002-09-22 00:00:01;2002-09-23 00:00:00;2002-09-22;9.5;Y
2002-09-23 00:00:01;2002-09-24 00:00:00;2002-09-23;8.0;Y
2002-09-24 00:00:01;2002-09-25 00:00:00;2002-09-24;11.6;Y
2002-09-25 00:00:01;2002-09-26 00:00:00;2002-09-25;10.5;Y
2002-09-26 00:00:01;2002-09-27 00:00:00;2002-09-26;8.1;Y
2002-09-27 00:00:01;2002-09-28 00:00:00;2002-09-27;8.3;Y
2002-09-28 00:00:01;2002-09-29 00:00:00;2002-09-28;12.4;Y
2002-09-29 00:00:01;2002-09-30 00:00:00;2002-09-29;12.9;Y
2002-09-30 00:00:01;2002-10-01 00:00:00;2002-09-30;13.5;Y
2002-10-01 00:00:01;2002-10-02 00:00:00;2002-10-01;11.9;Y
2002-10-02 00:00:01;2002-10-03 00:00:00;2002-10-02;11.0;Y
2002-10-03 00:00:01;2002-10-04 00:00:00;2002-10-03;11.9;Y
2002-10-04 00:00:01;2002-10-05 00:00:00;2002-10-04;10.2;Y
2002-10-05 00:00:01;2002-10-06 00:00:00;2002-10-05;7.0;Y
