Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ödebyn;82650;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1954-05-01 00:00:00;1964-04-01 23:59:59;150.0;58.7833;12.1833

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1954-05-01 00:00:01;1954-05-02 00:00:00;1954-05-01;6.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1954-05-02 00:00:01;1954-05-03 00:00:00;1954-05-02;6.7;Y;;Tidsperiod (fr.o.m.) = 1954-05-01 00:00:00 (UTC)
1954-05-03 00:00:01;1954-05-04 00:00:00;1954-05-03;6.3;Y;;Tidsperiod (t.o.m.) = 1964-04-01 23:59:59 (UTC)
1954-05-04 00:00:01;1954-05-05 00:00:00;1954-05-04;7.3;Y;;Medelvärdet är beräknat för = 24 timmar
1954-05-05 00:00:01;1954-05-06 00:00:00;1954-05-05;7.1;Y;;
1954-05-06 00:00:01;1954-05-07 00:00:00;1954-05-06;9.9;Y;;Kvalitetskoderna:
1954-05-07 00:00:01;1954-05-08 00:00:00;1954-05-07;8.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1954-05-08 00:00:01;1954-05-09 00:00:00;1954-05-08;7.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1954-05-09 00:00:01;1954-05-10 00:00:00;1954-05-09;9.8;Y;;
1954-05-10 00:00:01;1954-05-11 00:00:00;1954-05-10;11.2;Y;;Nätinformation:
1954-05-11 00:00:01;1954-05-12 00:00:00;1954-05-11;12.5;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1954-05-12 00:00:01;1954-05-13 00:00:00;1954-05-12;10.3;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1954-05-13 00:00:01;1954-05-14 00:00:00;1954-05-13;8.5;Y;;
1954-05-14 00:00:01;1954-05-15 00:00:00;1954-05-14;8.3;Y;;Möjliga orsaker till saknade data:
1954-05-15 00:00:01;1954-05-16 00:00:00;1954-05-15;7.5;Y;;– stationen eller givaren har varit ur funktion.
1954-05-16 00:00:01;1954-05-17 00:00:00;1954-05-16;6.9;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1954-05-17 00:00:01;1954-05-18 00:00:00;1954-05-17;7.1;Y
1954-05-18 00:00:01;1954-05-19 00:00:00;1954-05-18;7.1;Y
1954-05-19 00:00:01;1954-05-20 00:00:00;1954-05-19;9.7;Y
1954-05-20 00:00:01;1954-05-21 00:00:00;1954-05-20;9.7;Y
1954-05-21 00:00:01;1954-05-22 00:00:00;1954-05-21;12.2;Y
1954-05-22 00:00:01;1954-05-23 00:00:00;1954-05-22;10.1;Y
1954-05-23 00:00:01;1954-05-24 00:00:00;1954-05-23;9.9;Y
1954-05-24 00:00:01;1954-05-25 00:00:00;1954-05-24;13.3;Y
1954-05-25 00:00:01;1954-05-26 00:00:00;1954-05-25;13.9;Y
1954-05-26 00:00:01;1954-05-27 00:00:00;1954-05-26;14.2;Y
1954-05-27 00:00:01;1954-05-28 00:00:00;1954-05-27;15.8;Y
1954-05-28 00:00:01;1954-05-29 00:00:00;1954-05-28;17.6;Y
1954-05-29 00:00:01;1954-05-30 00:00:00;1954-05-29;18.0;Y
1954-05-30 00:00:01;1954-05-31 00:00:00;1954-05-30;18.4;Y
1954-05-31 00:00:01;1954-06-01 00:00:00;1954-05-31;16.1;Y
1954-06-01 00:00:01;1954-06-02 00:00:00;1954-06-01;13.0;Y
1954-06-02 00:00:01;1954-06-03 00:00:00;1954-06-02;12.4;Y
1954-06-03 00:00:01;1954-06-04 00:00:00;1954-06-03;11.1;Y
1954-06-04 00:00:01;1954-06-05 00:00:00;1954-06-04;12.2;Y
1954-06-05 00:00:01;1954-06-06 00:00:00;1954-06-05;15.1;Y
1954-06-06 00:00:01;1954-06-07 00:00:00;1954-06-06;12.4;Y
1954-06-07 00:00:01;1954-06-08 00:00:00;1954-06-07;13.5;Y
1954-06-08 00:00:01;1954-06-09 00:00:00;1954-06-08;12.8;Y
1954-06-09 00:00:01;1954-06-10 00:00:00;1954-06-09;10.8;Y
1954-06-10 00:00:01;1954-06-11 00:00:00;1954-06-10;13.4;Y
1954-06-11 00:00:01;1954-06-12 00:00:00;1954-06-11;13.9;Y
1954-06-12 00:00:01;1954-06-13 00:00:00;1954-06-12;11.9;Y
1954-06-13 00:00:01;1954-06-14 00:00:00;1954-06-13;11.6;Y
1954-06-14 00:00:01;1954-06-15 00:00:00;1954-06-14;11.1;Y
1954-06-15 00:00:01;1954-06-16 00:00:00;1954-06-15;11.9;Y
