Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ödskölt;82660;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1949-01-01 00:00:00;1954-04-27 23:59:59;175.0;58.8458;12.1472

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1949-01-01 00:00:01;1949-01-02 00:00:00;1949-01-01;1.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1949-01-02 00:00:01;1949-01-03 00:00:00;1949-01-02;3.8;Y;;Tidsperiod (fr.o.m.) = 1949-01-01 00:00:00 (UTC)
1949-01-03 00:00:01;1949-01-04 00:00:00;1949-01-03;3.7;Y;;Tidsperiod (t.o.m.) = 1954-04-27 23:59:59 (UTC)
1949-01-04 00:00:01;1949-01-05 00:00:00;1949-01-04;0.5;Y;;Medelvärdet är beräknat för = 24 timmar
1949-01-05 00:00:01;1949-01-06 00:00:00;1949-01-05;1.3;Y;;
1949-01-06 00:00:01;1949-01-07 00:00:00;1949-01-06;2.4;Y;;Kvalitetskoderna:
1949-01-07 00:00:01;1949-01-08 00:00:00;1949-01-07;2.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1949-01-08 00:00:01;1949-01-09 00:00:00;1949-01-08;2.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1949-01-09 00:00:01;1949-01-10 00:00:00;1949-01-09;-2.1;Y;;
1949-01-10 00:00:01;1949-01-11 00:00:00;1949-01-10;0.8;Y;;Nätinformation:
1949-01-11 00:00:01;1949-01-12 00:00:00;1949-01-11;4.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1949-01-12 00:00:01;1949-01-13 00:00:00;1949-01-12;1.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1949-01-13 00:00:01;1949-01-14 00:00:00;1949-01-13;-2.4;Y;;
1949-01-14 00:00:01;1949-01-15 00:00:00;1949-01-14;3.5;Y;;Möjliga orsaker till saknade data:
1949-01-15 00:00:01;1949-01-16 00:00:00;1949-01-15;0.7;Y;;– stationen eller givaren har varit ur funktion.
1949-01-16 00:00:01;1949-01-17 00:00:00;1949-01-16;-3.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1949-01-17 00:00:01;1949-01-18 00:00:00;1949-01-17;-2.3;Y
1949-01-18 00:00:01;1949-01-19 00:00:00;1949-01-18;1.5;Y
1949-01-19 00:00:01;1949-01-20 00:00:00;1949-01-19;3.3;Y
1949-01-20 00:00:01;1949-01-21 00:00:00;1949-01-20;1.9;Y
1949-01-21 00:00:01;1949-01-22 00:00:00;1949-01-21;-2.4;Y
1949-01-22 00:00:01;1949-01-23 00:00:00;1949-01-22;-5.2;Y
1949-01-23 00:00:01;1949-01-24 00:00:00;1949-01-23;0.1;Y
1949-01-24 00:00:01;1949-01-25 00:00:00;1949-01-24;3.4;Y
1949-01-25 00:00:01;1949-01-26 00:00:00;1949-01-25;2.3;Y
1949-01-26 00:00:01;1949-01-27 00:00:00;1949-01-26;2.0;Y
1949-01-27 00:00:01;1949-01-28 00:00:00;1949-01-27;1.2;Y
1949-01-28 00:00:01;1949-01-29 00:00:00;1949-01-28;4.1;Y
1949-01-29 00:00:01;1949-01-30 00:00:00;1949-01-29;4.3;Y
1949-01-30 00:00:01;1949-01-31 00:00:00;1949-01-30;3.7;Y
1949-01-31 00:00:01;1949-02-01 00:00:00;1949-01-31;0.9;Y
1949-02-01 00:00:01;1949-02-02 00:00:00;1949-02-01;-1.5;Y
1949-02-02 00:00:01;1949-02-03 00:00:00;1949-02-02;-3.0;Y
1949-02-03 00:00:01;1949-02-04 00:00:00;1949-02-03;3.1;Y
1949-02-04 00:00:01;1949-02-05 00:00:00;1949-02-04;4.3;Y
1949-02-05 00:00:01;1949-02-06 00:00:00;1949-02-05;-0.5;Y
1949-02-06 00:00:01;1949-02-07 00:00:00;1949-02-06;-0.0;Y
1949-02-07 00:00:01;1949-02-08 00:00:00;1949-02-07;2.1;Y
1949-02-08 00:00:01;1949-02-09 00:00:00;1949-02-08;-0.3;Y
1949-02-09 00:00:01;1949-02-10 00:00:00;1949-02-09;1.8;Y
1949-02-10 00:00:01;1949-02-11 00:00:00;1949-02-10;1.2;Y
1949-02-11 00:00:01;1949-02-12 00:00:00;1949-02-11;-1.7;Y
1949-02-12 00:00:01;1949-02-13 00:00:00;1949-02-12;-0.8;Y
1949-02-13 00:00:01;1949-02-14 00:00:00;1949-02-13;1.0;Y
1949-02-14 00:00:01;1949-02-15 00:00:00;1949-02-14;3.8;Y
1949-02-15 00:00:01;1949-02-16 00:00:00;1949-02-15;3.3;Y
1949-02-16 00:00:01;1949-02-17 00:00:00;1949-02-16;6.3;Y
1949-02-17 00:00:01;1949-02-18 00:00:00;1949-02-17;6.2;Y
1949-02-18 00:00:01;1949-02-19 00:00:00;1949-02-18;1.8;Y
1949-02-19 00:00:01;1949-02-20 00:00:00;1949-02-19;3.8;Y
1949-02-20 00:00:01;1949-02-21 00:00:00;1949-02-20;3.1;Y
1949-02-21 00:00:01;1949-02-22 00:00:00;1949-02-21;4.6;Y
1949-02-22 00:00:01;1949-02-23 00:00:00;1949-02-22;5.0;Y
1949-02-23 00:00:01;1949-02-24 00:00:00;1949-02-23;3.9;Y
1949-02-24 00:00:01;1949-02-25 00:00:00;1949-02-24;2.1;Y
1949-02-25 00:00:01;1949-02-26 00:00:00;1949-02-25;1.1;Y
1949-02-26 00:00:01;1949-02-27 00:00:00;1949-02-26;0.6;Y
1949-02-27 00:00:01;1949-02-28 00:00:00;1949-02-27;-0.0;Y
1949-02-28 00:00:01;1949-03-01 00:00:00;1949-02-28;-2.3;Y
1949-03-01 00:00:01;1949-03-02 00:00:00;1949-03-01;-4.1;Y
1949-03-02 00:00:01;1949-03-03 00:00:00;1949-03-02;-6.2;Y
1949-03-03 00:00:01;1949-03-04 00:00:00;1949-03-03;-4.2;Y
1949-03-04 00:00:01;1949-03-05 00:00:00;1949-03-04;-6.0;Y
1949-03-05 00:00:01;1949-03-06 00:00:00;1949-03-05;-5.3;Y
1949-03-06 00:00:01;1949-03-07 00:00:00;1949-03-06;-1.8;Y
1949-03-07 00:00:01;1949-03-08 00:00:00;1949-03-07;-3.5;Y
1949-03-08 00:00:01;1949-03-09 00:00:00;1949-03-08;-2.1;Y
1949-03-09 00:00:01;1949-03-10 00:00:00;1949-03-09;-0.8;Y
1949-03-10 00:00:01;1949-03-11 00:00:00;1949-03-10;-2.3;Y
1949-03-11 00:00:01;1949-03-12 00:00:00;1949-03-11;-1.2;Y
1949-03-12 00:00:01;1949-03-13 00:00:00;1949-03-12;-2.0;Y
1949-03-13 00:00:01;1949-03-14 00:00:00;1949-03-13;2.4;Y
1949-03-14 00:00:01;1949-03-15 00:00:00;1949-03-14;1.7;Y
1949-03-15 00:00:01;1949-03-16 00:00:00;1949-03-15;2.1;Y
1949-03-16 00:00:01;1949-03-17 00:00:00;1949-03-16;-0.4;Y
1949-03-17 00:00:01;1949-03-18 00:00:00;1949-03-17;-2.1;Y
1949-03-18 00:00:01;1949-03-19 00:00:00;1949-03-18;-2.6;Y
1949-03-19 00:00:01;1949-03-20 00:00:00;1949-03-19;-1.5;Y
1949-03-20 00:00:01;1949-03-21 00:00:00;1949-03-20;-0.6;Y
1949-03-21 00:00:01;1949-03-22 00:00:00;1949-03-21;0.2;Y
1949-03-22 00:00:01;1949-03-23 00:00:00;1949-03-22;2.9;Y
1949-03-23 00:00:01;1949-03-24 00:00:00;1949-03-23;5.8;Y
1949-03-24 00:00:01;1949-03-25 00:00:00;1949-03-24;6.5;Y
1949-03-25 00:00:01;1949-03-26 00:00:00;1949-03-25;5.8;Y
1949-03-26 00:00:01;1949-03-27 00:00:00;1949-03-26;1.6;Y
1949-03-27 00:00:01;1949-03-28 00:00:00;1949-03-27;1.8;Y
1949-03-28 00:00:01;1949-03-29 00:00:00;1949-03-28;2.2;Y
1949-03-29 00:00:01;1949-03-30 00:00:00;1949-03-29;3.8;Y
1949-03-30 00:00:01;1949-03-31 00:00:00;1949-03-30;4.7;Y
1949-03-31 00:00:01;1949-04-01 00:00:00;1949-03-31;4.4;Y
1949-04-01 00:00:01;1949-04-02 00:00:00;1949-04-01;2.5;Y
1949-04-02 00:00:01;1949-04-03 00:00:00;1949-04-02;1.8;Y
1949-04-03 00:00:01;1949-04-04 00:00:00;1949-04-03;4.1;Y
1949-04-04 00:00:01;1949-04-05 00:00:00;1949-04-04;8.4;Y
1949-04-05 00:00:01;1949-04-06 00:00:00;1949-04-05;7.0;Y
1949-04-06 00:00:01;1949-04-07 00:00:00;1949-04-06;3.2;Y
1949-04-07 00:00:01;1949-04-08 00:00:00;1949-04-07;0.6;Y
1949-04-08 00:00:01;1949-04-09 00:00:00;1949-04-08;1.1;Y
1949-04-09 00:00:01;1949-04-10 00:00:00;1949-04-09;2.0;Y
1949-04-10 00:00:01;1949-04-11 00:00:00;1949-04-10;3.8;Y
1949-04-11 00:00:01;1949-04-12 00:00:00;1949-04-11;4.8;Y
1949-04-12 00:00:01;1949-04-13 00:00:00;1949-04-12;5.1;Y
1949-04-13 00:00:01;1949-04-14 00:00:00;1949-04-13;6.6;Y
1949-04-14 00:00:01;1949-04-15 00:00:00;1949-04-14;8.2;Y
1949-04-15 00:00:01;1949-04-16 00:00:00;1949-04-15;7.6;Y
1949-04-16 00:00:01;1949-04-17 00:00:00;1949-04-16;8.3;Y
1949-04-17 00:00:01;1949-04-18 00:00:00;1949-04-17;11.0;Y
1949-04-18 00:00:01;1949-04-19 00:00:00;1949-04-18;8.1;Y
1949-04-19 00:00:01;1949-04-20 00:00:00;1949-04-19;8.1;Y
1949-04-20 00:00:01;1949-04-21 00:00:00;1949-04-20;6.6;Y
1949-04-21 00:00:01;1949-04-22 00:00:00;1949-04-21;5.8;Y
1949-04-22 00:00:01;1949-04-23 00:00:00;1949-04-22;5.9;Y
1949-04-23 00:00:01;1949-04-24 00:00:00;1949-04-23;5.6;Y
1949-04-24 00:00:01;1949-04-25 00:00:00;1949-04-24;9.7;Y
1949-04-25 00:00:01;1949-04-26 00:00:00;1949-04-25;12.8;Y
1949-04-26 00:00:01;1949-04-27 00:00:00;1949-04-26;8.8;Y
1949-04-27 00:00:01;1949-04-28 00:00:00;1949-04-27;8.6;Y
1949-04-28 00:00:01;1949-04-29 00:00:00;1949-04-28;9.3;Y
1949-04-29 00:00:01;1949-04-30 00:00:00;1949-04-29;7.7;Y
1949-04-30 00:00:01;1949-05-01 00:00:00;1949-04-30;7.7;Y
1949-05-01 00:00:01;1949-05-02 00:00:00;1949-05-01;7.4;Y
1949-05-02 00:00:01;1949-05-03 00:00:00;1949-05-02;9.9;Y
1949-05-03 00:00:01;1949-05-04 00:00:00;1949-05-03;13.2;Y
1949-05-04 00:00:01;1949-05-05 00:00:00;1949-05-04;12.8;Y
1949-05-06 00:00:01;1949-05-07 00:00:00;1949-05-06;10.2;Y
1949-05-07 00:00:01;1949-05-08 00:00:00;1949-05-07;6.7;Y
1949-05-08 00:00:01;1949-05-09 00:00:00;1949-05-08;6.0;Y
1949-05-09 00:00:01;1949-05-10 00:00:00;1949-05-09;6.9;Y
1949-05-10 00:00:01;1949-05-11 00:00:00;1949-05-10;7.9;Y
1949-05-11 00:00:01;1949-05-12 00:00:00;1949-05-11;10.5;Y
1949-05-12 00:00:01;1949-05-13 00:00:00;1949-05-12;9.5;Y
1949-05-13 00:00:01;1949-05-14 00:00:00;1949-05-13;11.9;Y
1949-05-14 00:00:01;1949-05-15 00:00:00;1949-05-14;12.4;Y
1949-05-15 00:00:01;1949-05-16 00:00:00;1949-05-15;15.0;Y
1949-05-16 00:00:01;1949-05-17 00:00:00;1949-05-16;15.8;Y
1949-05-17 00:00:01;1949-05-18 00:00:00;1949-05-17;14.0;Y
1949-05-18 00:00:01;1949-05-19 00:00:00;1949-05-18;17.6;Y
1949-05-19 00:00:01;1949-05-20 00:00:00;1949-05-19;17.1;Y
1949-05-20 00:00:01;1949-05-21 00:00:00;1949-05-20;15.8;Y
1949-05-21 00:00:01;1949-05-22 00:00:00;1949-05-21;16.8;Y
1949-05-22 00:00:01;1949-05-23 00:00:00;1949-05-22;14.7;Y
1949-05-23 00:00:01;1949-05-24 00:00:00;1949-05-23;14.2;Y
1949-05-24 00:00:01;1949-05-25 00:00:00;1949-05-24;11.3;Y
1949-05-25 00:00:01;1949-05-26 00:00:00;1949-05-25;13.1;Y
1949-05-26 00:00:01;1949-05-27 00:00:00;1949-05-26;10.4;Y
1949-05-27 00:00:01;1949-05-28 00:00:00;1949-05-27;10.6;Y
1949-05-28 00:00:01;1949-05-29 00:00:00;1949-05-28;11.7;Y
1949-05-29 00:00:01;1949-05-30 00:00:00;1949-05-29;12.6;Y
1949-05-30 00:00:01;1949-05-31 00:00:00;1949-05-30;13.3;Y
1949-05-31 00:00:01;1949-06-01 00:00:00;1949-05-31;12.6;Y
1949-06-01 00:00:01;1949-06-02 00:00:00;1949-06-01;11.6;Y
1949-06-02 00:00:01;1949-06-03 00:00:00;1949-06-02;13.0;Y
1949-06-03 00:00:01;1949-06-04 00:00:00;1949-06-03;14.9;Y
1949-06-04 00:00:01;1949-06-05 00:00:00;1949-06-04;14.3;Y
1949-06-06 00:00:01;1949-06-07 00:00:00;1949-06-06;12.9;Y
1949-06-07 00:00:01;1949-06-08 00:00:00;1949-06-07;15.2;Y
1949-06-08 00:00:01;1949-06-09 00:00:00;1949-06-08;14.9;Y
1949-06-09 00:00:01;1949-06-10 00:00:00;1949-06-09;12.0;Y
1949-06-10 00:00:01;1949-06-11 00:00:00;1949-06-10;12.3;Y
1949-06-11 00:00:01;1949-06-12 00:00:00;1949-06-11;13.2;Y
1949-06-12 00:00:01;1949-06-13 00:00:00;1949-06-12;15.6;Y
1949-06-13 00:00:01;1949-06-14 00:00:00;1949-06-13;13.9;Y
1949-06-15 00:00:01;1949-06-16 00:00:00;1949-06-15;11.9;Y
1949-06-16 00:00:01;1949-06-17 00:00:00;1949-06-16;13.7;Y
1949-06-17 00:00:01;1949-06-18 00:00:00;1949-06-17;13.5;Y
1949-06-18 00:00:01;1949-06-19 00:00:00;1949-06-18;13.1;Y
1949-06-19 00:00:01;1949-06-20 00:00:00;1949-06-19;14.9;Y
1949-06-20 00:00:01;1949-06-21 00:00:00;1949-06-20;15.6;Y
1949-06-21 00:00:01;1949-06-22 00:00:00;1949-06-21;13.0;Y
1949-06-22 00:00:01;1949-06-23 00:00:00;1949-06-22;12.9;Y
1949-06-23 00:00:01;1949-06-24 00:00:00;1949-06-23;12.3;Y
1949-06-24 00:00:01;1949-06-25 00:00:00;1949-06-24;14.7;Y
1949-06-25 00:00:01;1949-06-26 00:00:00;1949-06-25;15.6;Y
1949-06-26 00:00:01;1949-06-27 00:00:00;1949-06-26;13.9;Y
1949-06-27 00:00:01;1949-06-28 00:00:00;1949-06-27;17.2;Y
1949-06-28 00:00:01;1949-06-29 00:00:00;1949-06-28;17.8;Y
1949-06-29 00:00:01;1949-06-30 00:00:00;1949-06-29;17.1;Y
1949-06-30 00:00:01;1949-07-01 00:00:00;1949-06-30;15.5;Y
1949-07-01 00:00:01;1949-07-02 00:00:00;1949-07-01;17.0;Y
1949-07-02 00:00:01;1949-07-03 00:00:00;1949-07-02;18.4;Y
1949-07-03 00:00:01;1949-07-04 00:00:00;1949-07-03;17.4;Y
1949-07-04 00:00:01;1949-07-05 00:00:00;1949-07-04;19.2;Y
1949-07-05 00:00:01;1949-07-06 00:00:00;1949-07-05;18.6;Y
1949-07-06 00:00:01;1949-07-07 00:00:00;1949-07-06;19.3;Y
1949-07-07 00:00:01;1949-07-08 00:00:00;1949-07-07;20.8;Y
1949-07-08 00:00:01;1949-07-09 00:00:00;1949-07-08;20.0;Y
1949-07-09 00:00:01;1949-07-10 00:00:00;1949-07-09;19.6;Y
1949-07-10 00:00:01;1949-07-11 00:00:00;1949-07-10;20.9;Y
1949-07-11 00:00:01;1949-07-12 00:00:00;1949-07-11;20.2;Y
1949-07-12 00:00:01;1949-07-13 00:00:00;1949-07-12;20.2;Y
1949-07-13 00:00:01;1949-07-14 00:00:00;1949-07-13;18.8;Y
1949-07-14 00:00:01;1949-07-15 00:00:00;1949-07-14;16.5;Y
1949-07-15 00:00:01;1949-07-16 00:00:00;1949-07-15;17.5;Y
1949-07-16 00:00:01;1949-07-17 00:00:00;1949-07-16;18.5;Y
1949-07-17 00:00:01;1949-07-18 00:00:00;1949-07-17;18.7;Y
1949-07-18 00:00:01;1949-07-19 00:00:00;1949-07-18;18.9;Y
1949-07-19 00:00:01;1949-07-20 00:00:00;1949-07-19;16.6;Y
1949-07-20 00:00:01;1949-07-21 00:00:00;1949-07-20;17.0;Y
1949-07-21 00:00:01;1949-07-22 00:00:00;1949-07-21;18.0;Y
1949-07-22 00:00:01;1949-07-23 00:00:00;1949-07-22;19.6;Y
1949-07-23 00:00:01;1949-07-24 00:00:00;1949-07-23;18.9;Y
1949-07-24 00:00:01;1949-07-25 00:00:00;1949-07-24;17.5;Y
1949-07-25 00:00:01;1949-07-26 00:00:00;1949-07-25;18.3;Y
1949-07-26 00:00:01;1949-07-27 00:00:00;1949-07-26;17.6;Y
1949-07-27 00:00:01;1949-07-28 00:00:00;1949-07-27;16.8;Y
1949-07-28 00:00:01;1949-07-29 00:00:00;1949-07-28;15.9;Y
1949-07-29 00:00:01;1949-07-30 00:00:00;1949-07-29;16.8;Y
