Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Skara-Stenum;83200;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1971-11-01 00:00:00;1973-05-01 06:00:00;130.0;58.3700;13.5200

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1971-11-01 00:00:01;1971-11-02 00:00:00;1971-11-01;4.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1971-11-02 00:00:01;1971-11-03 00:00:00;1971-11-02;10.6;Y;;Tidsperiod (fr.o.m.) = 1971-11-01 00:00:00 (UTC)
1971-11-03 00:00:01;1971-11-04 00:00:00;1971-11-03;8.8;Y;;Tidsperiod (t.o.m.) = 1973-05-01 06:00:00 (UTC)
1971-11-04 00:00:01;1971-11-05 00:00:00;1971-11-04;8.5;Y;;Medelvärdet är beräknat för = 24 timmar
1971-11-05 00:00:01;1971-11-06 00:00:00;1971-11-05;2.9;Y;;
1971-11-06 00:00:01;1971-11-07 00:00:00;1971-11-06;0.7;Y;;Kvalitetskoderna:
1971-11-07 00:00:01;1971-11-08 00:00:00;1971-11-07;-1.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1971-11-08 00:00:01;1971-11-09 00:00:00;1971-11-08;3.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1971-11-09 00:00:01;1971-11-10 00:00:00;1971-11-09;-2.5;Y;;
1971-11-10 00:00:01;1971-11-11 00:00:00;1971-11-10;-4.8;Y;;Nätinformation:
1971-11-11 00:00:01;1971-11-12 00:00:00;1971-11-11;5.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1971-11-12 00:00:01;1971-11-13 00:00:00;1971-11-12;-1.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1971-11-13 00:00:01;1971-11-14 00:00:00;1971-11-13;-0.8;Y;;
1971-11-14 00:00:01;1971-11-15 00:00:00;1971-11-14;1.4;Y;;Möjliga orsaker till saknade data:
1971-11-15 00:00:01;1971-11-16 00:00:00;1971-11-15;6.5;Y;;– stationen eller givaren har varit ur funktion.
1971-11-16 00:00:01;1971-11-17 00:00:00;1971-11-16;4.4;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1971-11-17 00:00:01;1971-11-18 00:00:00;1971-11-17;-1.4;Y
1971-11-18 00:00:01;1971-11-19 00:00:00;1971-11-18;-6.7;Y
1971-11-19 00:00:01;1971-11-20 00:00:00;1971-11-19;-9.5;Y
1971-11-20 00:00:01;1971-11-21 00:00:00;1971-11-20;-8.7;Y
1971-11-21 00:00:01;1971-11-22 00:00:00;1971-11-21;-0.6;Y
1971-11-22 00:00:01;1971-11-23 00:00:00;1971-11-22;-2.4;Y
1971-11-23 00:00:01;1971-11-24 00:00:00;1971-11-23;-2.4;Y
1971-11-24 00:00:01;1971-11-25 00:00:00;1971-11-24;-7.3;Y
1971-11-25 00:00:01;1971-11-26 00:00:00;1971-11-25;-0.1;Y
1971-11-26 00:00:01;1971-11-27 00:00:00;1971-11-26;-0.8;Y
1971-11-27 00:00:01;1971-11-28 00:00:00;1971-11-27;6.0;Y
1971-11-28 00:00:01;1971-11-29 00:00:00;1971-11-28;5.3;Y
1971-11-29 00:00:01;1971-11-30 00:00:00;1971-11-29;2.3;Y
1971-11-30 00:00:01;1971-12-01 00:00:00;1971-11-30;2.3;Y
1971-12-01 00:00:01;1971-12-02 00:00:00;1971-12-01;-0.1;Y
1971-12-02 00:00:01;1971-12-03 00:00:00;1971-12-02;0.1;Y
1971-12-03 00:00:01;1971-12-04 00:00:00;1971-12-03;-2.3;Y
1971-12-04 00:00:01;1971-12-05 00:00:00;1971-12-04;4.3;Y
1971-12-05 00:00:01;1971-12-06 00:00:00;1971-12-05;5.4;Y
1971-12-06 00:00:01;1971-12-07 00:00:00;1971-12-06;1.6;Y
1971-12-07 00:00:01;1971-12-08 00:00:00;1971-12-07;4.9;Y
1971-12-08 00:00:01;1971-12-09 00:00:00;1971-12-08;-1.7;Y
1971-12-09 00:00:01;1971-12-10 00:00:00;1971-12-09;-1.4;Y
1971-12-10 00:00:01;1971-12-11 00:00:00;1971-12-10;-3.7;Y
1971-12-11 00:00:01;1971-12-12 00:00:00;1971-12-11;0.7;Y
