Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Skara-Ekeberg;83240;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-07-01 00:00:00;1971-11-01 06:00:00;130.0;58.4000;13.5500

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1969-07-01 00:00:01;1969-07-02 00:00:00;1969-07-01;16.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-07-02 00:00:01;1969-07-03 00:00:00;1969-07-02;16.9;Y;;Tidsperiod (fr.o.m.) = 1969-07-01 00:00:00 (UTC)
1969-07-03 00:00:01;1969-07-04 00:00:00;1969-07-03;17.0;Y;;Tidsperiod (t.o.m.) = 1971-11-01 06:00:00 (UTC)
1969-07-04 00:00:01;1969-07-05 00:00:00;1969-07-04;14.3;Y;;Medelvärdet är beräknat för = 24 timmar
1969-07-05 00:00:01;1969-07-06 00:00:00;1969-07-05;15.4;Y;;
1969-07-06 00:00:01;1969-07-07 00:00:00;1969-07-06;14.2;Y;;Kvalitetskoderna:
1969-07-07 00:00:01;1969-07-08 00:00:00;1969-07-07;13.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1969-07-08 00:00:01;1969-07-09 00:00:00;1969-07-08;14.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1969-07-09 00:00:01;1969-07-10 00:00:00;1969-07-09;13.6;Y;;
1969-07-10 00:00:01;1969-07-11 00:00:00;1969-07-10;13.1;Y;;Nätinformation:
1969-07-11 00:00:01;1969-07-12 00:00:00;1969-07-11;13.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1969-07-12 00:00:01;1969-07-13 00:00:00;1969-07-12;16.3;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1969-07-13 00:00:01;1969-07-14 00:00:00;1969-07-13;16.7;Y;;
1969-07-14 00:00:01;1969-07-15 00:00:00;1969-07-14;16.1;Y;;Möjliga orsaker till saknade data:
1969-07-15 00:00:01;1969-07-16 00:00:00;1969-07-15;18.6;Y;;– stationen eller givaren har varit ur funktion.
1969-07-16 00:00:01;1969-07-17 00:00:00;1969-07-16;20.7;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
