Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Högstena;83610;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-09-01 00:00:00;1965-01-31 23:59:59;211.0;58.2333;13.7166

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1962-09-01 00:00:01;1962-09-02 00:00:00;1962-09-01;10.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-09-02 00:00:01;1962-09-03 00:00:00;1962-09-02;11.4;Y;;Tidsperiod (fr.o.m.) = 1962-09-01 00:00:00 (UTC)
1962-09-03 00:00:01;1962-09-04 00:00:00;1962-09-03;12.9;Y;;Tidsperiod (t.o.m.) = 1965-01-31 23:59:59 (UTC)
1962-09-04 00:00:01;1962-09-05 00:00:00;1962-09-04;14.0;Y;;Medelvärdet är beräknat för = 24 timmar
1962-09-05 00:00:01;1962-09-06 00:00:00;1962-09-05;11.3;Y;;
1962-09-06 00:00:01;1962-09-07 00:00:00;1962-09-06;11.6;Y;;Kvalitetskoderna:
1962-09-07 00:00:01;1962-09-08 00:00:00;1962-09-07;10.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-09-08 00:00:01;1962-09-09 00:00:00;1962-09-08;9.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-09-09 00:00:01;1962-09-10 00:00:00;1962-09-09;9.3;Y;;
1962-09-10 00:00:01;1962-09-11 00:00:00;1962-09-10;11.7;Y;;Nätinformation:
1962-09-11 00:00:01;1962-09-12 00:00:00;1962-09-11;10.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-09-12 00:00:01;1962-09-13 00:00:00;1962-09-12;7.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1962-09-13 00:00:01;1962-09-14 00:00:00;1962-09-13;8.4;Y;;
1962-09-14 00:00:01;1962-09-15 00:00:00;1962-09-14;7.7;Y;;Möjliga orsaker till saknade data:
