Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Hönsäter;83740;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1921-07-01 00:00:00;1940-02-29 23:59:59;80.0;58.6331;13.4305

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1921-07-01 00:00:01;1921-07-02 00:00:00;1921-07-01;15.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1921-07-02 00:00:01;1921-07-03 00:00:00;1921-07-02;17.0;Y;;Tidsperiod (fr.o.m.) = 1921-07-01 00:00:00 (UTC)
1921-07-03 00:00:01;1921-07-04 00:00:00;1921-07-03;18.8;Y;;Tidsperiod (t.o.m.) = 1940-02-29 23:59:59 (UTC)
1921-07-04 00:00:01;1921-07-05 00:00:00;1921-07-04;18.2;Y;;Medelvärdet är beräknat för = 24 timmar
1921-07-05 00:00:01;1921-07-06 00:00:00;1921-07-05;15.4;Y;;
1921-07-06 00:00:01;1921-07-07 00:00:00;1921-07-06;17.9;Y;;Kvalitetskoderna:
1921-07-07 00:00:01;1921-07-08 00:00:00;1921-07-07;19.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1921-07-08 00:00:01;1921-07-09 00:00:00;1921-07-08;17.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1921-07-09 00:00:01;1921-07-10 00:00:00;1921-07-09;20.3;Y;;
1921-07-10 00:00:01;1921-07-11 00:00:00;1921-07-10;19.8;Y;;Nätinformation:
1921-07-11 00:00:01;1921-07-12 00:00:00;1921-07-11;18.6;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1921-07-12 00:00:01;1921-07-13 00:00:00;1921-07-12;15.2;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1921-07-13 00:00:01;1921-07-14 00:00:00;1921-07-13;14.2;Y;;
1921-07-14 00:00:01;1921-07-15 00:00:00;1921-07-14;13.7;Y;;Möjliga orsaker till saknade data:
1921-07-15 00:00:01;1921-07-16 00:00:00;1921-07-15;14.7;Y;;– stationen eller givaren har varit ur funktion.
1921-07-16 00:00:01;1921-07-17 00:00:00;1921-07-16;16.2;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1921-07-17 00:00:01;1921-07-18 00:00:00;1921-07-17;19.3;Y
1921-07-18 00:00:01;1921-07-19 00:00:00;1921-07-18;21.4;Y
1921-07-19 00:00:01;1921-07-20 00:00:00;1921-07-19;22.5;Y
1921-07-20 00:00:01;1921-07-21 00:00:00;1921-07-20;20.3;Y
1921-07-21 00:00:01;1921-07-22 00:00:00;1921-07-21;15.0;Y
1921-07-22 00:00:01;1921-07-23 00:00:00;1921-07-22;14.1;Y
1921-07-23 00:00:01;1921-07-24 00:00:00;1921-07-23;15.0;Y
1921-07-24 00:00:01;1921-07-25 00:00:00;1921-07-24;14.3;Y
1921-07-25 00:00:01;1921-07-26 00:00:00;1921-07-25;15.2;Y
1921-07-26 00:00:01;1921-07-27 00:00:00;1921-07-26;19.0;Y
1921-07-27 00:00:01;1921-07-28 00:00:00;1921-07-27;15.4;Y
1921-07-28 00:00:01;1921-07-29 00:00:00;1921-07-28;15.2;Y
1921-07-29 00:00:01;1921-07-30 00:00:00;1921-07-29;19.3;Y
1921-07-30 00:00:01;1921-07-31 00:00:00;1921-07-30;17.9;Y
1921-07-31 00:00:01;1921-08-01 00:00:00;1921-07-31;17.1;Y
1921-08-01 00:00:01;1921-08-02 00:00:00;1921-08-01;17.4;Y
1921-08-02 00:00:01;1921-08-03 00:00:00;1921-08-02;20.7;Y
1921-08-03 00:00:01;1921-08-04 00:00:00;1921-08-03;19.8;Y
1921-08-04 00:00:01;1921-08-05 00:00:00;1921-08-04;14.7;Y
1921-08-05 00:00:01;1921-08-06 00:00:00;1921-08-05;14.2;Y
1921-08-06 00:00:01;1921-08-07 00:00:00;1921-08-06;13.3;Y
1921-08-07 00:00:01;1921-08-08 00:00:00;1921-08-07;13.7;Y
1921-08-08 00:00:01;1921-08-09 00:00:00;1921-08-08;13.4;Y
1921-08-09 00:00:01;1921-08-10 00:00:00;1921-08-09;13.0;Y
1921-08-10 00:00:01;1921-08-11 00:00:00;1921-08-10;13.7;Y
1921-08-11 00:00:01;1921-08-12 00:00:00;1921-08-11;14.5;Y
1921-08-12 00:00:01;1921-08-13 00:00:00;1921-08-12;13.3;Y
1921-08-13 00:00:01;1921-08-14 00:00:00;1921-08-13;13.9;Y
1921-08-14 00:00:01;1921-08-15 00:00:00;1921-08-14;12.9;Y
1921-08-15 00:00:01;1921-08-16 00:00:00;1921-08-15;12.9;Y
1921-08-16 00:00:01;1921-08-17 00:00:00;1921-08-16;11.7;Y
1921-08-17 00:00:01;1921-08-18 00:00:00;1921-08-17;13.5;Y
1921-08-18 00:00:01;1921-08-19 00:00:00;1921-08-18;16.3;Y
1921-08-19 00:00:01;1921-08-20 00:00:00;1921-08-19;15.2;Y
1921-08-20 00:00:01;1921-08-21 00:00:00;1921-08-20;16.3;Y
1921-08-21 00:00:01;1921-08-22 00:00:00;1921-08-21;15.8;Y
1921-08-22 00:00:01;1921-08-23 00:00:00;1921-08-22;16.7;Y
1921-08-23 00:00:01;1921-08-24 00:00:00;1921-08-23;16.9;Y
1921-08-24 00:00:01;1921-08-25 00:00:00;1921-08-24;16.6;Y
1921-08-25 00:00:01;1921-08-26 00:00:00;1921-08-25;12.4;Y
1921-08-26 00:00:01;1921-08-27 00:00:00;1921-08-26;11.4;Y
1921-08-27 00:00:01;1921-08-28 00:00:00;1921-08-27;11.2;Y
1921-08-28 00:00:01;1921-08-29 00:00:00;1921-08-28;11.3;Y
1921-08-29 00:00:01;1921-08-30 00:00:00;1921-08-29;9.8;Y
1921-08-30 00:00:01;1921-08-31 00:00:00;1921-08-30;9.7;Y
1921-08-31 00:00:01;1921-09-01 00:00:00;1921-08-31;8.6;Y
1921-09-01 00:00:01;1921-09-02 00:00:00;1921-09-01;9.8;Y
1921-09-02 00:00:01;1921-09-03 00:00:00;1921-09-02;10.9;Y
1921-09-03 00:00:01;1921-09-04 00:00:00;1921-09-03;11.1;Y
1921-09-04 00:00:01;1921-09-05 00:00:00;1921-09-04;10.9;Y
1921-09-05 00:00:01;1921-09-06 00:00:00;1921-09-05;10.4;Y
1921-09-06 00:00:01;1921-09-07 00:00:00;1921-09-06;12.4;Y
1921-09-07 00:00:01;1921-09-08 00:00:00;1921-09-07;14.5;Y
1921-09-08 00:00:01;1921-09-09 00:00:00;1921-09-08;15.2;Y
