Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Visingsö;84060;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-01-01 00:00:00;1986-03-25 23:59:59;110.0;58.0908;14.4010

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1962-01-09 00:00:01;1962-01-10 00:00:00;1962-01-09;2.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-01-10 00:00:01;1962-01-11 00:00:00;1962-01-10;2.6;Y;;Tidsperiod (fr.o.m.) = 1962-01-01 00:00:00 (UTC)
1962-01-11 00:00:01;1962-01-12 00:00:00;1962-01-11;3.2;Y;;Tidsperiod (t.o.m.) = 1986-03-25 23:59:59 (UTC)
1962-01-12 00:00:01;1962-01-13 00:00:00;1962-01-12;3.9;Y;;Medelvärdet är beräknat för = 24 timmar
1962-01-13 00:00:01;1962-01-14 00:00:00;1962-01-13;1.4;Y;;
1962-01-14 00:00:01;1962-01-15 00:00:00;1962-01-14;0.2;Y;;Kvalitetskoderna:
1962-01-15 00:00:01;1962-01-16 00:00:00;1962-01-15;-0.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-01-16 00:00:01;1962-01-17 00:00:00;1962-01-16;2.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-01-17 00:00:01;1962-01-18 00:00:00;1962-01-17;3.8;Y;;
1962-01-18 00:00:01;1962-01-19 00:00:00;1962-01-18;4.4;Y;;Nätinformation:
1962-01-19 00:00:01;1962-01-20 00:00:00;1962-01-19;2.3;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-01-20 00:00:01;1962-01-21 00:00:00;1962-01-20;2.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1962-01-21 00:00:01;1962-01-22 00:00:00;1962-01-21;3.1;Y;;
1962-01-22 00:00:01;1962-01-23 00:00:00;1962-01-22;3.7;Y;;Möjliga orsaker till saknade data:
1962-01-23 00:00:01;1962-01-24 00:00:00;1962-01-23;3.5;Y;;– stationen eller givaren har varit ur funktion.
