Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Fägre;84390;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-06-01 00:00:00;1979-07-31 23:59:59;97.0;58.6493;14.1265
1987-01-01 00:00:00;1992-08-31 23:59:59;95.0;58.6493;14.1265

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1965-06-19 00:00:01;1965-06-20 00:00:00;1965-06-19;13.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1965-06-20 00:00:01;1965-06-21 00:00:00;1965-06-20;14.8;Y;;Tidsperiod (fr.o.m.) = 1965-06-19 00:00:00 (UTC)
1965-06-21 00:00:01;1965-06-22 00:00:00;1965-06-21;14.3;Y;;Tidsperiod (t.o.m.) = 1992-08-31 23:59:59 (UTC)
1965-06-22 00:00:01;1965-06-23 00:00:00;1965-06-22;13.7;Y;;Medelvärdet är beräknat för = 24 timmar
1965-06-23 00:00:01;1965-06-24 00:00:00;1965-06-23;15.1;Y;;
1965-06-24 00:00:01;1965-06-25 00:00:00;1965-06-24;13.7;Y;;Kvalitetskoderna:
1965-06-25 00:00:01;1965-06-26 00:00:00;1965-06-25;13.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1965-06-26 00:00:01;1965-06-27 00:00:00;1965-06-26;15.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1965-06-27 00:00:01;1965-06-28 00:00:00;1965-06-27;12.8;Y;;
1965-06-28 00:00:01;1965-06-29 00:00:00;1965-06-28;12.0;Y;;Nätinformation:
1965-06-29 00:00:01;1965-06-30 00:00:00;1965-06-29;14.4;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1965-06-30 00:00:01;1965-07-01 00:00:00;1965-06-30;11.3;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1965-07-01 00:00:01;1965-07-02 00:00:00;1965-07-01;11.9;Y;;
1965-07-02 00:00:01;1965-07-03 00:00:00;1965-07-02;11.1;Y;;Möjliga orsaker till saknade data:
1965-07-03 00:00:01;1965-07-04 00:00:00;1965-07-03;10.7;Y;;– stationen eller givaren har varit ur funktion.
1965-07-04 00:00:01;1965-07-05 00:00:00;1965-07-04;11.9;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
