Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Älgarås;84470;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1977-12-01 00:00:00;1984-12-31 23:59:59;130.0;58.7906;14.3188

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1977-12-15 00:00:01;1977-12-16 00:00:00;1977-12-15;3.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1977-12-16 00:00:01;1977-12-17 00:00:00;1977-12-16;0.7;Y;;Tidsperiod (fr.o.m.) = 1977-12-01 00:00:00 (UTC)
1977-12-17 00:00:01;1977-12-18 00:00:00;1977-12-17;4.8;Y;;Tidsperiod (t.o.m.) = 1984-12-31 23:59:59 (UTC)
1977-12-18 00:00:01;1977-12-19 00:00:00;1977-12-18;-4.7;Y;;Medelvärdet är beräknat för = 24 timmar
1977-12-19 00:00:01;1977-12-20 00:00:00;1977-12-19;0.5;Y;;
1977-12-20 00:00:01;1977-12-21 00:00:00;1977-12-20;-0.3;Y;;Kvalitetskoderna:
1977-12-21 00:00:01;1977-12-22 00:00:00;1977-12-21;-1.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1977-12-22 00:00:01;1977-12-23 00:00:00;1977-12-22;1.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1977-12-23 00:00:01;1977-12-24 00:00:00;1977-12-23;1.4;Y;;
1977-12-24 00:00:01;1977-12-25 00:00:00;1977-12-24;3.9;Y;;Nätinformation:
1977-12-25 00:00:01;1977-12-26 00:00:00;1977-12-25;0.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1977-12-26 00:00:01;1977-12-27 00:00:00;1977-12-26;2.9;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1977-12-27 00:00:01;1977-12-28 00:00:00;1977-12-27;0.3;Y;;
1977-12-28 00:00:01;1977-12-29 00:00:00;1977-12-28;-3.3;Y;;Möjliga orsaker till saknade data:
1977-12-29 00:00:01;1977-12-30 00:00:00;1977-12-29;-5.0;Y;;– stationen eller givaren har varit ur funktion.
1977-12-30 00:00:01;1977-12-31 00:00:00;1977-12-30;-5.5;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1977-12-31 00:00:01;1978-01-01 00:00:00;1977-12-31;-7.1;Y
1978-01-01 00:00:01;1978-01-02 00:00:00;1978-01-01;-4.5;Y
1978-01-02 00:00:01;1978-01-03 00:00:00;1978-01-02;2.6;Y
1978-01-03 00:00:01;1978-01-04 00:00:00;1978-01-03;-2.3;Y
1978-01-04 00:00:01;1978-01-05 00:00:00;1978-01-04;-7.0;Y
1978-01-05 00:00:01;1978-01-06 00:00:00;1978-01-05;-7.0;Y
1978-01-06 00:00:01;1978-01-07 00:00:00;1978-01-06;1.7;Y
1978-01-07 00:00:01;1978-01-08 00:00:00;1978-01-07;3.6;Y
1978-01-08 00:00:01;1978-01-09 00:00:00;1978-01-08;1.6;Y
1978-01-09 00:00:01;1978-01-10 00:00:00;1978-01-09;1.3;Y
1978-01-10 00:00:01;1978-01-11 00:00:00;1978-01-10;1.5;Y
1978-01-11 00:00:01;1978-01-12 00:00:00;1978-01-11;-1.6;Y
1978-01-12 00:00:01;1978-01-13 00:00:00;1978-01-12;-6.0;Y
1978-01-13 00:00:01;1978-01-14 00:00:00;1978-01-13;-3.9;Y
1978-01-14 00:00:01;1978-01-15 00:00:00;1978-01-14;-6.6;Y
1978-01-15 00:00:01;1978-01-16 00:00:00;1978-01-15;-0.6;Y
1978-01-16 00:00:01;1978-01-17 00:00:00;1978-01-16;-2.9;Y
1978-01-17 00:00:01;1978-01-18 00:00:00;1978-01-17;-0.7;Y
1978-01-18 00:00:01;1978-01-19 00:00:00;1978-01-18;-0.4;Y
1978-01-19 00:00:01;1978-01-20 00:00:00;1978-01-19;-0.2;Y
1978-01-20 00:00:01;1978-01-21 00:00:00;1978-01-20;-0.3;Y
1978-01-21 00:00:01;1978-01-22 00:00:00;1978-01-21;-1.9;Y
1978-01-22 00:00:01;1978-01-23 00:00:00;1978-01-22;-2.1;Y
1978-01-23 00:00:01;1978-01-24 00:00:00;1978-01-23;-2.5;Y
1978-01-24 00:00:01;1978-01-25 00:00:00;1978-01-24;-1.5;Y
1978-01-25 00:00:01;1978-01-26 00:00:00;1978-01-25;-1.6;Y
1978-01-26 00:00:01;1978-01-27 00:00:00;1978-01-26;-5.9;Y
1978-01-27 00:00:01;1978-01-28 00:00:00;1978-01-27;-12.4;Y
1978-01-28 00:00:01;1978-01-29 00:00:00;1978-01-28;-1.9;Y
1978-01-29 00:00:01;1978-01-30 00:00:00;1978-01-29;0.6;Y
1978-01-30 00:00:01;1978-01-31 00:00:00;1978-01-30;0.6;Y
1978-01-31 00:00:01;1978-02-01 00:00:00;1978-01-31;0.9;Y
1978-02-01 00:00:01;1978-02-02 00:00:00;1978-02-01;-1.2;Y
1978-02-02 00:00:01;1978-02-03 00:00:00;1978-02-02;-0.7;Y
1978-02-03 00:00:01;1978-02-04 00:00:00;1978-02-03;-2.3;Y
1978-02-04 00:00:01;1978-02-05 00:00:00;1978-02-04;-2.7;Y
1978-02-05 00:00:01;1978-02-06 00:00:00;1978-02-05;-2.6;Y
1978-02-06 00:00:01;1978-02-07 00:00:00;1978-02-06;-3.9;Y
1978-02-07 00:00:01;1978-02-08 00:00:00;1978-02-07;-5.8;Y
1978-02-08 00:00:01;1978-02-09 00:00:00;1978-02-08;-8.3;Y
1978-02-09 00:00:01;1978-02-10 00:00:00;1978-02-09;-9.3;Y
1978-02-10 00:00:01;1978-02-11 00:00:00;1978-02-10;-9.7;Y
1978-02-11 00:00:01;1978-02-12 00:00:00;1978-02-11;-10.7;Y
1978-02-12 00:00:01;1978-02-13 00:00:00;1978-02-12;-6.9;Y
1978-02-13 00:00:01;1978-02-14 00:00:00;1978-02-13;-7.0;Y
1978-02-14 00:00:01;1978-02-15 00:00:00;1978-02-14;-10.7;Y
1978-02-15 00:00:01;1978-02-16 00:00:00;1978-02-15;-16.9;Y
1978-02-16 00:00:01;1978-02-17 00:00:00;1978-02-16;-15.1;Y
1978-02-17 00:00:01;1978-02-18 00:00:00;1978-02-17;-14.6;Y
1978-02-18 00:00:01;1978-02-19 00:00:00;1978-02-18;-15.5;Y
1978-02-19 00:00:01;1978-02-20 00:00:00;1978-02-19;-15.4;Y
1978-02-20 00:00:01;1978-02-21 00:00:00;1978-02-20;-8.2;Y
1978-02-21 00:00:01;1978-02-22 00:00:00;1978-02-21;-11.2;Y
1978-02-22 00:00:01;1978-02-23 00:00:00;1978-02-22;-6.1;Y
1978-02-23 00:00:01;1978-02-24 00:00:00;1978-02-23;-10.9;Y
1978-02-24 00:00:01;1978-02-25 00:00:00;1978-02-24;-2.9;Y
1978-02-25 00:00:01;1978-02-26 00:00:00;1978-02-25;2.9;Y
1978-02-26 00:00:01;1978-02-27 00:00:00;1978-02-26;1.8;Y
1978-02-27 00:00:01;1978-02-28 00:00:00;1978-02-27;0.8;Y
1978-02-28 00:00:01;1978-03-01 00:00:00;1978-02-28;1.1;Y
1978-03-01 00:00:01;1978-03-02 00:00:00;1978-03-01;1.1;Y
1978-03-02 00:00:01;1978-03-03 00:00:00;1978-03-02;-0.6;Y
1978-03-03 00:00:01;1978-03-04 00:00:00;1978-03-03;0.1;Y
1978-03-04 00:00:01;1978-03-05 00:00:00;1978-03-04;0.9;Y
1978-03-05 00:00:01;1978-03-06 00:00:00;1978-03-05;0.4;Y
1978-03-06 00:00:01;1978-03-07 00:00:00;1978-03-06;0.8;Y
1978-03-07 00:00:01;1978-03-08 00:00:00;1978-03-07;1.5;Y
1978-03-08 00:00:01;1978-03-09 00:00:00;1978-03-08;-0.7;Y
1978-03-09 00:00:01;1978-03-10 00:00:00;1978-03-09;-1.7;Y
1978-03-10 00:00:01;1978-03-11 00:00:00;1978-03-10;-2.5;Y
1978-03-11 00:00:01;1978-03-12 00:00:00;1978-03-11;1.1;Y
1978-03-12 00:00:01;1978-03-13 00:00:00;1978-03-12;-0.7;Y
1978-03-13 00:00:01;1978-03-14 00:00:00;1978-03-13;2.1;Y
1978-03-14 00:00:01;1978-03-15 00:00:00;1978-03-14;1.7;Y
1978-03-15 00:00:01;1978-03-16 00:00:00;1978-03-15;-4.4;Y
1978-03-16 00:00:01;1978-03-17 00:00:00;1978-03-16;-7.2;Y
1978-03-17 00:00:01;1978-03-18 00:00:00;1978-03-17;-8.8;Y
1978-03-18 00:00:01;1978-03-19 00:00:00;1978-03-18;-13.5;Y
1978-03-19 00:00:01;1978-03-20 00:00:00;1978-03-19;-14.1;Y
1978-03-20 00:00:01;1978-03-21 00:00:00;1978-03-20;-8.7;Y
1978-03-21 00:00:01;1978-03-22 00:00:00;1978-03-21;-10.1;Y
1978-03-22 00:00:01;1978-03-23 00:00:00;1978-03-22;-15.1;Y
1978-03-23 00:00:01;1978-03-24 00:00:00;1978-03-23;-5.1;Y
1978-03-24 00:00:01;1978-03-25 00:00:00;1978-03-24;1.3;Y
1978-03-25 00:00:01;1978-03-26 00:00:00;1978-03-25;2.0;Y
1978-03-26 00:00:01;1978-03-27 00:00:00;1978-03-26;1.3;Y
1978-03-27 00:00:01;1978-03-28 00:00:00;1978-03-27;2.0;Y
1978-03-28 00:00:01;1978-03-29 00:00:00;1978-03-28;4.4;Y
1978-03-29 00:00:01;1978-03-30 00:00:00;1978-03-29;6.3;Y
1978-03-30 00:00:01;1978-03-31 00:00:00;1978-03-30;5.7;Y
1978-03-31 00:00:01;1978-04-01 00:00:00;1978-03-31;3.8;Y
1978-04-01 00:00:01;1978-04-02 00:00:00;1978-04-01;2.8;Y
1978-04-02 00:00:01;1978-04-03 00:00:00;1978-04-02;2.2;Y
1978-04-03 00:00:01;1978-04-04 00:00:00;1978-04-03;1.1;Y
1978-04-04 00:00:01;1978-04-05 00:00:00;1978-04-04;1.5;Y
1978-04-05 00:00:01;1978-04-06 00:00:00;1978-04-05;-1.3;Y
1978-04-06 00:00:01;1978-04-07 00:00:00;1978-04-06;-0.5;Y
1978-04-07 00:00:01;1978-04-08 00:00:00;1978-04-07;5.5;Y
1978-04-08 00:00:01;1978-04-09 00:00:00;1978-04-08;3.5;Y
1978-04-09 00:00:01;1978-04-10 00:00:00;1978-04-09;4.9;Y
1978-04-10 00:00:01;1978-04-11 00:00:00;1978-04-10;5.7;Y
1978-04-11 00:00:01;1978-04-12 00:00:00;1978-04-11;4.7;Y
1978-04-12 00:00:01;1978-04-13 00:00:00;1978-04-12;1.5;Y
1978-04-13 00:00:01;1978-04-14 00:00:00;1978-04-13;1.7;Y
1978-04-14 00:00:01;1978-04-15 00:00:00;1978-04-14;1.1;Y
1978-04-15 00:00:01;1978-04-16 00:00:00;1978-04-15;3.2;Y
1978-04-16 00:00:01;1978-04-17 00:00:00;1978-04-16;2.4;Y
1978-04-17 00:00:01;1978-04-18 00:00:00;1978-04-17;1.1;Y
1978-04-18 00:00:01;1978-04-19 00:00:00;1978-04-18;3.8;Y
1978-04-19 00:00:01;1978-04-20 00:00:00;1978-04-19;4.2;Y
1978-04-20 00:00:01;1978-04-21 00:00:00;1978-04-20;1.2;Y
1978-04-21 00:00:01;1978-04-22 00:00:00;1978-04-21;4.8;Y
1978-04-22 00:00:01;1978-04-23 00:00:00;1978-04-22;7.1;Y
1978-04-23 00:00:01;1978-04-24 00:00:00;1978-04-23;7.5;Y
1978-04-24 00:00:01;1978-04-25 00:00:00;1978-04-24;1.8;Y
1978-04-25 00:00:01;1978-04-26 00:00:00;1978-04-25;-0.4;Y
1978-04-26 00:00:01;1978-04-27 00:00:00;1978-04-26;-1.1;Y
1978-04-27 00:00:01;1978-04-28 00:00:00;1978-04-27;0.5;Y
1978-04-28 00:00:01;1978-04-29 00:00:00;1978-04-28;2.0;Y
1978-04-29 00:00:01;1978-04-30 00:00:00;1978-04-29;3.3;Y
1978-04-30 00:00:01;1978-05-01 00:00:00;1978-04-30;4.2;Y
1978-05-01 00:00:01;1978-05-02 00:00:00;1978-05-01;2.8;Y
1978-05-02 00:00:01;1978-05-03 00:00:00;1978-05-02;4.1;Y
1978-05-03 00:00:01;1978-05-04 00:00:00;1978-05-03;4.4;Y
1978-05-04 00:00:01;1978-05-05 00:00:00;1978-05-04;6.2;Y
1978-05-05 00:00:01;1978-05-06 00:00:00;1978-05-05;8.8;Y
1978-05-06 00:00:01;1978-05-07 00:00:00;1978-05-06;9.8;Y
1978-05-07 00:00:01;1978-05-08 00:00:00;1978-05-07;8.1;Y
1978-05-08 00:00:01;1978-05-09 00:00:00;1978-05-08;7.5;Y
1978-05-09 00:00:01;1978-05-10 00:00:00;1978-05-09;4.9;Y
1978-05-10 00:00:01;1978-05-11 00:00:00;1978-05-10;2.6;Y
1978-05-11 00:00:01;1978-05-12 00:00:00;1978-05-11;2.2;Y
1978-05-12 00:00:01;1978-05-13 00:00:00;1978-05-12;3.1;Y
1978-05-13 00:00:01;1978-05-14 00:00:00;1978-05-13;3.3;Y
1978-05-14 00:00:01;1978-05-15 00:00:00;1978-05-14;5.8;Y
1978-05-15 00:00:01;1978-05-16 00:00:00;1978-05-15;4.8;Y
1978-05-16 00:00:01;1978-05-17 00:00:00;1978-05-16;6.0;Y
1978-05-17 00:00:01;1978-05-18 00:00:00;1978-05-17;8.7;Y
