Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Gränna;84610;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1964-01-01 00:00:00;1965-06-10 23:59:59;130.0;58.0333;14.4666

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1964-01-20 00:00:01;1964-01-21 00:00:00;1964-01-20;1.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1964-01-21 00:00:01;1964-01-22 00:00:00;1964-01-21;4.0;Y;;Tidsperiod (fr.o.m.) = 1964-01-20 00:00:00 (UTC)
1964-01-22 00:00:01;1964-01-23 00:00:00;1964-01-22;2.8;Y;;Tidsperiod (t.o.m.) = 1965-06-10 23:59:59 (UTC)
1964-01-23 00:00:01;1964-01-24 00:00:00;1964-01-23;2.3;Y;;Medelvärdet är beräknat för = 24 timmar
1964-01-24 00:00:01;1964-01-25 00:00:00;1964-01-24;1.3;Y;;
1964-01-25 00:00:01;1964-01-26 00:00:00;1964-01-25;0.3;Y;;Kvalitetskoderna:
1964-01-26 00:00:01;1964-01-27 00:00:00;1964-01-26;-0.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1964-01-27 00:00:01;1964-01-28 00:00:00;1964-01-27;-4.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1964-01-28 00:00:01;1964-01-29 00:00:00;1964-01-28;-3.2;Y;;
1964-01-29 00:00:01;1964-01-30 00:00:00;1964-01-29;0.2;Y;;Nätinformation:
1964-01-30 00:00:01;1964-01-31 00:00:00;1964-01-30;2.3;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1964-01-31 00:00:01;1964-02-01 00:00:00;1964-01-31;2.7;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1964-02-01 00:00:01;1964-02-02 00:00:00;1964-02-01;2.7;Y;;
1964-02-02 00:00:01;1964-02-03 00:00:00;1964-02-02;0.6;Y;;Möjliga orsaker till saknade data:
