Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Gudhammar;84690;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1950-11-01 00:00:00;1954-09-01 23:59:59;75.0;58.9056;14.2250

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1950-11-05 00:00:01;1950-11-06 00:00:00;1950-11-05;2.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1950-11-06 00:00:01;1950-11-07 00:00:00;1950-11-06;1.7;Y;;Tidsperiod (fr.o.m.) = 1950-11-01 00:00:00 (UTC)
1950-11-07 00:00:01;1950-11-08 00:00:00;1950-11-07;1.5;Y;;Tidsperiod (t.o.m.) = 1954-09-01 23:59:59 (UTC)
1950-11-08 00:00:01;1950-11-09 00:00:00;1950-11-08;0.4;Y;;Medelvärdet är beräknat för = 24 timmar
1950-11-09 00:00:01;1950-11-10 00:00:00;1950-11-09;1.4;Y;;
1950-11-10 00:00:01;1950-11-11 00:00:00;1950-11-10;3.6;Y;;Kvalitetskoderna:
1950-11-11 00:00:01;1950-11-12 00:00:00;1950-11-11;6.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1950-11-12 00:00:01;1950-11-13 00:00:00;1950-11-12;4.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1950-11-13 00:00:01;1950-11-14 00:00:00;1950-11-13;4.6;Y;;
1950-11-14 00:00:01;1950-11-15 00:00:00;1950-11-14;2.4;Y;;Nätinformation:
1950-11-15 00:00:01;1950-11-16 00:00:00;1950-11-15;1.7;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1950-11-16 00:00:01;1950-11-17 00:00:00;1950-11-16;0.8;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1950-11-17 00:00:01;1950-11-18 00:00:00;1950-11-17;-1.7;Y;;
1950-11-18 00:00:01;1950-11-19 00:00:00;1950-11-18;-5.4;Y;;Möjliga orsaker till saknade data:
1950-11-19 00:00:01;1950-11-20 00:00:00;1950-11-19;-9.7;Y;;– stationen eller givaren har varit ur funktion.
1950-11-20 00:00:01;1950-11-21 00:00:00;1950-11-20;-4.1;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1950-11-21 00:00:01;1950-11-22 00:00:00;1950-11-21;1.2;Y
1950-11-22 00:00:01;1950-11-23 00:00:00;1950-11-22;2.7;Y
1950-11-23 00:00:01;1950-11-24 00:00:00;1950-11-23;2.9;Y
1950-11-24 00:00:01;1950-11-25 00:00:00;1950-11-24;3.1;Y
1950-11-25 00:00:01;1950-11-26 00:00:00;1950-11-25;0.9;Y
1950-11-26 00:00:01;1950-11-27 00:00:00;1950-11-26;0.5;Y
1950-11-27 00:00:01;1950-11-28 00:00:00;1950-11-27;3.6;Y
1950-11-28 00:00:01;1950-11-29 00:00:00;1950-11-28;4.0;Y
1950-11-29 00:00:01;1950-11-30 00:00:00;1950-11-29;1.3;Y
1950-11-30 00:00:01;1950-12-01 00:00:00;1950-11-30;-1.9;Y
1950-12-01 00:00:01;1950-12-02 00:00:00;1950-12-01;1.3;Y
1950-12-02 00:00:01;1950-12-03 00:00:00;1950-12-02;0.4;Y
1950-12-03 00:00:01;1950-12-04 00:00:00;1950-12-03;0.5;Y
1950-12-04 00:00:01;1950-12-05 00:00:00;1950-12-04;-4.1;Y
1950-12-05 00:00:01;1950-12-06 00:00:00;1950-12-05;-2.6;Y
1950-12-06 00:00:01;1950-12-07 00:00:00;1950-12-06;-3.5;Y
1950-12-07 00:00:01;1950-12-08 00:00:00;1950-12-07;-9.5;Y
1950-12-08 00:00:01;1950-12-09 00:00:00;1950-12-08;-4.3;Y
1950-12-09 00:00:01;1950-12-10 00:00:00;1950-12-09;-0.4;Y
