Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Västerlösa;85270;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-05-01 00:00:00;2011-02-28 23:59:59;75.0;58.4447;15.3772

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2002-05-01 00:00:01;2002-05-02 00:00:00;2002-05-01;10.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2002-05-02 00:00:01;2002-05-03 00:00:00;2002-05-02;10.3;Y;;Tidsperiod (fr.o.m.) = 2002-05-01 00:00:00 (UTC)
2002-05-03 00:00:01;2002-05-04 00:00:00;2002-05-03;11.0;Y;;Tidsperiod (t.o.m.) = 2011-02-28 23:59:59 (UTC)
2002-05-04 00:00:01;2002-05-05 00:00:00;2002-05-04;9.9;Y;;Medelvärdet är beräknat för = 24 timmar
2002-05-05 00:00:01;2002-05-06 00:00:00;2002-05-05;9.8;Y;;
2002-05-06 00:00:01;2002-05-07 00:00:00;2002-05-06;11.4;Y;;Kvalitetskoderna:
2002-05-07 00:00:01;2002-05-08 00:00:00;2002-05-07;10.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2002-05-08 00:00:01;2002-05-09 00:00:00;2002-05-08;11.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-05-09 00:00:01;2002-05-10 00:00:00;2002-05-09;13.0;Y;;
2002-05-10 00:00:01;2002-05-11 00:00:00;2002-05-10;10.2;Y;;Nätinformation:
2002-05-11 00:00:01;2002-05-12 00:00:00;2002-05-11;12.6;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2002-05-12 00:00:01;2002-05-13 00:00:00;2002-05-12;15.5;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2002-05-13 00:00:01;2002-05-14 00:00:00;2002-05-13;14.9;Y;;
2002-05-14 00:00:01;2002-05-15 00:00:00;2002-05-14;14.4;Y;;Möjliga orsaker till saknade data:
2002-05-15 00:00:01;2002-05-16 00:00:00;2002-05-15;13.8;Y;;– stationen eller givaren har varit ur funktion.
2002-05-16 00:00:01;2002-05-17 00:00:00;2002-05-16;12.1;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2002-05-17 00:00:01;2002-05-18 00:00:00;2002-05-17;11.4;Y
2002-05-18 00:00:01;2002-05-19 00:00:00;2002-05-18;10.4;Y
2002-05-19 00:00:01;2002-05-20 00:00:00;2002-05-19;11.3;Y
2002-05-20 00:00:01;2002-05-21 00:00:00;2002-05-20;12.1;Y
2002-05-21 00:00:01;2002-05-22 00:00:00;2002-05-21;14.8;Y
2002-05-22 00:00:01;2002-05-23 00:00:00;2002-05-22;14.6;Y
2002-05-23 00:00:01;2002-05-24 00:00:00;2002-05-23;16.5;Y
2002-05-24 00:00:01;2002-05-25 00:00:00;2002-05-24;16.4;Y
2002-05-25 00:00:01;2002-05-26 00:00:00;2002-05-25;13.5;Y
2002-05-26 00:00:01;2002-05-27 00:00:00;2002-05-26;14.1;Y
2002-05-27 00:00:01;2002-05-28 00:00:00;2002-05-27;11.8;Y
2002-05-28 00:00:01;2002-05-29 00:00:00;2002-05-28;11.9;Y
2002-05-29 00:00:01;2002-05-30 00:00:00;2002-05-29;12.4;Y
2002-05-30 00:00:01;2002-05-31 00:00:00;2002-05-30;12.7;Y
2002-05-31 00:00:01;2002-06-01 00:00:00;2002-05-31;12.9;Y
2002-06-01 00:00:01;2002-06-02 00:00:00;2002-06-01;14.1;Y
2002-06-02 00:00:01;2002-06-03 00:00:00;2002-06-02;16.3;Y
2002-06-03 00:00:01;2002-06-04 00:00:00;2002-06-03;17.4;Y
2002-06-04 00:00:01;2002-06-05 00:00:00;2002-06-04;17.0;Y
2002-06-05 00:00:01;2002-06-06 00:00:00;2002-06-05;17.5;Y
2002-06-06 00:00:01;2002-06-07 00:00:00;2002-06-06;18.2;Y
