Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Kärnskogen;85650;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1950-01-01 00:00:00;1963-05-01 23:59:59;108.0;58.8500;15.2833

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1950-01-01 00:00:01;1950-01-02 00:00:00;1950-01-01;0.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1950-01-02 00:00:01;1950-01-03 00:00:00;1950-01-02;1.0;Y;;Tidsperiod (fr.o.m.) = 1950-01-01 00:00:00 (UTC)
1950-01-03 00:00:01;1950-01-04 00:00:00;1950-01-03;-4.0;Y;;Tidsperiod (t.o.m.) = 1963-05-01 23:59:59 (UTC)
1950-01-04 00:00:01;1950-01-05 00:00:00;1950-01-04;-14.0;Y;;Medelvärdet är beräknat för = 24 timmar
1950-01-05 00:00:01;1950-01-06 00:00:00;1950-01-05;-19.6;Y;;
1950-01-06 00:00:01;1950-01-07 00:00:00;1950-01-06;-18.9;Y;;Kvalitetskoderna:
1950-01-07 00:00:01;1950-01-08 00:00:00;1950-01-07;-9.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1950-01-08 00:00:01;1950-01-09 00:00:00;1950-01-08;-4.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1950-01-09 00:00:01;1950-01-10 00:00:00;1950-01-09;-6.4;Y;;
1950-01-10 00:00:01;1950-01-11 00:00:00;1950-01-10;-15.2;Y;;Nätinformation:
1950-01-11 00:00:01;1950-01-12 00:00:00;1950-01-11;-8.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1950-01-12 00:00:01;1950-01-13 00:00:00;1950-01-12;-4.8;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1950-01-13 00:00:01;1950-01-14 00:00:00;1950-01-13;-0.2;Y;;
1950-01-14 00:00:01;1950-01-15 00:00:00;1950-01-14;2.0;Y;;Möjliga orsaker till saknade data:
1950-01-15 00:00:01;1950-01-16 00:00:00;1950-01-15;0.2;Y;;– stationen eller givaren har varit ur funktion.
1950-01-16 00:00:01;1950-01-17 00:00:00;1950-01-16;-0.2;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1950-01-17 00:00:01;1950-01-18 00:00:00;1950-01-17;-15.6;Y
1950-01-18 00:00:01;1950-01-19 00:00:00;1950-01-18;-14.6;Y
1950-01-19 00:00:01;1950-01-20 00:00:00;1950-01-19;-13.3;Y
1950-01-20 00:00:01;1950-01-21 00:00:00;1950-01-20;-1.2;Y
1950-01-21 00:00:01;1950-01-22 00:00:00;1950-01-21;1.0;Y
1950-01-22 00:00:01;1950-01-23 00:00:00;1950-01-22;0.4;Y
1950-01-23 00:00:01;1950-01-24 00:00:00;1950-01-23;1.2;Y
1950-01-24 00:00:01;1950-01-25 00:00:00;1950-01-24;-0.4;Y
1950-01-25 00:00:01;1950-01-26 00:00:00;1950-01-25;-7.8;Y
1950-01-26 00:00:01;1950-01-27 00:00:00;1950-01-26;-5.5;Y
1950-01-27 00:00:01;1950-01-28 00:00:00;1950-01-27;-2.4;Y
1950-01-28 00:00:01;1950-01-29 00:00:00;1950-01-28;-3.8;Y
1950-01-29 00:00:01;1950-01-30 00:00:00;1950-01-29;-5.0;Y
1950-01-30 00:00:01;1950-01-31 00:00:00;1950-01-30;-7.0;Y
1950-01-31 00:00:01;1950-02-01 00:00:00;1950-01-31;-8.2;Y
1950-02-01 00:00:01;1950-02-02 00:00:00;1950-02-01;-4.4;Y
1950-02-02 00:00:01;1950-02-03 00:00:00;1950-02-02;-3.2;Y
1950-02-03 00:00:01;1950-02-04 00:00:00;1950-02-03;-3.8;Y
1950-02-04 00:00:01;1950-02-05 00:00:00;1950-02-04;1.2;Y
1950-02-05 00:00:01;1950-02-06 00:00:00;1950-02-05;1.2;Y
1950-02-06 00:00:01;1950-02-07 00:00:00;1950-02-06;-0.3;Y
1950-02-07 00:00:01;1950-02-08 00:00:00;1950-02-07;1.2;Y
1950-02-08 00:00:01;1950-02-09 00:00:00;1950-02-08;-0.6;Y
1950-02-09 00:00:01;1950-02-10 00:00:00;1950-02-09;1.2;Y
1950-02-10 00:00:01;1950-02-11 00:00:00;1950-02-10;-2.1;Y
1950-02-11 00:00:01;1950-02-12 00:00:00;1950-02-11;-1.6;Y
1950-02-12 00:00:01;1950-02-13 00:00:00;1950-02-12;-2.0;Y
1950-02-13 00:00:01;1950-02-14 00:00:00;1950-02-13;-1.0;Y
1950-02-14 00:00:01;1950-02-15 00:00:00;1950-02-14;-4.4;Y
1950-02-15 00:00:01;1950-02-16 00:00:00;1950-02-15;-9.3;Y
1950-02-16 00:00:01;1950-02-17 00:00:00;1950-02-16;-2.0;Y
1950-02-17 00:00:01;1950-02-18 00:00:00;1950-02-17;4.6;Y
1950-02-18 00:00:01;1950-02-19 00:00:00;1950-02-18;4.1;Y
1950-02-19 00:00:01;1950-02-20 00:00:00;1950-02-19;3.7;Y
1950-02-20 00:00:01;1950-02-21 00:00:00;1950-02-20;2.1;Y
1950-02-21 00:00:01;1950-02-22 00:00:00;1950-02-21;-0.2;Y
1950-02-22 00:00:01;1950-02-23 00:00:00;1950-02-22;1.1;Y
1950-02-23 00:00:01;1950-02-24 00:00:00;1950-02-23;-2.2;Y
1950-02-24 00:00:01;1950-02-25 00:00:00;1950-02-24;-3.1;Y
1950-02-25 00:00:01;1950-02-26 00:00:00;1950-02-25;-5.3;Y
1950-02-26 00:00:01;1950-02-27 00:00:00;1950-02-26;-6.3;Y
1950-02-27 00:00:01;1950-02-28 00:00:00;1950-02-27;-7.8;Y
1950-02-28 00:00:01;1950-03-01 00:00:00;1950-02-28;-7.2;Y
1950-03-01 00:00:01;1950-03-02 00:00:00;1950-03-01;-5.8;Y
1950-03-02 00:00:01;1950-03-03 00:00:00;1950-03-02;-6.8;Y
1950-03-03 00:00:01;1950-03-04 00:00:00;1950-03-03;-0.7;Y
1950-03-04 00:00:01;1950-03-05 00:00:00;1950-03-04;2.6;Y
1950-03-05 00:00:01;1950-03-06 00:00:00;1950-03-05;6.7;Y
1950-03-06 00:00:01;1950-03-07 00:00:00;1950-03-06;6.4;Y
1950-03-07 00:00:01;1950-03-08 00:00:00;1950-03-07;6.3;Y
1950-03-08 00:00:01;1950-03-09 00:00:00;1950-03-08;-1.0;Y
1950-03-09 00:00:01;1950-03-10 00:00:00;1950-03-09;-1.9;Y
1950-03-10 00:00:01;1950-03-11 00:00:00;1950-03-10;-2.7;Y
1950-03-11 00:00:01;1950-03-12 00:00:00;1950-03-11;0.7;Y
1950-03-12 00:00:01;1950-03-13 00:00:00;1950-03-12;-3.1;Y
1950-03-13 00:00:01;1950-03-14 00:00:00;1950-03-13;-8.0;Y
1950-03-14 00:00:01;1950-03-15 00:00:00;1950-03-14;-7.2;Y
1950-03-15 00:00:01;1950-03-16 00:00:00;1950-03-15;-5.6;Y
1950-03-16 00:00:01;1950-03-17 00:00:00;1950-03-16;-4.0;Y
1950-03-17 00:00:01;1950-03-18 00:00:00;1950-03-17;5.3;Y
1950-03-18 00:00:01;1950-03-19 00:00:00;1950-03-18;7.2;Y
1950-03-19 00:00:01;1950-03-20 00:00:00;1950-03-19;9.4;Y
1950-03-20 00:00:01;1950-03-21 00:00:00;1950-03-20;6.3;Y
1950-03-21 00:00:01;1950-03-22 00:00:00;1950-03-21;4.6;Y
1950-03-22 00:00:01;1950-03-23 00:00:00;1950-03-22;3.4;Y
1950-03-23 00:00:01;1950-03-24 00:00:00;1950-03-23;3.7;Y
1950-03-24 00:00:01;1950-03-25 00:00:00;1950-03-24;4.5;Y
1950-03-25 00:00:01;1950-03-26 00:00:00;1950-03-25;5.2;Y
1950-03-26 00:00:01;1950-03-27 00:00:00;1950-03-26;1.9;Y
1950-03-27 00:00:01;1950-03-28 00:00:00;1950-03-27;5.6;Y
1950-03-28 00:00:01;1950-03-29 00:00:00;1950-03-28;0.9;Y
1950-03-29 00:00:01;1950-03-30 00:00:00;1950-03-29;3.4;Y
1950-03-30 00:00:01;1950-03-31 00:00:00;1950-03-30;2.5;Y
1950-03-31 00:00:01;1950-04-01 00:00:00;1950-03-31;5.7;Y
1950-04-01 00:00:01;1950-04-02 00:00:00;1950-04-01;6.3;Y
1950-04-02 00:00:01;1950-04-03 00:00:00;1950-04-02;5.3;Y
1950-04-03 00:00:01;1950-04-04 00:00:00;1950-04-03;4.5;Y
1950-04-04 00:00:01;1950-04-05 00:00:00;1950-04-04;5.1;Y
1950-04-05 00:00:01;1950-04-06 00:00:00;1950-04-05;4.1;Y
1950-04-06 00:00:01;1950-04-07 00:00:00;1950-04-06;4.8;Y
1950-04-07 00:00:01;1950-04-08 00:00:00;1950-04-07;1.8;Y
