Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Kolmårdssanatoriet;86650;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1930-01-01 00:00:00;1948-02-29 23:59:59;90.0;58.6664;16.3301

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1930-01-01 00:00:01;1930-01-02 00:00:00;1930-01-01;2.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1930-01-02 00:00:01;1930-01-03 00:00:00;1930-01-02;1.1;Y;;Tidsperiod (fr.o.m.) = 1930-01-01 00:00:00 (UTC)
1930-01-03 00:00:01;1930-01-04 00:00:00;1930-01-03;3.0;Y;;Tidsperiod (t.o.m.) = 1948-02-29 23:59:59 (UTC)
1930-01-04 00:00:01;1930-01-05 00:00:00;1930-01-04;2.2;Y;;Medelvärdet är beräknat för = 24 timmar
1930-01-05 00:00:01;1930-01-06 00:00:00;1930-01-05;2.2;Y;;
1930-01-06 00:00:01;1930-01-07 00:00:00;1930-01-06;3.7;Y;;Kvalitetskoderna:
1930-01-07 00:00:01;1930-01-08 00:00:00;1930-01-07;5.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1930-01-08 00:00:01;1930-01-09 00:00:00;1930-01-08;4.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1930-01-09 00:00:01;1930-01-10 00:00:00;1930-01-09;1.9;Y;;
1930-01-10 00:00:01;1930-01-11 00:00:00;1930-01-10;2.3;Y;;Nätinformation:
1930-01-11 00:00:01;1930-01-12 00:00:00;1930-01-11;2.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1930-01-12 00:00:01;1930-01-13 00:00:00;1930-01-12;1.7;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1930-01-13 00:00:01;1930-01-14 00:00:00;1930-01-13;-0.3;Y;;
1930-01-14 00:00:01;1930-01-15 00:00:00;1930-01-14;1.3;Y;;Möjliga orsaker till saknade data:
1930-01-15 00:00:01;1930-01-16 00:00:00;1930-01-15;7.6;Y;;– stationen eller givaren har varit ur funktion.
1930-01-16 00:00:01;1930-01-17 00:00:00;1930-01-16;0.5;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1930-01-17 00:00:01;1930-01-18 00:00:00;1930-01-17;-1.6;Y
1930-01-18 00:00:01;1930-01-19 00:00:00;1930-01-18;0.6;Y
1930-01-19 00:00:01;1930-01-20 00:00:00;1930-01-19;2.7;Y
1930-01-20 00:00:01;1930-01-21 00:00:00;1930-01-20;5.1;Y
1930-01-21 00:00:01;1930-01-22 00:00:00;1930-01-21;1.5;Y
1930-01-22 00:00:01;1930-01-23 00:00:00;1930-01-22;-2.6;Y
1930-01-23 00:00:01;1930-01-24 00:00:00;1930-01-23;0.0;Y
1930-01-24 00:00:01;1930-01-25 00:00:00;1930-01-24;1.7;Y
1930-01-25 00:00:01;1930-01-26 00:00:00;1930-01-25;0.1;Y
