Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ökna;87520;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1957-11-01 00:00:00;1962-03-31 23:59:59;35.0;59.0833;16.3167

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1957-11-01 00:00:01;1957-11-02 00:00:00;1957-11-01;8.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1957-11-02 00:00:01;1957-11-03 00:00:00;1957-11-02;7.3;Y;;Tidsperiod (fr.o.m.) = 1957-11-01 00:00:00 (UTC)
1957-11-03 00:00:01;1957-11-04 00:00:00;1957-11-03;2.7;Y;;Tidsperiod (t.o.m.) = 1962-03-31 23:59:59 (UTC)
1957-11-04 00:00:01;1957-11-05 00:00:00;1957-11-04;6.4;Y;;Medelvärdet är beräknat för = 24 timmar
1957-11-05 00:00:01;1957-11-06 00:00:00;1957-11-05;6.8;Y;;
1957-11-06 00:00:01;1957-11-07 00:00:00;1957-11-06;8.3;Y;;Kvalitetskoderna:
1957-11-07 00:00:01;1957-11-08 00:00:00;1957-11-07;4.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1957-11-08 00:00:01;1957-11-09 00:00:00;1957-11-08;4.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1957-11-09 00:00:01;1957-11-10 00:00:00;1957-11-09;0.7;Y;;
1957-11-10 00:00:01;1957-11-11 00:00:00;1957-11-10;1.9;Y;;Nätinformation:
1957-11-11 00:00:01;1957-11-12 00:00:00;1957-11-11;-1.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1957-11-12 00:00:01;1957-11-13 00:00:00;1957-11-12;-2.6;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1957-11-13 00:00:01;1957-11-14 00:00:00;1957-11-13;-2.4;Y;;
1957-11-14 00:00:01;1957-11-15 00:00:00;1957-11-14;-1.5;Y;;Möjliga orsaker till saknade data:
1957-11-15 00:00:01;1957-11-16 00:00:00;1957-11-15;-0.5;Y;;– stationen eller givaren har varit ur funktion.
1957-11-16 00:00:01;1957-11-17 00:00:00;1957-11-16;-0.2;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1957-11-17 00:00:01;1957-11-18 00:00:00;1957-11-17;-3.1;Y
1957-11-18 00:00:01;1957-11-19 00:00:00;1957-11-18;1.1;Y
1957-11-19 00:00:01;1957-11-20 00:00:00;1957-11-19;1.3;Y
1957-11-20 00:00:01;1957-11-21 00:00:00;1957-11-20;2.7;Y
1957-11-21 00:00:01;1957-11-22 00:00:00;1957-11-21;2.6;Y
1957-11-22 00:00:01;1957-11-23 00:00:00;1957-11-22;0.8;Y
1957-11-23 00:00:01;1957-11-24 00:00:00;1957-11-23;0.0;Y
1957-11-24 00:00:01;1957-11-25 00:00:00;1957-11-24;1.3;Y
1957-11-25 00:00:01;1957-11-26 00:00:00;1957-11-25;0.7;Y
1957-11-26 00:00:01;1957-11-27 00:00:00;1957-11-26;3.6;Y
1957-11-27 00:00:01;1957-11-28 00:00:00;1957-11-27;0.3;Y
1957-11-28 00:00:01;1957-11-29 00:00:00;1957-11-28;0.9;Y
1957-11-29 00:00:01;1957-11-30 00:00:00;1957-11-29;-5.4;Y
1957-11-30 00:00:01;1957-12-01 00:00:00;1957-11-30;-7.0;Y
1957-12-01 00:00:01;1957-12-02 00:00:00;1957-12-01;0.2;Y
1957-12-02 00:00:01;1957-12-03 00:00:00;1957-12-02;0.9;Y
1957-12-03 00:00:01;1957-12-04 00:00:00;1957-12-03;0.3;Y
1957-12-04 00:00:01;1957-12-05 00:00:00;1957-12-04;3.9;Y
1957-12-05 00:00:01;1957-12-06 00:00:00;1957-12-05;1.2;Y
1957-12-06 00:00:01;1957-12-07 00:00:00;1957-12-06;1.5;Y
1957-12-07 00:00:01;1957-12-08 00:00:00;1957-12-07;2.1;Y
1957-12-08 00:00:01;1957-12-09 00:00:00;1957-12-08;-0.7;Y
1957-12-09 00:00:01;1957-12-10 00:00:00;1957-12-09;-10.0;Y
1957-12-10 00:00:01;1957-12-11 00:00:00;1957-12-10;-9.6;Y
1957-12-11 00:00:01;1957-12-12 00:00:00;1957-12-11;-14.0;Y
1957-12-12 00:00:01;1957-12-13 00:00:00;1957-12-12;-6.6;Y
1957-12-13 00:00:01;1957-12-14 00:00:00;1957-12-13;-6.1;Y
1957-12-14 00:00:01;1957-12-15 00:00:00;1957-12-14;-10.2;Y
1957-12-15 00:00:01;1957-12-16 00:00:00;1957-12-15;-10.0;Y
1957-12-16 00:00:01;1957-12-17 00:00:00;1957-12-16;1.2;Y
1957-12-17 00:00:01;1957-12-18 00:00:00;1957-12-17;1.1;Y
1957-12-18 00:00:01;1957-12-19 00:00:00;1957-12-18;2.4;Y
1957-12-19 00:00:01;1957-12-20 00:00:00;1957-12-19;-0.8;Y
1957-12-20 00:00:01;1957-12-21 00:00:00;1957-12-20;-2.0;Y
1957-12-21 00:00:01;1957-12-22 00:00:00;1957-12-21;3.2;Y
1957-12-22 00:00:01;1957-12-23 00:00:00;1957-12-22;6.8;Y
1957-12-23 00:00:01;1957-12-24 00:00:00;1957-12-23;2.3;Y
1957-12-24 00:00:01;1957-12-25 00:00:00;1957-12-24;0.6;Y
1957-12-25 00:00:01;1957-12-26 00:00:00;1957-12-25;1.6;Y
1957-12-26 00:00:01;1957-12-27 00:00:00;1957-12-26;3.9;Y
1957-12-27 00:00:01;1957-12-28 00:00:00;1957-12-27;7.1;Y
1957-12-28 00:00:01;1957-12-29 00:00:00;1957-12-28;7.3;Y
1957-12-29 00:00:01;1957-12-30 00:00:00;1957-12-29;-0.4;Y
