Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Utö;88570;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1985-10-01 00:00:00;1994-09-30 23:59:59;40.0;58.9502;18.2669

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1985-10-01 00:00:01;1985-10-02 00:00:00;1985-10-01;12.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1985-10-02 00:00:01;1985-10-03 00:00:00;1985-10-02;13.6;Y;;Tidsperiod (fr.o.m.) = 1985-10-01 00:00:00 (UTC)
1985-10-03 00:00:01;1985-10-04 00:00:00;1985-10-03;12.8;Y;;Tidsperiod (t.o.m.) = 1994-09-30 23:59:59 (UTC)
1985-10-04 00:00:01;1985-10-05 00:00:00;1985-10-04;11.9;Y;;Medelvärdet är beräknat för = 24 timmar
1985-10-05 00:00:01;1985-10-06 00:00:00;1985-10-05;10.4;Y;;
1985-10-06 00:00:01;1985-10-07 00:00:00;1985-10-06;9.0;Y;;Kvalitetskoderna:
1985-10-07 00:00:01;1985-10-08 00:00:00;1985-10-07;9.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1985-10-08 00:00:01;1985-10-09 00:00:00;1985-10-08;10.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1985-10-09 00:00:01;1985-10-10 00:00:00;1985-10-09;8.2;Y;;
1985-10-10 00:00:01;1985-10-11 00:00:00;1985-10-10;8.6;Y;;Nätinformation:
1985-10-11 00:00:01;1985-10-12 00:00:00;1985-10-11;8.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1985-10-12 00:00:01;1985-10-13 00:00:00;1985-10-12;6.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1985-10-13 00:00:01;1985-10-14 00:00:00;1985-10-13;5.0;Y;;
1985-10-14 00:00:01;1985-10-15 00:00:00;1985-10-14;7.0;Y;;Möjliga orsaker till saknade data:
1985-10-15 00:00:01;1985-10-16 00:00:00;1985-10-15;7.4;Y;;– stationen eller givaren har varit ur funktion.
1985-10-16 00:00:01;1985-10-17 00:00:00;1985-10-16;10.9;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1985-10-17 00:00:01;1985-10-18 00:00:00;1985-10-17;4.5;Y
1985-10-18 00:00:01;1985-10-19 00:00:00;1985-10-18;5.3;Y
1985-10-19 00:00:01;1985-10-20 00:00:00;1985-10-19;6.8;Y
1985-10-20 00:00:01;1985-10-21 00:00:00;1985-10-20;7.8;Y
1985-10-21 00:00:01;1985-10-22 00:00:00;1985-10-21;8.2;Y
1985-10-22 00:00:01;1985-10-23 00:00:00;1985-10-22;7.4;Y
1985-10-23 00:00:01;1985-10-24 00:00:00;1985-10-23;7.3;Y
1985-10-24 00:00:01;1985-10-25 00:00:00;1985-10-24;5.0;Y
1985-10-25 00:00:01;1985-10-26 00:00:00;1985-10-25;7.1;Y
1985-10-26 00:00:01;1985-10-27 00:00:00;1985-10-26;5.4;Y
1985-10-27 00:00:01;1985-10-28 00:00:00;1985-10-27;2.9;Y
