Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Äng;91120;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-01-01 00:00:00;1948-08-01 23:59:00;135.0;59.0319;11.9791

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1945-01-01 00:00:01;1945-01-02 00:00:00;1945-01-01;-4.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-01-02 00:00:01;1945-01-03 00:00:00;1945-01-02;3.0;Y;;Tidsperiod (fr.o.m.) = 1945-01-01 00:00:00 (UTC)
1945-01-03 00:00:01;1945-01-04 00:00:00;1945-01-03;3.1;Y;;Tidsperiod (t.o.m.) = 1948-08-01 23:59:00 (UTC)
1945-01-04 00:00:01;1945-01-05 00:00:00;1945-01-04;-1.2;Y;;Medelvärdet är beräknat för = 24 timmar
1945-01-05 00:00:01;1945-01-06 00:00:00;1945-01-05;-9.6;Y;;
1945-01-06 00:00:01;1945-01-07 00:00:00;1945-01-06;-5.9;Y;;Kvalitetskoderna:
1945-01-07 00:00:01;1945-01-08 00:00:00;1945-01-07;-0.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1945-01-08 00:00:01;1945-01-09 00:00:00;1945-01-08;-2.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-01-09 00:00:01;1945-01-10 00:00:00;1945-01-09;-2.4;Y;;
1945-01-10 00:00:01;1945-01-11 00:00:00;1945-01-10;-4.1;Y;;Nätinformation:
1945-01-11 00:00:01;1945-01-12 00:00:00;1945-01-11;-2.9;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1945-01-12 00:00:01;1945-01-13 00:00:00;1945-01-12;-1.6;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
