Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Högsäter;91660;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1969-05-01 23:59:59;135.0;59.8800;11.9700

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1961-01-01 00:00:01;1961-01-02 00:00:00;1961-01-01;-0.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-01-02 00:00:01;1961-01-03 00:00:00;1961-01-02;-1.3;Y;;Tidsperiod (fr.o.m.) = 1961-01-01 00:00:00 (UTC)
1961-01-03 00:00:01;1961-01-04 00:00:00;1961-01-03;0.3;Y;;Tidsperiod (t.o.m.) = 1969-05-01 23:59:59 (UTC)
1961-01-04 00:00:01;1961-01-05 00:00:00;1961-01-04;0.4;Y;;Medelvärdet är beräknat för = 24 timmar
1961-01-05 00:00:01;1961-01-06 00:00:00;1961-01-05;-0.5;Y;;
1961-01-06 00:00:01;1961-01-07 00:00:00;1961-01-06;-2.6;Y;;Kvalitetskoderna:
1961-01-07 00:00:01;1961-01-08 00:00:00;1961-01-07;-15.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1961-01-08 00:00:01;1961-01-09 00:00:00;1961-01-08;-13.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-01-09 00:00:01;1961-01-10 00:00:00;1961-01-09;-10.9;Y;;
1961-01-10 00:00:01;1961-01-11 00:00:00;1961-01-10;-8.3;Y;;Nätinformation:
1961-01-11 00:00:01;1961-01-12 00:00:00;1961-01-11;-19.3;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1961-01-12 00:00:01;1961-01-13 00:00:00;1961-01-12;-16.2;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1961-01-13 00:00:01;1961-01-14 00:00:00;1961-01-13;-3.5;Y;;
1961-01-14 00:00:01;1961-01-15 00:00:00;1961-01-14;-13.2;Y;;Möjliga orsaker till saknade data:
1961-01-15 00:00:01;1961-01-16 00:00:00;1961-01-15;-5.2;Y;;– stationen eller givaren har varit ur funktion.
1961-01-16 00:00:01;1961-01-17 00:00:00;1961-01-16;-7.5;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1961-01-17 00:00:01;1961-01-18 00:00:00;1961-01-17;-4.1;Y
1961-01-18 00:00:01;1961-01-19 00:00:00;1961-01-18;-5.4;Y
1961-01-19 00:00:01;1961-01-20 00:00:00;1961-01-19;-12.5;Y
1961-01-20 00:00:01;1961-01-21 00:00:00;1961-01-20;-13.7;Y
1961-01-21 00:00:01;1961-01-22 00:00:00;1961-01-21;-14.6;Y
1961-01-22 00:00:01;1961-01-23 00:00:00;1961-01-22;-9.8;Y
1961-01-23 00:00:01;1961-01-24 00:00:00;1961-01-23;-7.5;Y
1961-01-24 00:00:01;1961-01-25 00:00:00;1961-01-24;-10.4;Y
1961-01-25 00:00:01;1961-01-26 00:00:00;1961-01-25;-24.2;Y
1961-01-26 00:00:01;1961-01-27 00:00:00;1961-01-26;-23.6;Y
1961-01-27 00:00:01;1961-01-28 00:00:00;1961-01-27;-11.3;Y
1961-01-28 00:00:01;1961-01-29 00:00:00;1961-01-28;1.8;Y
