Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Årjäng;92380;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-07-01 00:00:00;1971-12-01 23:59:59;130.0;59.3833;12.1666

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1969-07-01 00:00:01;1969-07-02 00:00:00;1969-07-01;17.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-07-02 00:00:01;1969-07-03 00:00:00;1969-07-02;16.8;Y;;Tidsperiod (fr.o.m.) = 1969-07-01 00:00:00 (UTC)
1969-07-03 00:00:01;1969-07-04 00:00:00;1969-07-03;16.8;Y;;Tidsperiod (t.o.m.) = 1971-12-01 23:59:59 (UTC)
1969-07-04 00:00:01;1969-07-05 00:00:00;1969-07-04;13.3;Y;;Medelvärdet är beräknat för = 24 timmar
1969-07-05 00:00:01;1969-07-06 00:00:00;1969-07-05;14.9;Y;;
1969-07-06 00:00:01;1969-07-07 00:00:00;1969-07-06;13.9;Y;;Kvalitetskoderna:
1969-07-07 00:00:01;1969-07-08 00:00:00;1969-07-07;12.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1969-07-08 00:00:01;1969-07-09 00:00:00;1969-07-08;13.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1969-07-09 00:00:01;1969-07-10 00:00:00;1969-07-09;14.7;Y;;
1969-07-10 00:00:01;1969-07-11 00:00:00;1969-07-10;13.5;Y;;Nätinformation:
1969-07-11 00:00:01;1969-07-12 00:00:00;1969-07-11;12.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1969-07-12 00:00:01;1969-07-13 00:00:00;1969-07-12;15.8;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1969-07-13 00:00:01;1969-07-14 00:00:00;1969-07-13;16.2;Y;;
1969-07-14 00:00:01;1969-07-15 00:00:00;1969-07-14;15.0;Y;;Möjliga orsaker till saknade data:
1969-07-15 00:00:01;1969-07-16 00:00:00;1969-07-15;18.1;Y;;– stationen eller givaren har varit ur funktion.
1969-07-16 00:00:01;1969-07-17 00:00:00;1969-07-16;19.2;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1969-07-17 00:00:01;1969-07-18 00:00:00;1969-07-17;18.6;Y
1969-07-18 00:00:01;1969-07-19 00:00:00;1969-07-18;15.9;Y
1969-07-19 00:00:01;1969-07-20 00:00:00;1969-07-19;14.2;Y
1969-07-20 00:00:01;1969-07-21 00:00:00;1969-07-20;14.5;Y
1969-07-21 00:00:01;1969-07-22 00:00:00;1969-07-21;16.8;Y
1969-07-22 00:00:01;1969-07-23 00:00:00;1969-07-22;19.8;Y
1969-07-23 00:00:01;1969-07-24 00:00:00;1969-07-23;19.9;Y
1969-07-24 00:00:01;1969-07-25 00:00:00;1969-07-24;17.4;Y
1969-07-25 00:00:01;1969-07-26 00:00:00;1969-07-25;16.2;Y
1969-07-26 00:00:01;1969-07-27 00:00:00;1969-07-26;16.1;Y
1969-07-27 00:00:01;1969-07-28 00:00:00;1969-07-27;16.2;Y
1969-07-28 00:00:01;1969-07-29 00:00:00;1969-07-28;17.3;Y
1969-07-29 00:00:01;1969-07-30 00:00:00;1969-07-29;21.6;Y
1969-07-30 00:00:01;1969-07-31 00:00:00;1969-07-30;21.7;Y
1969-07-31 00:00:01;1969-08-01 00:00:00;1969-07-31;22.2;Y
1969-08-01 00:00:01;1969-08-02 00:00:00;1969-08-01;21.7;Y
1969-08-02 00:00:01;1969-08-03 00:00:00;1969-08-02;21.7;Y
1969-08-03 00:00:01;1969-08-04 00:00:00;1969-08-03;20.2;Y
1969-08-04 00:00:01;1969-08-05 00:00:00;1969-08-04;17.6;Y
1969-08-05 00:00:01;1969-08-06 00:00:00;1969-08-05;16.8;Y
1969-08-06 00:00:01;1969-08-07 00:00:00;1969-08-06;18.1;Y
1969-08-07 00:00:01;1969-08-08 00:00:00;1969-08-07;20.4;Y
1969-08-08 00:00:01;1969-08-09 00:00:00;1969-08-08;20.8;Y
1969-08-09 00:00:01;1969-08-10 00:00:00;1969-08-09;19.4;Y
1969-08-10 00:00:01;1969-08-11 00:00:00;1969-08-10;17.7;Y
1969-08-11 00:00:01;1969-08-12 00:00:00;1969-08-11;16.7;Y
1969-08-12 00:00:01;1969-08-13 00:00:00;1969-08-12;17.2;Y
1969-08-13 00:00:01;1969-08-14 00:00:00;1969-08-13;18.2;Y
1969-08-14 00:00:01;1969-08-15 00:00:00;1969-08-14;17.8;Y
1969-08-15 00:00:01;1969-08-16 00:00:00;1969-08-15;17.5;Y
1969-08-16 00:00:01;1969-08-17 00:00:00;1969-08-16;17.5;Y
1969-08-17 00:00:01;1969-08-18 00:00:00;1969-08-17;17.6;Y
1969-08-18 00:00:01;1969-08-19 00:00:00;1969-08-18;15.9;Y
1969-08-19 00:00:01;1969-08-20 00:00:00;1969-08-19;17.5;Y
1969-08-20 00:00:01;1969-08-21 00:00:00;1969-08-20;17.0;Y
1969-08-21 00:00:01;1969-08-22 00:00:00;1969-08-21;12.7;Y
1969-08-22 00:00:01;1969-08-23 00:00:00;1969-08-22;12.6;Y
1969-08-23 00:00:01;1969-08-24 00:00:00;1969-08-23;12.5;Y
1969-08-24 00:00:01;1969-08-25 00:00:00;1969-08-24;12.7;Y
1969-08-25 00:00:01;1969-08-26 00:00:00;1969-08-25;12.8;Y
1969-08-26 00:00:01;1969-08-27 00:00:00;1969-08-26;13.6;Y
1969-08-27 00:00:01;1969-08-28 00:00:00;1969-08-27;12.3;Y
1969-08-28 00:00:01;1969-08-29 00:00:00;1969-08-28;13.6;Y
1969-08-29 00:00:01;1969-08-30 00:00:00;1969-08-29;14.2;Y
1969-08-30 00:00:01;1969-08-31 00:00:00;1969-08-30;14.1;Y
1969-08-31 00:00:01;1969-09-01 00:00:00;1969-08-31;13.5;Y
1969-09-01 00:00:01;1969-09-02 00:00:00;1969-09-01;13.6;Y
1969-09-02 00:00:01;1969-09-03 00:00:00;1969-09-02;12.1;Y
1969-09-03 00:00:01;1969-09-04 00:00:00;1969-09-03;10.6;Y
1969-09-04 00:00:01;1969-09-05 00:00:00;1969-09-04;10.6;Y
1969-09-05 00:00:01;1969-09-06 00:00:00;1969-09-05;13.5;Y
1969-09-06 00:00:01;1969-09-07 00:00:00;1969-09-06;14.9;Y
1969-09-07 00:00:01;1969-09-08 00:00:00;1969-09-07;11.7;Y
1969-09-08 00:00:01;1969-09-09 00:00:00;1969-09-08;12.5;Y
1969-09-09 00:00:01;1969-09-10 00:00:00;1969-09-09;14.7;Y
1969-09-10 00:00:01;1969-09-11 00:00:00;1969-09-10;15.2;Y
1969-09-11 00:00:01;1969-09-12 00:00:00;1969-09-11;15.7;Y
1969-09-12 00:00:01;1969-09-13 00:00:00;1969-09-12;17.9;Y
1969-09-13 00:00:01;1969-09-14 00:00:00;1969-09-13;15.4;Y
1969-09-14 00:00:01;1969-09-15 00:00:00;1969-09-14;11.7;Y
1969-09-15 00:00:01;1969-09-16 00:00:00;1969-09-15;11.9;Y
1969-09-16 00:00:01;1969-09-17 00:00:00;1969-09-16;12.3;Y
1969-09-17 00:00:01;1969-09-18 00:00:00;1969-09-17;7.8;Y
1969-09-18 00:00:01;1969-09-19 00:00:00;1969-09-18;6.5;Y
1969-09-19 00:00:01;1969-09-20 00:00:00;1969-09-19;8.8;Y
1969-09-20 00:00:01;1969-09-21 00:00:00;1969-09-20;6.4;Y
1969-09-21 00:00:01;1969-09-22 00:00:00;1969-09-21;6.6;Y
1969-09-22 00:00:01;1969-09-23 00:00:00;1969-09-22;8.5;Y
1969-09-23 00:00:01;1969-09-24 00:00:00;1969-09-23;7.3;Y
1969-09-24 00:00:01;1969-09-25 00:00:00;1969-09-24;11.1;Y
1969-09-25 00:00:01;1969-09-26 00:00:00;1969-09-25;12.7;Y
1969-09-26 00:00:01;1969-09-27 00:00:00;1969-09-26;9.6;Y
1969-09-27 00:00:01;1969-09-28 00:00:00;1969-09-27;6.6;Y
1969-09-28 00:00:01;1969-09-29 00:00:00;1969-09-28;6.7;Y
1969-09-29 00:00:01;1969-09-30 00:00:00;1969-09-29;9.5;Y
1969-09-30 00:00:01;1969-10-01 00:00:00;1969-09-30;6.0;Y
1969-10-01 00:00:01;1969-10-02 00:00:00;1969-10-01;3.8;Y
1969-10-02 00:00:01;1969-10-03 00:00:00;1969-10-02;3.7;Y
1969-10-03 00:00:01;1969-10-04 00:00:00;1969-10-03;4.3;Y
1969-10-04 00:00:01;1969-10-05 00:00:00;1969-10-04;8.2;Y
1969-10-05 00:00:01;1969-10-06 00:00:00;1969-10-05;4.3;Y
1969-10-06 00:00:01;1969-10-07 00:00:00;1969-10-06;4.9;Y
1969-10-07 00:00:01;1969-10-08 00:00:00;1969-10-07;10.9;Y
1969-10-08 00:00:01;1969-10-09 00:00:00;1969-10-08;11.8;Y
1969-10-09 00:00:01;1969-10-10 00:00:00;1969-10-09;13.0;Y
1969-10-10 00:00:01;1969-10-11 00:00:00;1969-10-10;7.6;Y
1969-10-11 00:00:01;1969-10-12 00:00:00;1969-10-11;4.8;Y
1969-10-12 00:00:01;1969-10-13 00:00:00;1969-10-12;4.9;Y
1969-10-13 00:00:01;1969-10-14 00:00:00;1969-10-13;8.4;Y
1969-10-14 00:00:01;1969-10-15 00:00:00;1969-10-14;8.9;Y
1969-10-15 00:00:01;1969-10-16 00:00:00;1969-10-15;9.2;Y
1969-10-16 00:00:01;1969-10-17 00:00:00;1969-10-16;12.1;Y
1969-10-17 00:00:01;1969-10-18 00:00:00;1969-10-17;11.9;Y
1969-10-18 00:00:01;1969-10-19 00:00:00;1969-10-18;11.0;Y
1969-10-19 00:00:01;1969-10-20 00:00:00;1969-10-19;7.1;Y
1969-10-20 00:00:01;1969-10-21 00:00:00;1969-10-20;6.9;Y
1969-10-21 00:00:01;1969-10-22 00:00:00;1969-10-21;7.0;Y
