Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Karlstad Aut;93230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1986-10-01 00:00:00;1994-07-31 23:59:59;46.0;59.3610;13.4728

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1986-10-09 00:00:01;1986-10-10 00:00:00;1986-10-09;9.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1986-10-10 00:00:01;1986-10-11 00:00:00;1986-10-10;11.5;Y;;Tidsperiod (fr.o.m.) = 1986-10-01 00:00:00 (UTC)
1986-10-11 00:00:01;1986-10-12 00:00:00;1986-10-11;8.2;Y;;Tidsperiod (t.o.m.) = 1994-07-31 23:59:59 (UTC)
1986-10-12 00:00:01;1986-10-13 00:00:00;1986-10-12;5.9;Y;;Medelvärdet är beräknat för = 24 timmar
1986-10-13 00:00:01;1986-10-14 00:00:00;1986-10-13;7.6;Y;;
1986-10-14 00:00:01;1986-10-15 00:00:00;1986-10-14;9.6;Y;;Kvalitetskoderna:
1986-10-15 00:00:01;1986-10-16 00:00:00;1986-10-15;10.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1986-10-16 00:00:01;1986-10-17 00:00:00;1986-10-16;7.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1986-10-17 00:00:01;1986-10-18 00:00:00;1986-10-17;3.9;Y;;
1986-10-18 00:00:01;1986-10-19 00:00:00;1986-10-18;8.2;Y;;Nätinformation:
1986-10-19 00:00:01;1986-10-20 00:00:00;1986-10-19;8.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1986-10-20 00:00:01;1986-10-21 00:00:00;1986-10-20;6.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1986-10-23 00:00:01;1986-10-24 00:00:00;1986-10-23;0.5;Y;;
1986-10-24 00:00:01;1986-10-25 00:00:00;1986-10-24;0.9;Y;;Möjliga orsaker till saknade data:
1986-10-25 00:00:01;1986-10-26 00:00:00;1986-10-25;7.8;Y;;– stationen eller givaren har varit ur funktion.
1986-10-26 00:00:01;1986-10-27 00:00:00;1986-10-26;6.3;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1986-10-27 00:00:01;1986-10-28 00:00:00;1986-10-27;6.7;Y
1986-10-28 00:00:01;1986-10-29 00:00:00;1986-10-28;8.7;Y
1986-10-29 00:00:01;1986-10-30 00:00:00;1986-10-29;8.9;Y
1986-10-30 00:00:01;1986-10-31 00:00:00;1986-10-30;8.0;Y
1986-10-31 00:00:01;1986-11-01 00:00:00;1986-10-31;7.4;Y
1986-11-01 00:00:01;1986-11-02 00:00:00;1986-11-01;4.1;Y
1986-11-02 00:00:01;1986-11-03 00:00:00;1986-11-02;2.4;Y
1986-11-03 00:00:01;1986-11-04 00:00:00;1986-11-03;1.0;Y
1986-11-04 00:00:01;1986-11-05 00:00:00;1986-11-04;2.2;Y
1986-11-05 00:00:01;1986-11-06 00:00:00;1986-11-05;3.0;Y
1986-11-06 00:00:01;1986-11-07 00:00:00;1986-11-06;3.4;Y
1986-11-07 00:00:01;1986-11-08 00:00:00;1986-11-07;3.4;Y
1986-11-08 00:00:01;1986-11-09 00:00:00;1986-11-08;9.1;Y
1986-11-09 00:00:01;1986-11-10 00:00:00;1986-11-09;6.9;Y
1986-11-10 00:00:01;1986-11-11 00:00:00;1986-11-10;7.9;Y
1986-11-11 00:00:01;1986-11-12 00:00:00;1986-11-11;9.8;Y
1986-11-12 00:00:01;1986-11-13 00:00:00;1986-11-12;5.3;Y
1986-11-13 00:00:01;1986-11-14 00:00:00;1986-11-13;0.5;Y
1986-11-14 00:00:01;1986-11-15 00:00:00;1986-11-14;2.9;Y
1986-11-15 00:00:01;1986-11-16 00:00:00;1986-11-15;4.8;Y
1986-11-16 00:00:01;1986-11-17 00:00:00;1986-11-16;7.3;Y
1986-11-17 00:00:01;1986-11-18 00:00:00;1986-11-17;7.2;Y
1986-11-18 00:00:01;1986-11-19 00:00:00;1986-11-18;6.9;Y
