Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Molkom;93360;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-11-01 00:00:00;1979-02-28 23:59:59;93.0;59.6166;13.7500

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1969-11-01 00:00:01;1969-11-02 00:00:00;1969-11-01;1.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-11-02 00:00:01;1969-11-03 00:00:00;1969-11-02;-0.8;Y;;Tidsperiod (fr.o.m.) = 1969-11-01 00:00:00 (UTC)
1969-11-03 00:00:01;1969-11-04 00:00:00;1969-11-03;0.4;Y;;Tidsperiod (t.o.m.) = 1979-02-28 23:59:59 (UTC)
1969-11-04 00:00:01;1969-11-05 00:00:00;1969-11-04;-2.7;Y;;Medelvärdet är beräknat för = 24 timmar
1969-11-05 00:00:01;1969-11-06 00:00:00;1969-11-05;-5.3;Y;;
1969-11-06 00:00:01;1969-11-07 00:00:00;1969-11-06;-2.9;Y;;Kvalitetskoderna:
1969-11-07 00:00:01;1969-11-08 00:00:00;1969-11-07;4.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1969-11-08 00:00:01;1969-11-09 00:00:00;1969-11-08;0.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1969-11-09 00:00:01;1969-11-10 00:00:00;1969-11-09;3.8;Y;;
1969-11-10 00:00:01;1969-11-11 00:00:00;1969-11-10;3.7;Y;;Nätinformation:
1969-11-11 00:00:01;1969-11-12 00:00:00;1969-11-11;0.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1969-11-12 00:00:01;1969-11-13 00:00:00;1969-11-12;6.6;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1969-11-13 00:00:01;1969-11-14 00:00:00;1969-11-13;3.4;Y;;
1969-11-14 00:00:01;1969-11-15 00:00:00;1969-11-14;4.6;Y;;Möjliga orsaker till saknade data:
1969-11-15 00:00:01;1969-11-16 00:00:00;1969-11-15;3.6;Y;;– stationen eller givaren har varit ur funktion.
1969-11-16 00:00:01;1969-11-17 00:00:00;1969-11-16;3.8;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1969-11-17 00:00:01;1969-11-18 00:00:00;1969-11-17;2.7;Y
1969-11-18 00:00:01;1969-11-19 00:00:00;1969-11-18;0.9;Y
1969-11-19 00:00:01;1969-11-20 00:00:00;1969-11-19;1.3;Y
