Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Persberg;94450;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-07-01 00:00:00;1985-01-31 23:59:59;225.0;59.7497;14.2354

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1976-07-12 00:00:01;1976-07-13 00:00:00;1976-07-12;16.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1976-07-13 00:00:01;1976-07-14 00:00:00;1976-07-13;17.1;Y;;Tidsperiod (fr.o.m.) = 1976-07-01 00:00:00 (UTC)
1976-07-14 00:00:01;1976-07-15 00:00:00;1976-07-14;17.7;Y;;Tidsperiod (t.o.m.) = 1985-01-31 23:59:59 (UTC)
1976-07-15 00:00:01;1976-07-16 00:00:00;1976-07-15;18.4;Y;;Medelvärdet är beräknat för = 24 timmar
1976-07-16 00:00:01;1976-07-17 00:00:00;1976-07-16;18.4;Y;;
1976-07-17 00:00:01;1976-07-18 00:00:00;1976-07-17;18.2;Y;;Kvalitetskoderna:
1976-07-18 00:00:01;1976-07-19 00:00:00;1976-07-18;18.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1976-07-19 00:00:01;1976-07-20 00:00:00;1976-07-19;18.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1976-07-20 00:00:01;1976-07-21 00:00:00;1976-07-20;18.2;Y;;
1976-07-21 00:00:01;1976-07-22 00:00:00;1976-07-21;16.9;Y;;Nätinformation:
1976-07-22 00:00:01;1976-07-23 00:00:00;1976-07-22;16.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1976-07-23 00:00:01;1976-07-24 00:00:00;1976-07-23;16.5;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1976-07-24 00:00:01;1976-07-25 00:00:00;1976-07-24;14.6;Y;;
1976-07-25 00:00:01;1976-07-26 00:00:00;1976-07-25;17.6;Y;;Möjliga orsaker till saknade data:
1976-07-26 00:00:01;1976-07-27 00:00:00;1976-07-26;15.8;Y;;– stationen eller givaren har varit ur funktion.
1976-07-27 00:00:01;1976-07-28 00:00:00;1976-07-27;14.7;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1976-07-28 00:00:01;1976-07-29 00:00:00;1976-07-28;13.5;Y
1976-07-29 00:00:01;1976-07-30 00:00:00;1976-07-29;11.8;Y
