Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Nora;95300;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1874-01-01 00:00:00;1917-04-01 07:00:00;91.0;59.5164;15.0470

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1874-01-01 00:00:01;1874-01-02 00:00:00;1874-01-01;2.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1874-01-02 00:00:01;1874-01-03 00:00:00;1874-01-02;3.5;Y;;Tidsperiod (fr.o.m.) = 1874-01-01 00:00:00 (UTC)
1874-01-03 00:00:01;1874-01-04 00:00:00;1874-01-03;2.6;Y;;Tidsperiod (t.o.m.) = 1917-04-01 07:00:00 (UTC)
1874-01-04 00:00:01;1874-01-05 00:00:00;1874-01-04;1.5;Y;;Medelvärdet är beräknat för = 24 timmar
1874-01-05 00:00:01;1874-01-06 00:00:00;1874-01-05;-0.5;Y;;
1874-01-06 00:00:01;1874-01-07 00:00:00;1874-01-06;3.0;Y;;Kvalitetskoderna:
1874-01-07 00:00:01;1874-01-08 00:00:00;1874-01-07;4.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1874-01-08 00:00:01;1874-01-09 00:00:00;1874-01-08;1.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1874-01-09 00:00:01;1874-01-10 00:00:00;1874-01-09;-0.4;Y;;
1874-01-10 00:00:01;1874-01-11 00:00:00;1874-01-10;2.3;Y;;Nätinformation:
1874-01-11 00:00:01;1874-01-12 00:00:00;1874-01-11;2.7;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1874-01-12 00:00:01;1874-01-13 00:00:00;1874-01-12;1.7;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1874-01-13 00:00:01;1874-01-14 00:00:00;1874-01-13;-0.8;Y;;
1874-01-14 00:00:01;1874-01-15 00:00:00;1874-01-14;-3.6;Y;;Möjliga orsaker till saknade data:
1874-01-15 00:00:01;1874-01-16 00:00:00;1874-01-15;-4.8;Y;;– stationen eller givaren har varit ur funktion.
1874-01-16 00:00:01;1874-01-17 00:00:00;1874-01-16;3.7;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1874-01-17 00:00:01;1874-01-18 00:00:00;1874-01-17;2.8;Y
1874-01-18 00:00:01;1874-01-19 00:00:00;1874-01-18;1.2;Y
1874-01-19 00:00:01;1874-01-20 00:00:00;1874-01-19;3.5;Y
1874-01-20 00:00:01;1874-01-21 00:00:00;1874-01-20;-1.9;Y
1874-01-21 00:00:01;1874-01-22 00:00:00;1874-01-21;-0.4;Y
1874-01-22 00:00:01;1874-01-23 00:00:00;1874-01-22;4.2;Y
1874-01-23 00:00:01;1874-01-24 00:00:00;1874-01-23;3.9;Y
1874-01-24 00:00:01;1874-01-25 00:00:00;1874-01-24;-0.3;Y
1874-01-25 00:00:01;1874-01-26 00:00:00;1874-01-25;-3.1;Y
1874-01-26 00:00:01;1874-01-27 00:00:00;1874-01-26;4.1;Y
1874-01-27 00:00:01;1874-01-28 00:00:00;1874-01-27;-0.4;Y
1874-01-28 00:00:01;1874-01-29 00:00:00;1874-01-28;-2.2;Y
1874-01-29 00:00:01;1874-01-30 00:00:00;1874-01-29;-0.4;Y
1874-01-30 00:00:01;1874-01-31 00:00:00;1874-01-30;1.9;Y
1874-01-31 00:00:01;1874-02-01 00:00:00;1874-01-31;-3.4;Y
1874-02-01 00:00:01;1874-02-02 00:00:00;1874-02-01;-2.3;Y
1874-02-02 00:00:01;1874-02-03 00:00:00;1874-02-02;1.1;Y
1874-02-03 00:00:01;1874-02-04 00:00:00;1874-02-03;1.1;Y
1874-02-04 00:00:01;1874-02-05 00:00:00;1874-02-04;-2.8;Y
1874-02-05 00:00:01;1874-02-06 00:00:00;1874-02-05;3.8;Y
1874-02-06 00:00:01;1874-02-07 00:00:00;1874-02-06;-2.8;Y
1874-02-07 00:00:01;1874-02-08 00:00:00;1874-02-07;-3.6;Y
1874-02-08 00:00:01;1874-02-09 00:00:00;1874-02-08;-6.7;Y
1874-02-09 00:00:01;1874-02-10 00:00:00;1874-02-09;-8.4;Y
1874-02-10 00:00:01;1874-02-11 00:00:00;1874-02-10;-6.8;Y
1874-02-11 00:00:01;1874-02-12 00:00:00;1874-02-11;0.3;Y
1874-02-12 00:00:01;1874-02-13 00:00:00;1874-02-12;-0.7;Y
1874-02-13 00:00:01;1874-02-14 00:00:00;1874-02-13;0.1;Y
1874-02-14 00:00:01;1874-02-15 00:00:00;1874-02-14;0.9;Y
1874-02-15 00:00:01;1874-02-16 00:00:00;1874-02-15;2.0;Y
1874-02-16 00:00:01;1874-02-17 00:00:00;1874-02-16;2.8;Y
1874-02-17 00:00:01;1874-02-18 00:00:00;1874-02-17;3.8;Y
1874-02-18 00:00:01;1874-02-19 00:00:00;1874-02-18;1.9;Y
1874-02-19 00:00:01;1874-02-20 00:00:00;1874-02-19;1.6;Y
1874-02-20 00:00:01;1874-02-21 00:00:00;1874-02-20;-0.2;Y
1874-02-21 00:00:01;1874-02-22 00:00:00;1874-02-21;0.9;Y
1874-02-22 00:00:01;1874-02-23 00:00:00;1874-02-22;1.1;Y
1874-02-23 00:00:01;1874-02-24 00:00:00;1874-02-23;-2.0;Y
1874-02-24 00:00:01;1874-02-25 00:00:00;1874-02-24;-1.6;Y
1874-02-25 00:00:01;1874-02-26 00:00:00;1874-02-25;-0.5;Y
1874-02-26 00:00:01;1874-02-27 00:00:00;1874-02-26;-1.5;Y
1874-02-27 00:00:01;1874-02-28 00:00:00;1874-02-27;0.1;Y
1874-02-28 00:00:01;1874-03-01 00:00:00;1874-02-28;0.5;Y
1874-04-01 00:00:01;1874-04-02 00:00:00;1874-04-01;-2.0;Y
1874-04-02 00:00:01;1874-04-03 00:00:00;1874-04-02;-0.7;Y
1874-04-03 00:00:01;1874-04-04 00:00:00;1874-04-03;3.5;Y
1874-04-04 00:00:01;1874-04-05 00:00:00;1874-04-04;4.0;Y
1874-04-05 00:00:01;1874-04-06 00:00:00;1874-04-05;4.4;Y
1874-04-06 00:00:01;1874-04-07 00:00:00;1874-04-06;2.7;Y
1874-04-07 00:00:01;1874-04-08 00:00:00;1874-04-07;4.4;Y
1874-04-08 00:00:01;1874-04-09 00:00:00;1874-04-08;3.5;Y
1874-04-09 00:00:01;1874-04-10 00:00:00;1874-04-09;2.2;Y
1874-04-10 00:00:01;1874-04-11 00:00:00;1874-04-10;2.9;Y
1874-04-11 00:00:01;1874-04-12 00:00:00;1874-04-11;2.9;Y
1874-04-12 00:00:01;1874-04-13 00:00:00;1874-04-12;2.2;Y
1874-04-13 00:00:01;1874-04-14 00:00:00;1874-04-13;1.3;Y
1874-04-14 00:00:01;1874-04-15 00:00:00;1874-04-14;1.8;Y
1874-04-15 00:00:01;1874-04-16 00:00:00;1874-04-15;3.1;Y
1874-04-16 00:00:01;1874-04-17 00:00:00;1874-04-16;5.3;Y
1874-04-17 00:00:01;1874-04-18 00:00:00;1874-04-17;3.5;Y
1874-04-18 00:00:01;1874-04-19 00:00:00;1874-04-18;3.9;Y
1874-04-19 00:00:01;1874-04-20 00:00:00;1874-04-19;3.8;Y
1874-04-20 00:00:01;1874-04-21 00:00:00;1874-04-20;2.6;Y
1874-04-21 00:00:01;1874-04-22 00:00:00;1874-04-21;8.3;Y
1874-04-22 00:00:01;1874-04-23 00:00:00;1874-04-22;10.0;Y
1874-04-23 00:00:01;1874-04-24 00:00:00;1874-04-23;6.9;Y
1874-04-24 00:00:01;1874-04-25 00:00:00;1874-04-24;4.3;Y
1874-04-25 00:00:01;1874-04-26 00:00:00;1874-04-25;5.5;Y
1874-04-26 00:00:01;1874-04-27 00:00:00;1874-04-26;3.7;Y
1874-04-27 00:00:01;1874-04-28 00:00:00;1874-04-27;0.3;Y
1874-04-28 00:00:01;1874-04-29 00:00:00;1874-04-28;1.3;Y
1874-04-29 00:00:01;1874-04-30 00:00:00;1874-04-29;3.8;Y
1874-04-30 00:00:01;1874-05-01 00:00:00;1874-04-30;2.6;Y
1874-05-01 00:00:01;1874-05-02 00:00:00;1874-05-01;1.5;Y
1874-05-02 00:00:01;1874-05-03 00:00:00;1874-05-02;1.2;Y
1874-05-03 00:00:01;1874-05-04 00:00:00;1874-05-03;1.0;Y
1874-05-04 00:00:01;1874-05-05 00:00:00;1874-05-04;2.1;Y
1874-05-05 00:00:01;1874-05-06 00:00:00;1874-05-05;2.0;Y
1874-05-06 00:00:01;1874-05-07 00:00:00;1874-05-06;3.1;Y
1874-05-07 00:00:01;1874-05-08 00:00:00;1874-05-07;3.7;Y
1874-05-08 00:00:01;1874-05-09 00:00:00;1874-05-08;5.9;Y
1874-05-09 00:00:01;1874-05-10 00:00:00;1874-05-09;8.5;Y
1874-05-10 00:00:01;1874-05-11 00:00:00;1874-05-10;8.2;Y
1874-05-11 00:00:01;1874-05-12 00:00:00;1874-05-11;8.4;Y
1874-05-12 00:00:01;1874-05-13 00:00:00;1874-05-12;7.3;Y
1874-05-13 00:00:01;1874-05-14 00:00:00;1874-05-13;5.9;Y
1874-05-14 00:00:01;1874-05-15 00:00:00;1874-05-14;3.5;Y
1874-05-15 00:00:01;1874-05-16 00:00:00;1874-05-15;2.5;Y
1874-05-16 00:00:01;1874-05-17 00:00:00;1874-05-16;4.6;Y
1874-05-17 00:00:01;1874-05-18 00:00:00;1874-05-17;6.4;Y
1874-05-18 00:00:01;1874-05-19 00:00:00;1874-05-18;10.0;Y
1874-05-19 00:00:01;1874-05-20 00:00:00;1874-05-19;10.9;Y
1874-05-20 00:00:01;1874-05-21 00:00:00;1874-05-20;10.8;Y
1874-05-21 00:00:01;1874-05-22 00:00:00;1874-05-21;9.1;Y
1874-05-22 00:00:01;1874-05-23 00:00:00;1874-05-22;7.9;Y
1874-05-23 00:00:01;1874-05-24 00:00:00;1874-05-23;4.7;Y
1874-05-24 00:00:01;1874-05-25 00:00:00;1874-05-24;7.0;Y
1874-05-25 00:00:01;1874-05-26 00:00:00;1874-05-25;9.4;Y
1874-05-26 00:00:01;1874-05-27 00:00:00;1874-05-26;12.4;Y
1874-05-27 00:00:01;1874-05-28 00:00:00;1874-05-27;12.8;Y
1874-05-28 00:00:01;1874-05-29 00:00:00;1874-05-28;12.9;Y
1874-05-29 00:00:01;1874-05-30 00:00:00;1874-05-29;11.8;Y
1874-05-30 00:00:01;1874-05-31 00:00:00;1874-05-30;10.7;Y
1874-05-31 00:00:01;1874-06-01 00:00:00;1874-05-31;13.1;Y
1874-09-01 00:00:01;1874-09-02 00:00:00;1874-09-01;11.8;Y
