Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Grönbo;95380;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1997-08-01 00:00:00;2003-03-31 23:59:59;85.0;59.6396;15.4180

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1997-08-01 00:00:01;1997-08-02 00:00:00;1997-08-01;16.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1997-08-02 00:00:01;1997-08-03 00:00:00;1997-08-02;18.0;Y;;Tidsperiod (fr.o.m.) = 1997-08-01 00:00:00 (UTC)
1997-08-03 00:00:01;1997-08-04 00:00:00;1997-08-03;18.1;Y;;Tidsperiod (t.o.m.) = 2003-03-31 23:59:59 (UTC)
1997-08-04 00:00:01;1997-08-05 00:00:00;1997-08-04;16.7;Y;;Medelvärdet är beräknat för = 24 timmar
1997-08-05 00:00:01;1997-08-06 00:00:00;1997-08-05;17.7;Y;;
1997-08-06 00:00:01;1997-08-07 00:00:00;1997-08-06;17.8;Y;;Kvalitetskoderna:
1997-08-07 00:00:01;1997-08-08 00:00:00;1997-08-07;18.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1997-08-08 00:00:01;1997-08-09 00:00:00;1997-08-08;17.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1997-08-09 00:00:01;1997-08-10 00:00:00;1997-08-09;19.6;Y;;
1997-08-10 00:00:01;1997-08-11 00:00:00;1997-08-10;19.0;Y;;Nätinformation:
1997-08-11 00:00:01;1997-08-12 00:00:00;1997-08-11;18.1;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1997-08-12 00:00:01;1997-08-13 00:00:00;1997-08-12;18.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1997-08-13 00:00:01;1997-08-14 00:00:00;1997-08-13;18.9;Y;;
1997-08-14 00:00:01;1997-08-15 00:00:00;1997-08-14;17.9;Y;;Möjliga orsaker till saknade data:
1997-08-15 00:00:01;1997-08-16 00:00:00;1997-08-15;15.1;Y;;– stationen eller givaren har varit ur funktion.
1997-08-16 00:00:01;1997-08-17 00:00:00;1997-08-16;17.4;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1997-08-17 00:00:01;1997-08-18 00:00:00;1997-08-17;18.8;Y
1997-08-18 00:00:01;1997-08-19 00:00:00;1997-08-18;18.2;Y
1997-08-19 00:00:01;1997-08-20 00:00:00;1997-08-19;18.1;Y
1997-08-20 00:00:01;1997-08-21 00:00:00;1997-08-20;18.7;Y
1997-08-21 00:00:01;1997-08-22 00:00:00;1997-08-21;18.4;Y
1997-08-22 00:00:01;1997-08-23 00:00:00;1997-08-22;17.5;Y
1997-08-23 00:00:01;1997-08-24 00:00:00;1997-08-23;18.1;Y
1997-08-24 00:00:01;1997-08-25 00:00:00;1997-08-24;17.9;Y
1997-08-25 00:00:01;1997-08-26 00:00:00;1997-08-25;17.1;Y
1997-08-26 00:00:01;1997-08-27 00:00:00;1997-08-26;20.5;Y
1997-08-27 00:00:01;1997-08-28 00:00:00;1997-08-27;18.6;Y
1997-08-28 00:00:01;1997-08-29 00:00:00;1997-08-28;20.3;Y
1997-08-29 00:00:01;1997-08-30 00:00:00;1997-08-29;21.0;Y
1997-08-30 00:00:01;1997-08-31 00:00:00;1997-08-30;18.7;Y
1997-08-31 00:00:01;1997-09-01 00:00:00;1997-08-31;17.6;Y
1997-09-01 00:00:01;1997-09-02 00:00:00;1997-09-01;15.2;Y
1997-09-02 00:00:01;1997-09-03 00:00:00;1997-09-02;19.1;Y
1997-09-03 00:00:01;1997-09-04 00:00:00;1997-09-03;18.5;Y
1997-09-04 00:00:01;1997-09-05 00:00:00;1997-09-04;13.8;Y
1997-09-05 00:00:01;1997-09-06 00:00:00;1997-09-05;15.5;Y
1997-09-06 00:00:01;1997-09-07 00:00:00;1997-09-06;14.1;Y
1997-09-07 00:00:01;1997-09-08 00:00:00;1997-09-07;13.2;Y
1997-09-08 00:00:01;1997-09-09 00:00:00;1997-09-08;14.2;Y
1997-09-09 00:00:01;1997-09-10 00:00:00;1997-09-09;11.5;Y
1997-09-10 00:00:01;1997-09-11 00:00:00;1997-09-10;11.5;Y
1997-09-11 00:00:01;1997-09-12 00:00:00;1997-09-11;9.2;Y
1997-09-12 00:00:01;1997-09-13 00:00:00;1997-09-12;12.2;Y
1997-09-13 00:00:01;1997-09-14 00:00:00;1997-09-13;11.2;Y
1997-09-14 00:00:01;1997-09-15 00:00:00;1997-09-14;10.5;Y
1997-09-15 00:00:01;1997-09-16 00:00:00;1997-09-15;7.8;Y
1997-09-16 00:00:01;1997-09-17 00:00:00;1997-09-16;13.6;Y
1997-09-17 00:00:01;1997-09-18 00:00:00;1997-09-17;12.0;Y
1997-09-18 00:00:01;1997-09-19 00:00:00;1997-09-18;6.7;Y
1997-09-19 00:00:01;1997-09-20 00:00:00;1997-09-19;5.4;Y
1997-09-20 00:00:01;1997-09-21 00:00:00;1997-09-20;4.9;Y
1997-09-21 00:00:01;1997-09-22 00:00:00;1997-09-21;8.6;Y
1997-09-22 00:00:01;1997-09-23 00:00:00;1997-09-22;7.7;Y
1997-09-23 00:00:01;1997-09-24 00:00:00;1997-09-23;7.6;Y
1997-09-24 00:00:01;1997-09-25 00:00:00;1997-09-24;8.9;Y
1997-09-25 00:00:01;1997-09-26 00:00:00;1997-09-25;12.4;Y
1997-09-26 00:00:01;1997-09-27 00:00:00;1997-09-26;7.6;Y
1997-09-27 00:00:01;1997-09-28 00:00:00;1997-09-27;9.5;Y
1997-09-28 00:00:01;1997-09-29 00:00:00;1997-09-28;5.4;Y
1997-09-29 00:00:01;1997-09-30 00:00:00;1997-09-29;6.6;Y
1997-09-30 00:00:01;1997-10-01 00:00:00;1997-09-30;9.3;Y
1997-10-01 00:00:01;1997-10-02 00:00:00;1997-10-01;4.0;Y
1997-10-02 00:00:01;1997-10-03 00:00:00;1997-10-02;7.8;Y
1997-10-03 00:00:01;1997-10-04 00:00:00;1997-10-03;6.1;Y
1997-10-04 00:00:01;1997-10-05 00:00:00;1997-10-04;9.6;Y
1997-10-05 00:00:01;1997-10-06 00:00:00;1997-10-05;4.5;Y
1997-10-06 00:00:01;1997-10-07 00:00:00;1997-10-06;4.7;Y
1997-10-07 00:00:01;1997-10-08 00:00:00;1997-10-07;8.4;Y
1997-10-08 00:00:01;1997-10-09 00:00:00;1997-10-08;10.6;Y
1997-10-09 00:00:01;1997-10-10 00:00:00;1997-10-09;8.0;Y
1997-10-10 00:00:01;1997-10-11 00:00:00;1997-10-10;6.7;Y
1997-10-11 00:00:01;1997-10-12 00:00:00;1997-10-11;7.1;Y
1997-10-12 00:00:01;1997-10-13 00:00:00;1997-10-12;4.0;Y
1997-10-13 00:00:01;1997-10-14 00:00:00;1997-10-13;2.7;Y
1997-10-14 00:00:01;1997-10-15 00:00:00;1997-10-14;0.5;Y
1997-10-15 00:00:01;1997-10-16 00:00:00;1997-10-15;3.3;Y
1997-10-16 00:00:01;1997-10-17 00:00:00;1997-10-16;2.3;Y
1997-10-17 00:00:01;1997-10-18 00:00:00;1997-10-17;3.1;Y
1997-10-18 00:00:01;1997-10-19 00:00:00;1997-10-18;10.0;Y
1997-10-19 00:00:01;1997-10-20 00:00:00;1997-10-19;8.8;Y
1997-10-20 00:00:01;1997-10-21 00:00:00;1997-10-20;1.4;Y
1997-10-21 00:00:01;1997-10-22 00:00:00;1997-10-21;0.9;Y
1997-10-22 00:00:01;1997-10-23 00:00:00;1997-10-22;2.2;Y
1997-10-23 00:00:01;1997-10-24 00:00:00;1997-10-23;-3.2;Y
1997-10-24 00:00:01;1997-10-25 00:00:00;1997-10-24;-2.6;Y
1997-10-25 00:00:01;1997-10-26 00:00:00;1997-10-25;-4.9;Y
1997-10-26 00:00:01;1997-10-27 00:00:00;1997-10-26;-4.2;Y
1997-10-27 00:00:01;1997-10-28 00:00:00;1997-10-27;-4.2;Y
1997-10-28 00:00:01;1997-10-29 00:00:00;1997-10-28;-3.6;Y
1997-10-29 00:00:01;1997-10-30 00:00:00;1997-10-29;0.3;Y
1997-10-30 00:00:01;1997-10-31 00:00:00;1997-10-30;1.5;Y
1997-10-31 00:00:01;1997-11-01 00:00:00;1997-10-31;7.4;Y
1997-11-01 00:00:01;1997-11-02 00:00:00;1997-11-01;8.0;Y
1997-11-02 00:00:01;1997-11-03 00:00:00;1997-11-02;-0.7;Y
1997-11-03 00:00:01;1997-11-04 00:00:00;1997-11-03;-4.3;Y
1997-11-04 00:00:01;1997-11-05 00:00:00;1997-11-04;-7.4;Y
1997-11-05 00:00:01;1997-11-06 00:00:00;1997-11-05;-3.6;Y
1997-11-06 00:00:01;1997-11-07 00:00:00;1997-11-06;0.9;Y
1997-11-07 00:00:01;1997-11-08 00:00:00;1997-11-07;0.5;Y
1997-11-08 00:00:01;1997-11-09 00:00:00;1997-11-08;3.1;Y
1997-11-09 00:00:01;1997-11-10 00:00:00;1997-11-09;3.6;Y
1997-11-10 00:00:01;1997-11-11 00:00:00;1997-11-10;5.1;Y
1997-11-11 00:00:01;1997-11-12 00:00:00;1997-11-11;5.4;Y
1997-11-12 00:00:01;1997-11-13 00:00:00;1997-11-12;5.8;Y
1997-11-13 00:00:01;1997-11-14 00:00:00;1997-11-13;3.2;Y
1997-11-14 00:00:01;1997-11-15 00:00:00;1997-11-14;4.6;Y
1997-11-15 00:00:01;1997-11-16 00:00:00;1997-11-15;2.9;Y
1997-11-16 00:00:01;1997-11-17 00:00:00;1997-11-16;0.3;Y
1997-11-17 00:00:01;1997-11-18 00:00:00;1997-11-17;0.7;Y
1997-11-18 00:00:01;1997-11-19 00:00:00;1997-11-18;0.9;Y
1997-11-19 00:00:01;1997-11-20 00:00:00;1997-11-19;0.3;Y
1997-11-20 00:00:01;1997-11-21 00:00:00;1997-11-20;0.6;Y
1997-11-21 00:00:01;1997-11-22 00:00:00;1997-11-21;1.5;Y
1997-11-22 00:00:01;1997-11-23 00:00:00;1997-11-22;0.1;Y
1997-11-23 00:00:01;1997-11-24 00:00:00;1997-11-23;0.9;Y
