Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Wiad;97070;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1960-11-01 00:00:00;1962-02-28 23:59:59;12.0;59.1116;17.7219

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1960-11-01 00:00:01;1960-11-02 00:00:00;1960-11-01;-0.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1960-11-02 00:00:01;1960-11-03 00:00:00;1960-11-02;4.4;Y;;Tidsperiod (fr.o.m.) = 1960-11-01 00:00:00 (UTC)
1960-11-03 00:00:01;1960-11-04 00:00:00;1960-11-03;7.8;Y;;Tidsperiod (t.o.m.) = 1962-02-28 23:59:59 (UTC)
1960-11-04 00:00:01;1960-11-05 00:00:00;1960-11-04;7.9;Y;;Medelvärdet är beräknat för = 24 timmar
1960-11-05 00:00:01;1960-11-06 00:00:00;1960-11-05;8.2;Y;;
1960-11-06 00:00:01;1960-11-07 00:00:00;1960-11-06;6.5;Y;;Kvalitetskoderna:
1960-11-07 00:00:01;1960-11-08 00:00:00;1960-11-07;1.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1960-11-08 00:00:01;1960-11-09 00:00:00;1960-11-08;2.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1960-11-09 00:00:01;1960-11-10 00:00:00;1960-11-09;2.8;Y;;
1960-11-10 00:00:01;1960-11-11 00:00:00;1960-11-10;1.4;Y;;Nätinformation:
1960-11-11 00:00:01;1960-11-12 00:00:00;1960-11-11;3.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
