Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Mariefred;97170;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1981-10-01 00:00:00;1983-02-01 23:59:59;10.0;59.2661;17.2342

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1981-10-01 00:00:01;1981-10-02 00:00:00;1981-10-01;13.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1981-10-02 00:00:01;1981-10-03 00:00:00;1981-10-02;13.7;Y;;Tidsperiod (fr.o.m.) = 1981-10-01 00:00:00 (UTC)
1981-10-03 00:00:01;1981-10-04 00:00:00;1981-10-03;12.5;Y;;Tidsperiod (t.o.m.) = 1983-02-01 23:59:59 (UTC)
1981-10-04 00:00:01;1981-10-05 00:00:00;1981-10-04;12.4;Y;;Medelvärdet är beräknat för = 24 timmar
1981-10-05 00:00:01;1981-10-06 00:00:00;1981-10-05;10.9;Y;;
1981-10-06 00:00:01;1981-10-07 00:00:00;1981-10-06;11.5;Y;;Kvalitetskoderna:
1981-10-07 00:00:01;1981-10-08 00:00:00;1981-10-07;10.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1981-10-08 00:00:01;1981-10-09 00:00:00;1981-10-08;9.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1981-10-09 00:00:01;1981-10-10 00:00:00;1981-10-09;8.0;Y;;
1981-10-10 00:00:01;1981-10-11 00:00:00;1981-10-10;11.5;Y;;Nätinformation:
1981-10-11 00:00:01;1981-10-12 00:00:00;1981-10-11;8.0;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1981-10-12 00:00:01;1981-10-13 00:00:00;1981-10-12;6.2;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1981-10-13 00:00:01;1981-10-14 00:00:00;1981-10-13;6.0;Y;;
1981-10-14 00:00:01;1981-10-15 00:00:00;1981-10-14;5.0;Y;;Möjliga orsaker till saknade data:
1981-10-15 00:00:01;1981-10-16 00:00:00;1981-10-15;4.0;Y;;– stationen eller givaren har varit ur funktion.
1981-10-16 00:00:01;1981-10-17 00:00:00;1981-10-16;2.4;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1981-10-17 00:00:01;1981-10-18 00:00:00;1981-10-17;4.3;Y
1981-10-18 00:00:01;1981-10-19 00:00:00;1981-10-18;1.1;Y
1981-10-19 00:00:01;1981-10-20 00:00:00;1981-10-19;1.7;Y
1981-10-20 00:00:01;1981-10-21 00:00:00;1981-10-20;7.0;Y
1981-10-21 00:00:01;1981-10-22 00:00:00;1981-10-21;6.0;Y
1981-10-22 00:00:01;1981-10-23 00:00:00;1981-10-22;2.3;Y
1981-10-23 00:00:01;1981-10-24 00:00:00;1981-10-23;2.0;Y
1981-10-24 00:00:01;1981-10-25 00:00:00;1981-10-24;2.4;Y
1981-10-25 00:00:01;1981-10-26 00:00:00;1981-10-25;0.3;Y
1981-10-26 00:00:01;1981-10-27 00:00:00;1981-10-26;1.5;Y
1981-10-27 00:00:01;1981-10-28 00:00:00;1981-10-27;4.5;Y
1981-10-28 00:00:01;1981-10-29 00:00:00;1981-10-28;5.7;Y
1981-10-29 00:00:01;1981-10-30 00:00:00;1981-10-29;4.2;Y
1981-10-30 00:00:01;1981-10-31 00:00:00;1981-10-30;4.0;Y
