Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Svartsjö;97220;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1959-05-01 00:00:00;1962-10-31 23:59:59;10.0;59.3595;17.7392

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1959-05-01 00:00:01;1959-05-02 00:00:00;1959-05-01;12.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1959-05-02 00:00:01;1959-05-03 00:00:00;1959-05-02;11.2;Y;;Tidsperiod (fr.o.m.) = 1959-05-01 00:00:00 (UTC)
1959-05-03 00:00:01;1959-05-04 00:00:00;1959-05-03;9.4;Y;;Tidsperiod (t.o.m.) = 1962-10-31 23:59:59 (UTC)
1959-05-04 00:00:01;1959-05-05 00:00:00;1959-05-04;8.8;Y;;Medelvärdet är beräknat för = 24 timmar
1959-05-05 00:00:01;1959-05-06 00:00:00;1959-05-05;7.6;Y;;
1959-05-06 00:00:01;1959-05-07 00:00:00;1959-05-06;7.6;Y;;Kvalitetskoderna:
1959-05-07 00:00:01;1959-05-08 00:00:00;1959-05-07;7.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1959-05-08 00:00:01;1959-05-09 00:00:00;1959-05-08;8.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1959-05-09 00:00:01;1959-05-10 00:00:00;1959-05-09;8.4;Y;;
1959-05-10 00:00:01;1959-05-11 00:00:00;1959-05-10;9.8;Y;;Nätinformation:
1959-05-11 00:00:01;1959-05-12 00:00:00;1959-05-11;10.9;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1959-05-12 00:00:01;1959-05-13 00:00:00;1959-05-12;13.1;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1959-05-13 00:00:01;1959-05-14 00:00:00;1959-05-13;12.2;Y;;
1959-05-14 00:00:01;1959-05-15 00:00:00;1959-05-14;14.2;Y;;Möjliga orsaker till saknade data:
1959-05-15 00:00:01;1959-05-16 00:00:00;1959-05-15;16.4;Y;;– stationen eller givaren har varit ur funktion.
1959-05-16 00:00:01;1959-05-17 00:00:00;1959-05-16;13.3;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1959-05-17 00:00:01;1959-05-18 00:00:00;1959-05-17;7.4;Y
1959-05-18 00:00:01;1959-05-19 00:00:00;1959-05-18;8.8;Y
1959-05-19 00:00:01;1959-05-20 00:00:00;1959-05-19;8.1;Y
1959-05-20 00:00:01;1959-05-21 00:00:00;1959-05-20;12.2;Y
1959-05-21 00:00:01;1959-05-22 00:00:00;1959-05-21;8.1;Y
1959-05-22 00:00:01;1959-05-23 00:00:00;1959-05-22;8.3;Y
1959-05-23 00:00:01;1959-05-24 00:00:00;1959-05-23;9.5;Y
1959-05-24 00:00:01;1959-05-25 00:00:00;1959-05-24;10.5;Y
1959-05-25 00:00:01;1959-05-26 00:00:00;1959-05-25;12.5;Y
1959-05-26 00:00:01;1959-05-27 00:00:00;1959-05-26;8.6;Y
1959-05-27 00:00:01;1959-05-28 00:00:00;1959-05-27;9.3;Y
1959-05-28 00:00:01;1959-05-29 00:00:00;1959-05-28;10.5;Y
1959-05-29 00:00:01;1959-05-30 00:00:00;1959-05-29;9.1;Y
1959-05-30 00:00:01;1959-05-31 00:00:00;1959-05-30;10.1;Y
1959-05-31 00:00:01;1959-06-01 00:00:00;1959-05-31;14.5;Y
1962-07-01 00:00:01;1962-07-02 00:00:00;1962-07-01;13.5;Y
1962-07-02 00:00:01;1962-07-03 00:00:00;1962-07-02;15.5;Y
1962-07-03 00:00:01;1962-07-04 00:00:00;1962-07-03;16.4;Y
1962-07-04 00:00:01;1962-07-05 00:00:00;1962-07-04;12.7;Y
1962-07-05 00:00:01;1962-07-06 00:00:00;1962-07-05;11.3;Y
1962-07-06 00:00:01;1962-07-07 00:00:00;1962-07-06;11.9;Y
1962-07-07 00:00:01;1962-07-08 00:00:00;1962-07-07;11.8;Y
1962-07-08 00:00:01;1962-07-09 00:00:00;1962-07-08;15.4;Y
1962-07-09 00:00:01;1962-07-10 00:00:00;1962-07-09;14.1;Y
1962-07-10 00:00:01;1962-07-11 00:00:00;1962-07-10;14.5;Y
1962-07-11 00:00:01;1962-07-12 00:00:00;1962-07-11;13.0;Y
1962-07-12 00:00:01;1962-07-13 00:00:00;1962-07-12;13.5;Y
1962-07-13 00:00:01;1962-07-14 00:00:00;1962-07-13;13.0;Y
1962-07-14 00:00:01;1962-07-15 00:00:00;1962-07-14;12.8;Y
1962-07-15 00:00:01;1962-07-16 00:00:00;1962-07-15;13.7;Y
1962-07-16 00:00:01;1962-07-17 00:00:00;1962-07-16;14.8;Y
1962-07-17 00:00:01;1962-07-18 00:00:00;1962-07-17;17.5;Y
1962-07-18 00:00:01;1962-07-19 00:00:00;1962-07-18;16.3;Y
1962-07-19 00:00:01;1962-07-20 00:00:00;1962-07-19;15.0;Y
1962-07-20 00:00:01;1962-07-21 00:00:00;1962-07-20;16.3;Y
1962-07-21 00:00:01;1962-07-22 00:00:00;1962-07-21;15.3;Y
1962-07-22 00:00:01;1962-07-23 00:00:00;1962-07-22;12.8;Y
1962-07-23 00:00:01;1962-07-24 00:00:00;1962-07-23;13.3;Y
1962-07-24 00:00:01;1962-07-25 00:00:00;1962-07-24;15.2;Y
1962-07-25 00:00:01;1962-07-26 00:00:00;1962-07-25;15.2;Y
1962-07-26 00:00:01;1962-07-27 00:00:00;1962-07-26;14.4;Y
1962-07-27 00:00:01;1962-07-28 00:00:00;1962-07-27;15.2;Y
1962-07-28 00:00:01;1962-07-29 00:00:00;1962-07-28;13.8;Y
1962-07-29 00:00:01;1962-07-30 00:00:00;1962-07-29;15.2;Y
1962-07-30 00:00:01;1962-07-31 00:00:00;1962-07-30;14.6;Y
1962-07-31 00:00:01;1962-08-01 00:00:00;1962-07-31;15.9;Y
1962-08-01 00:00:01;1962-08-02 00:00:00;1962-08-01;15.4;Y
1962-08-02 00:00:01;1962-08-03 00:00:00;1962-08-02;14.4;Y
1962-08-03 00:00:01;1962-08-04 00:00:00;1962-08-03;17.3;Y
1962-08-04 00:00:01;1962-08-05 00:00:00;1962-08-04;15.6;Y
1962-08-05 00:00:01;1962-08-06 00:00:00;1962-08-05;13.9;Y
1962-08-06 00:00:01;1962-08-07 00:00:00;1962-08-06;13.4;Y
1962-08-07 00:00:01;1962-08-08 00:00:00;1962-08-07;12.6;Y
1962-08-08 00:00:01;1962-08-09 00:00:00;1962-08-08;12.4;Y
1962-08-09 00:00:01;1962-08-10 00:00:00;1962-08-09;13.6;Y
1962-08-10 00:00:01;1962-08-11 00:00:00;1962-08-10;12.8;Y
1962-08-11 00:00:01;1962-08-12 00:00:00;1962-08-11;11.3;Y
1962-08-12 00:00:01;1962-08-13 00:00:00;1962-08-12;13.2;Y
1962-08-13 00:00:01;1962-08-14 00:00:00;1962-08-13;13.1;Y
1962-08-14 00:00:01;1962-08-15 00:00:00;1962-08-14;12.7;Y
1962-08-15 00:00:01;1962-08-16 00:00:00;1962-08-15;14.8;Y
1962-08-16 00:00:01;1962-08-17 00:00:00;1962-08-16;13.7;Y
1962-08-17 00:00:01;1962-08-18 00:00:00;1962-08-17;13.2;Y
1962-08-18 00:00:01;1962-08-19 00:00:00;1962-08-18;14.9;Y
1962-08-19 00:00:01;1962-08-20 00:00:00;1962-08-19;14.1;Y
1962-08-20 00:00:01;1962-08-21 00:00:00;1962-08-20;16.6;Y
1962-08-21 00:00:01;1962-08-22 00:00:00;1962-08-21;16.2;Y
1962-08-22 00:00:01;1962-08-23 00:00:00;1962-08-22;15.8;Y
1962-08-23 00:00:01;1962-08-24 00:00:00;1962-08-23;15.1;Y
1962-08-24 00:00:01;1962-08-25 00:00:00;1962-08-24;13.4;Y
1962-08-25 00:00:01;1962-08-26 00:00:00;1962-08-25;13.1;Y
1962-08-26 00:00:01;1962-08-27 00:00:00;1962-08-26;13.4;Y
1962-08-27 00:00:01;1962-08-28 00:00:00;1962-08-27;13.2;Y
1962-08-28 00:00:01;1962-08-29 00:00:00;1962-08-28;13.4;Y
1962-08-29 00:00:01;1962-08-30 00:00:00;1962-08-29;12.5;Y
