Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Skeppsta;97750;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-10-01 00:00:00;1963-05-01 23:59:00;20.0;59.1417;17.1500

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1962-10-22 00:00:01;1962-10-23 00:00:00;1962-10-22;5.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-10-23 00:00:01;1962-10-24 00:00:00;1962-10-23;5.8;Y;;Tidsperiod (fr.o.m.) = 1962-10-01 00:00:00 (UTC)
1962-10-24 00:00:01;1962-10-25 00:00:00;1962-10-24;6.9;Y;;Tidsperiod (t.o.m.) = 1963-05-01 23:59:00 (UTC)
1962-10-25 00:00:01;1962-10-26 00:00:00;1962-10-25;8.5;Y;;Medelvärdet är beräknat för = 24 timmar
1962-10-26 00:00:01;1962-10-27 00:00:00;1962-10-26;10.8;Y;;
1962-10-27 00:00:01;1962-10-28 00:00:00;1962-10-27;1.9;Y;;Kvalitetskoderna:
1962-10-28 00:00:01;1962-10-29 00:00:00;1962-10-28;4.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-10-29 00:00:01;1962-10-30 00:00:00;1962-10-29;5.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-10-30 00:00:01;1962-10-31 00:00:00;1962-10-30;5.3;Y;;
1962-10-31 00:00:01;1962-11-01 00:00:00;1962-10-31;6.1;Y;;Nätinformation:
1962-11-01 00:00:01;1962-11-02 00:00:00;1962-11-01;3.9;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-11-02 00:00:01;1962-11-03 00:00:00;1962-11-02;1.8;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1962-11-03 00:00:01;1962-11-04 00:00:00;1962-11-03;5.2;Y;;
1962-11-04 00:00:01;1962-11-05 00:00:00;1962-11-04;7.9;Y;;Möjliga orsaker till saknade data:
1962-11-05 00:00:01;1962-11-06 00:00:00;1962-11-05;8.8;Y;;– stationen eller givaren har varit ur funktion.
1962-11-06 00:00:01;1962-11-07 00:00:00;1962-11-06;7.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1962-11-07 00:00:01;1962-11-08 00:00:00;1962-11-07;4.9;Y
1962-11-08 00:00:01;1962-11-09 00:00:00;1962-11-08;5.4;Y
1962-11-09 00:00:01;1962-11-10 00:00:00;1962-11-09;3.8;Y
1962-11-10 00:00:01;1962-11-11 00:00:00;1962-11-10;1.7;Y
1962-11-11 00:00:01;1962-11-12 00:00:00;1962-11-11;1.4;Y
1962-11-12 00:00:01;1962-11-13 00:00:00;1962-11-12;2.3;Y
1962-11-13 00:00:01;1962-11-14 00:00:00;1962-11-13;1.8;Y
1962-11-14 00:00:01;1962-11-15 00:00:00;1962-11-14;3.0;Y
1962-11-15 00:00:01;1962-11-16 00:00:00;1962-11-15;4.1;Y
1962-11-16 00:00:01;1962-11-17 00:00:00;1962-11-16;-0.1;Y
1962-11-17 00:00:01;1962-11-18 00:00:00;1962-11-17;-3.8;Y
1962-11-18 00:00:01;1962-11-19 00:00:00;1962-11-18;-3.6;Y
1962-11-19 00:00:01;1962-11-20 00:00:00;1962-11-19;-0.4;Y
1962-11-20 00:00:01;1962-11-21 00:00:00;1962-11-20;-0.1;Y
1962-11-21 00:00:01;1962-11-22 00:00:00;1962-11-21;0.1;Y
1962-11-22 00:00:01;1962-11-23 00:00:00;1962-11-22;-1.4;Y
1962-11-23 00:00:01;1962-11-24 00:00:00;1962-11-23;-4.7;Y
1962-11-24 00:00:01;1962-11-25 00:00:00;1962-11-24;-4.7;Y
1962-11-25 00:00:01;1962-11-26 00:00:00;1962-11-25;-0.1;Y
1962-11-26 00:00:01;1962-11-27 00:00:00;1962-11-26;2.4;Y
1962-11-27 00:00:01;1962-11-28 00:00:00;1962-11-27;1.7;Y
1962-11-28 00:00:01;1962-11-29 00:00:00;1962-11-28;0.0;Y
1962-11-29 00:00:01;1962-11-30 00:00:00;1962-11-29;-6.3;Y
1962-11-30 00:00:01;1962-12-01 00:00:00;1962-11-30;-5.0;Y
1962-12-01 00:00:01;1962-12-02 00:00:00;1962-12-01;-6.8;Y
1962-12-02 00:00:01;1962-12-03 00:00:00;1962-12-02;-0.1;Y
1962-12-03 00:00:01;1962-12-04 00:00:00;1962-12-03;2.8;Y
1962-12-04 00:00:01;1962-12-05 00:00:00;1962-12-04;1.9;Y
1962-12-05 00:00:01;1962-12-06 00:00:00;1962-12-05;0.9;Y
1962-12-06 00:00:01;1962-12-07 00:00:00;1962-12-06;3.3;Y
1962-12-07 00:00:01;1962-12-08 00:00:00;1962-12-07;-0.3;Y
1962-12-08 00:00:01;1962-12-09 00:00:00;1962-12-08;-3.0;Y
1962-12-09 00:00:01;1962-12-10 00:00:00;1962-12-09;3.2;Y
1962-12-10 00:00:01;1962-12-11 00:00:00;1962-12-10;1.5;Y
1962-12-11 00:00:01;1962-12-12 00:00:00;1962-12-11;-4.3;Y
1962-12-12 00:00:01;1962-12-13 00:00:00;1962-12-12;2.0;Y
