Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stormyra;98140;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1978-11-01 00:00:00;1980-12-31 23:59:59;30.0;59.2032;18.3308
1981-01-01 00:00:00;1981-07-31 23:59:59;15.646;59.2024;18.3272

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1978-11-01 00:00:01;1978-11-02 00:00:00;1978-11-01;9.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1978-11-02 00:00:01;1978-11-03 00:00:00;1978-11-02;8.5;Y;;Tidsperiod (fr.o.m.) = 1978-11-01 00:00:00 (UTC)
1978-11-03 00:00:01;1978-11-04 00:00:00;1978-11-03;6.4;Y;;Tidsperiod (t.o.m.) = 1981-07-31 23:59:59 (UTC)
1978-11-04 00:00:01;1978-11-05 00:00:00;1978-11-04;8.0;Y;;Medelvärdet är beräknat för = 24 timmar
1978-11-05 00:00:01;1978-11-06 00:00:00;1978-11-05;4.3;Y;;
1978-11-06 00:00:01;1978-11-07 00:00:00;1978-11-06;7.2;Y;;Kvalitetskoderna:
1978-11-07 00:00:01;1978-11-08 00:00:00;1978-11-07;6.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1978-11-08 00:00:01;1978-11-09 00:00:00;1978-11-08;7.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1978-11-09 00:00:01;1978-11-10 00:00:00;1978-11-09;7.8;Y;;
1978-11-10 00:00:01;1978-11-11 00:00:00;1978-11-10;8.8;Y;;Nätinformation:
1978-11-11 00:00:01;1978-11-12 00:00:00;1978-11-11;2.7;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1978-11-12 00:00:01;1978-11-13 00:00:00;1978-11-12;3.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1978-11-13 00:00:01;1978-11-14 00:00:00;1978-11-13;5.8;Y;;
1978-11-14 00:00:01;1978-11-15 00:00:00;1978-11-14;6.7;Y;;Möjliga orsaker till saknade data:
1978-11-15 00:00:01;1978-11-16 00:00:00;1978-11-15;7.4;Y;;– stationen eller givaren har varit ur funktion.
1978-11-16 00:00:01;1978-11-17 00:00:00;1978-11-16;7.4;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1978-11-17 00:00:01;1978-11-18 00:00:00;1978-11-17;2.4;Y
1978-11-18 00:00:01;1978-11-19 00:00:00;1978-11-18;7.2;Y
1978-11-19 00:00:01;1978-11-20 00:00:00;1978-11-19;9.5;Y
1978-11-20 00:00:01;1978-11-21 00:00:00;1978-11-20;2.9;Y
1978-11-21 00:00:01;1978-11-22 00:00:00;1978-11-21;2.2;Y
1978-11-22 00:00:01;1978-11-23 00:00:00;1978-11-22;6.3;Y
1978-11-23 00:00:01;1978-11-24 00:00:00;1978-11-23;4.2;Y
1978-11-24 00:00:01;1978-11-25 00:00:00;1978-11-24;1.0;Y
1978-11-25 00:00:01;1978-11-26 00:00:00;1978-11-25;-4.9;Y
1978-11-26 00:00:01;1978-11-27 00:00:00;1978-11-26;-6.7;Y
1978-11-27 00:00:01;1978-11-28 00:00:00;1978-11-27;-0.4;Y
1978-11-28 00:00:01;1978-11-29 00:00:00;1978-11-28;-0.1;Y
1978-11-29 00:00:01;1978-11-30 00:00:00;1978-11-29;-1.4;Y
1978-11-30 00:00:01;1978-12-01 00:00:00;1978-11-30;-2.1;Y
1978-12-01 00:00:01;1978-12-02 00:00:00;1978-12-01;0.5;Y
1978-12-02 00:00:01;1978-12-03 00:00:00;1978-12-02;-0.2;Y
1978-12-03 00:00:01;1978-12-04 00:00:00;1978-12-03;-6.5;Y
1978-12-04 00:00:01;1978-12-05 00:00:00;1978-12-04;-10.3;Y
1978-12-05 00:00:01;1978-12-06 00:00:00;1978-12-05;-3.9;Y
1978-12-06 00:00:01;1978-12-07 00:00:00;1978-12-06;-8.1;Y
1978-12-07 00:00:01;1978-12-08 00:00:00;1978-12-07;-4.5;Y
1978-12-08 00:00:01;1978-12-09 00:00:00;1978-12-08;-2.6;Y
1978-12-09 00:00:01;1978-12-10 00:00:00;1978-12-09;-1.6;Y
1978-12-10 00:00:01;1978-12-11 00:00:00;1978-12-10;-4.1;Y
1978-12-11 00:00:01;1978-12-12 00:00:00;1978-12-11;-2.4;Y
1978-12-12 00:00:01;1978-12-13 00:00:00;1978-12-12;0.5;Y
1978-12-13 00:00:01;1978-12-14 00:00:00;1978-12-13;-0.7;Y
1978-12-14 00:00:01;1978-12-15 00:00:00;1978-12-14;-3.3;Y
1978-12-15 00:00:01;1978-12-16 00:00:00;1978-12-15;-6.5;Y
1978-12-16 00:00:01;1978-12-17 00:00:00;1978-12-16;-10.4;Y
1978-12-17 00:00:01;1978-12-18 00:00:00;1978-12-17;-16.0;Y
1978-12-18 00:00:01;1978-12-19 00:00:00;1978-12-18;-5.9;Y
1978-12-19 00:00:01;1978-12-20 00:00:00;1978-12-19;-3.3;Y
1978-12-20 00:00:01;1978-12-21 00:00:00;1978-12-20;-3.4;Y
1978-12-21 00:00:01;1978-12-22 00:00:00;1978-12-21;-15.4;Y
1978-12-22 00:00:01;1978-12-23 00:00:00;1978-12-22;-6.0;Y
1978-12-23 00:00:01;1978-12-24 00:00:00;1978-12-23;-6.2;Y
1978-12-24 00:00:01;1978-12-25 00:00:00;1978-12-24;-4.5;Y
1978-12-25 00:00:01;1978-12-26 00:00:00;1978-12-25;-4.0;Y
1978-12-26 00:00:01;1978-12-27 00:00:00;1978-12-26;-6.4;Y
1978-12-27 00:00:01;1978-12-28 00:00:00;1978-12-27;-12.8;Y
1978-12-28 00:00:01;1978-12-29 00:00:00;1978-12-28;-10.5;Y
1978-12-29 00:00:01;1978-12-30 00:00:00;1978-12-29;-10.8;Y
1978-12-30 00:00:01;1978-12-31 00:00:00;1978-12-30;-16.1;Y
1978-12-31 00:00:01;1979-01-01 00:00:00;1978-12-31;-13.5;Y
1979-01-01 00:00:01;1979-01-02 00:00:00;1979-01-01;-18.5;Y
1979-01-02 00:00:01;1979-01-03 00:00:00;1979-01-02;-14.0;Y
1979-01-03 00:00:01;1979-01-04 00:00:00;1979-01-03;-10.3;Y
1979-01-04 00:00:01;1979-01-05 00:00:00;1979-01-04;-9.9;Y
1979-01-05 00:00:01;1979-01-06 00:00:00;1979-01-05;-11.4;Y
1979-01-06 00:00:01;1979-01-07 00:00:00;1979-01-06;-15.8;Y
1979-01-07 00:00:01;1979-01-08 00:00:00;1979-01-07;-1.8;Y
1979-01-08 00:00:01;1979-01-09 00:00:00;1979-01-08;-2.7;Y
1979-01-09 00:00:01;1979-01-10 00:00:00;1979-01-09;-1.6;Y
1979-01-10 00:00:01;1979-01-11 00:00:00;1979-01-10;-3.9;Y
1979-01-11 00:00:01;1979-01-12 00:00:00;1979-01-11;-6.0;Y
1979-01-12 00:00:01;1979-01-13 00:00:00;1979-01-12;-1.5;Y
1979-01-13 00:00:01;1979-01-14 00:00:00;1979-01-13;0.3;Y
1979-01-14 00:00:01;1979-01-15 00:00:00;1979-01-14;-2.5;Y
1979-01-15 00:00:01;1979-01-16 00:00:00;1979-01-15;-2.7;Y
1979-01-16 00:00:01;1979-01-17 00:00:00;1979-01-16;-4.3;Y
1979-01-17 00:00:01;1979-01-18 00:00:00;1979-01-17;-3.2;Y
1979-01-18 00:00:01;1979-01-19 00:00:00;1979-01-18;-3.2;Y
1979-01-19 00:00:01;1979-01-20 00:00:00;1979-01-19;-6.5;Y
1979-01-20 00:00:01;1979-01-21 00:00:00;1979-01-20;-6.6;Y
1979-01-21 00:00:01;1979-01-22 00:00:00;1979-01-21;-4.6;Y
1979-01-22 00:00:01;1979-01-23 00:00:00;1979-01-22;-7.2;Y
1979-01-23 00:00:01;1979-01-24 00:00:00;1979-01-23;-7.4;Y
1979-01-24 00:00:01;1979-01-25 00:00:00;1979-01-24;-6.2;Y
1979-01-25 00:00:01;1979-01-26 00:00:00;1979-01-25;-13.8;Y
1979-01-26 00:00:01;1979-01-27 00:00:00;1979-01-26;-7.9;Y
1979-01-27 00:00:01;1979-01-28 00:00:00;1979-01-27;-14.7;Y
1979-01-28 00:00:01;1979-01-29 00:00:00;1979-01-28;-19.7;Y
1979-01-29 00:00:01;1979-01-30 00:00:00;1979-01-29;-6.4;Y
1979-01-30 00:00:01;1979-01-31 00:00:00;1979-01-30;-5.8;Y
1979-01-31 00:00:01;1979-02-01 00:00:00;1979-01-31;-6.1;Y
1979-02-01 00:00:01;1979-02-02 00:00:00;1979-02-01;-6.2;Y
1979-02-02 00:00:01;1979-02-03 00:00:00;1979-02-02;-3.2;Y
1979-02-03 00:00:01;1979-02-04 00:00:00;1979-02-03;-4.1;Y
1979-02-04 00:00:01;1979-02-05 00:00:00;1979-02-04;-12.9;Y
1979-02-05 00:00:01;1979-02-06 00:00:00;1979-02-05;-11.4;Y
1979-02-06 00:00:01;1979-02-07 00:00:00;1979-02-06;-14.4;Y
1979-02-07 00:00:01;1979-02-08 00:00:00;1979-02-07;-6.7;Y
1979-02-08 00:00:01;1979-02-09 00:00:00;1979-02-08;-3.0;Y
1979-02-09 00:00:01;1979-02-10 00:00:00;1979-02-09;-8.0;Y
1979-02-10 00:00:01;1979-02-11 00:00:00;1979-02-10;-5.3;Y
1979-02-11 00:00:01;1979-02-12 00:00:00;1979-02-11;-5.6;Y
1979-02-12 00:00:01;1979-02-13 00:00:00;1979-02-12;-6.9;Y
1979-02-13 00:00:01;1979-02-14 00:00:00;1979-02-13;-13.7;Y
1979-02-14 00:00:01;1979-02-15 00:00:00;1979-02-14;-17.8;Y
1979-02-15 00:00:01;1979-02-16 00:00:00;1979-02-15;-23.2;Y
1979-02-16 00:00:01;1979-02-17 00:00:00;1979-02-16;-20.7;Y
1979-02-17 00:00:01;1979-02-18 00:00:00;1979-02-17;-18.4;Y
1979-02-18 00:00:01;1979-02-19 00:00:00;1979-02-18;-7.3;Y
1979-02-19 00:00:01;1979-02-20 00:00:00;1979-02-19;-1.5;Y
1979-02-20 00:00:01;1979-02-21 00:00:00;1979-02-20;-1.1;Y
1979-02-21 00:00:01;1979-02-22 00:00:00;1979-02-21;-2.3;Y
1979-02-22 00:00:01;1979-02-23 00:00:00;1979-02-22;-2.8;Y
1979-02-23 00:00:01;1979-02-24 00:00:00;1979-02-23;-3.5;Y
1979-02-24 00:00:01;1979-02-25 00:00:00;1979-02-24;-2.4;Y
1979-02-25 00:00:01;1979-02-26 00:00:00;1979-02-25;-3.5;Y
1979-02-26 00:00:01;1979-02-27 00:00:00;1979-02-26;1.2;Y
1979-02-27 00:00:01;1979-02-28 00:00:00;1979-02-27;-0.1;Y
1979-02-28 00:00:01;1979-03-01 00:00:00;1979-02-28;0.3;Y
1979-03-01 00:00:01;1979-03-02 00:00:00;1979-03-01;-2.2;Y
1979-03-02 00:00:01;1979-03-03 00:00:00;1979-03-02;-0.6;Y
1979-03-03 00:00:01;1979-03-04 00:00:00;1979-03-03;3.5;Y
1979-03-04 00:00:01;1979-03-05 00:00:00;1979-03-04;3.1;Y
1979-03-05 00:00:01;1979-03-06 00:00:00;1979-03-05;3.6;Y
1979-03-06 00:00:01;1979-03-07 00:00:00;1979-03-06;3.2;Y
1979-03-07 00:00:01;1979-03-08 00:00:00;1979-03-07;0.6;Y
1979-03-08 00:00:01;1979-03-09 00:00:00;1979-03-08;0.5;Y
1979-03-09 00:00:01;1979-03-10 00:00:00;1979-03-09;0.0;Y
1979-03-10 00:00:01;1979-03-11 00:00:00;1979-03-10;0.4;Y
1979-03-11 00:00:01;1979-03-12 00:00:00;1979-03-11;-0.7;Y
1979-03-12 00:00:01;1979-03-13 00:00:00;1979-03-12;-1.1;Y
1979-03-13 00:00:01;1979-03-14 00:00:00;1979-03-13;0.1;Y
1979-03-14 00:00:01;1979-03-15 00:00:00;1979-03-14;-1.4;Y
1979-03-15 00:00:01;1979-03-16 00:00:00;1979-03-15;-2.2;Y
1979-03-16 00:00:01;1979-03-17 00:00:00;1979-03-16;-5.0;Y
1979-03-17 00:00:01;1979-03-18 00:00:00;1979-03-17;-9.6;Y
1979-03-18 00:00:01;1979-03-19 00:00:00;1979-03-18;-10.1;Y
1979-03-19 00:00:01;1979-03-20 00:00:00;1979-03-19;-8.2;Y
1979-03-20 00:00:01;1979-03-21 00:00:00;1979-03-20;-2.7;Y
1979-03-21 00:00:01;1979-03-22 00:00:00;1979-03-21;-4.6;Y
1979-03-22 00:00:01;1979-03-23 00:00:00;1979-03-22;-2.0;Y
1979-03-23 00:00:01;1979-03-24 00:00:00;1979-03-23;-0.3;Y
1979-03-24 00:00:01;1979-03-25 00:00:00;1979-03-24;0.2;Y
1979-03-25 00:00:01;1979-03-26 00:00:00;1979-03-25;2.7;Y
1979-03-26 00:00:01;1979-03-27 00:00:00;1979-03-26;2.0;Y
1979-03-27 00:00:01;1979-03-28 00:00:00;1979-03-27;1.9;Y
1979-03-28 00:00:01;1979-03-29 00:00:00;1979-03-28;1.1;Y
1979-03-29 00:00:01;1979-03-30 00:00:00;1979-03-29;1.0;Y
1979-03-30 00:00:01;1979-03-31 00:00:00;1979-03-30;1.9;Y
1979-03-31 00:00:01;1979-04-01 00:00:00;1979-03-31;1.6;Y
1979-04-01 00:00:01;1979-04-02 00:00:00;1979-04-01;1.2;Y
1979-04-02 00:00:01;1979-04-03 00:00:00;1979-04-02;0.7;Y
1979-04-03 00:00:01;1979-04-04 00:00:00;1979-04-03;0.6;Y
1979-04-04 00:00:01;1979-04-05 00:00:00;1979-04-04;1.9;Y
1979-04-05 00:00:01;1979-04-06 00:00:00;1979-04-05;0.6;Y
1979-04-06 00:00:01;1979-04-07 00:00:00;1979-04-06;2.2;Y
1979-04-07 00:00:01;1979-04-08 00:00:00;1979-04-07;0.1;Y
1979-04-08 00:00:01;1979-04-09 00:00:00;1979-04-08;0.6;Y
1979-04-09 00:00:01;1979-04-10 00:00:00;1979-04-09;0.8;Y
1979-04-10 00:00:01;1979-04-11 00:00:00;1979-04-10;-0.1;Y
1979-04-11 00:00:01;1979-04-12 00:00:00;1979-04-11;1.4;Y
1979-04-12 00:00:01;1979-04-13 00:00:00;1979-04-12;4.4;Y
1979-04-13 00:00:01;1979-04-14 00:00:00;1979-04-13;4.8;Y
1979-04-14 00:00:01;1979-04-15 00:00:00;1979-04-14;0.6;Y
1979-04-15 00:00:01;1979-04-16 00:00:00;1979-04-15;-0.5;Y
1979-04-16 00:00:01;1979-04-17 00:00:00;1979-04-16;-2.0;Y
1979-04-17 00:00:01;1979-04-18 00:00:00;1979-04-17;-0.3;Y
1979-04-18 00:00:01;1979-04-19 00:00:00;1979-04-18;1.8;Y
1979-04-19 00:00:01;1979-04-20 00:00:00;1979-04-19;4.7;Y
1979-04-20 00:00:01;1979-04-21 00:00:00;1979-04-20;1.1;Y
1979-04-21 00:00:01;1979-04-22 00:00:00;1979-04-21;2.7;Y
1979-04-22 00:00:01;1979-04-23 00:00:00;1979-04-22;2.4;Y
1979-04-23 00:00:01;1979-04-24 00:00:00;1979-04-23;2.6;Y
1979-04-24 00:00:01;1979-04-25 00:00:00;1979-04-24;2.9;Y
1979-04-25 00:00:01;1979-04-26 00:00:00;1979-04-25;4.5;Y
1979-04-26 00:00:01;1979-04-27 00:00:00;1979-04-26;6.1;Y
1979-04-27 00:00:01;1979-04-28 00:00:00;1979-04-27;5.1;Y
1979-04-28 00:00:01;1979-04-29 00:00:00;1979-04-28;4.9;Y
1979-04-29 00:00:01;1979-04-30 00:00:00;1979-04-29;3.9;Y
1979-04-30 00:00:01;1979-05-01 00:00:00;1979-04-30;4.6;Y
1979-05-01 00:00:01;1979-05-02 00:00:00;1979-05-01;3.7;Y
1979-05-02 00:00:01;1979-05-03 00:00:00;1979-05-02;2.7;Y
1979-05-03 00:00:01;1979-05-04 00:00:00;1979-05-03;3.4;Y
1979-05-04 00:00:01;1979-05-05 00:00:00;1979-05-04;3.7;Y
1979-05-05 00:00:01;1979-05-06 00:00:00;1979-05-05;4.2;Y
1979-05-06 00:00:01;1979-05-07 00:00:00;1979-05-06;3.5;Y
1979-05-07 00:00:01;1979-05-08 00:00:00;1979-05-07;6.4;Y
1979-05-08 00:00:01;1979-05-09 00:00:00;1979-05-08;4.0;Y
1979-05-09 00:00:01;1979-05-10 00:00:00;1979-05-09;6.1;Y
1979-05-10 00:00:01;1979-05-11 00:00:00;1979-05-10;6.4;Y
1979-05-11 00:00:01;1979-05-12 00:00:00;1979-05-11;6.1;Y
1979-05-12 00:00:01;1979-05-13 00:00:00;1979-05-12;7.5;Y
1979-05-13 00:00:01;1979-05-14 00:00:00;1979-05-13;7.6;Y
1979-05-14 00:00:01;1979-05-15 00:00:00;1979-05-14;14.1;Y
1979-05-15 00:00:01;1979-05-16 00:00:00;1979-05-15;13.6;Y
1979-05-16 00:00:01;1979-05-17 00:00:00;1979-05-16;15.5;Y
1979-05-17 00:00:01;1979-05-18 00:00:00;1979-05-17;13.7;Y
1979-05-18 00:00:01;1979-05-19 00:00:00;1979-05-18;12.7;Y
1979-05-19 00:00:01;1979-05-20 00:00:00;1979-05-19;12.1;Y
1979-05-20 00:00:01;1979-05-21 00:00:00;1979-05-20;11.0;Y
1979-05-21 00:00:01;1979-05-22 00:00:00;1979-05-21;7.4;Y
1979-05-22 00:00:01;1979-05-23 00:00:00;1979-05-22;10.3;Y
1979-05-23 00:00:01;1979-05-24 00:00:00;1979-05-23;10.1;Y
1979-05-24 00:00:01;1979-05-25 00:00:00;1979-05-24;11.9;Y
1979-05-25 00:00:01;1979-05-26 00:00:00;1979-05-25;12.3;Y
1979-05-26 00:00:01;1979-05-27 00:00:00;1979-05-26;10.5;Y
1979-05-27 00:00:01;1979-05-28 00:00:00;1979-05-27;12.3;Y
1979-05-28 00:00:01;1979-05-29 00:00:00;1979-05-28;12.4;Y
