Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Sandhamn;98170;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-12-01 00:00:00;1969-09-01 23:59:59;15.0;59.2901;18.9179

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1965-12-01 00:00:01;1965-12-02 00:00:00;1965-12-01;1.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1965-12-02 00:00:01;1965-12-03 00:00:00;1965-12-02;-2.4;Y;;Tidsperiod (fr.o.m.) = 1965-12-01 00:00:00 (UTC)
1965-12-03 00:00:01;1965-12-04 00:00:00;1965-12-03;0.3;Y;;Tidsperiod (t.o.m.) = 1969-09-01 23:59:59 (UTC)
1965-12-04 00:00:01;1965-12-05 00:00:00;1965-12-04;3.6;Y;;Medelvärdet är beräknat för = 24 timmar
1965-12-05 00:00:01;1965-12-06 00:00:00;1965-12-05;2.4;Y;;
1965-12-06 00:00:01;1965-12-07 00:00:00;1965-12-06;1.5;Y;;Kvalitetskoderna:
1965-12-07 00:00:01;1965-12-08 00:00:00;1965-12-07;-3.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1965-12-08 00:00:01;1965-12-09 00:00:00;1965-12-08;-3.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1965-12-09 00:00:01;1965-12-10 00:00:00;1965-12-09;-2.2;Y;;
1965-12-10 00:00:01;1965-12-11 00:00:00;1965-12-10;2.6;Y;;Nätinformation:
1965-12-11 00:00:01;1965-12-12 00:00:00;1965-12-11;-0.5;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1965-12-12 00:00:01;1965-12-13 00:00:00;1965-12-12;-4.5;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1965-12-13 00:00:01;1965-12-14 00:00:00;1965-12-13;-7.2;Y;;
1965-12-14 00:00:01;1965-12-15 00:00:00;1965-12-14;-5.3;Y;;Möjliga orsaker till saknade data:
1965-12-15 00:00:01;1965-12-16 00:00:00;1965-12-15;-4.7;Y;;– stationen eller givaren har varit ur funktion.
