Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Norrtälje-Väsby;98510;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-01-01 00:00:00;1994-11-01 23:59:59;10.0;59.8524;18.7296

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1989-01-01 00:00:01;1989-01-02 00:00:00;1989-01-01;-2.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-01-02 00:00:01;1989-01-03 00:00:00;1989-01-02;0.7;Y;;Tidsperiod (fr.o.m.) = 1989-01-01 00:00:00 (UTC)
1989-01-03 00:00:01;1989-01-04 00:00:00;1989-01-03;3.0;Y;;Tidsperiod (t.o.m.) = 1994-11-01 23:59:59 (UTC)
1989-01-04 00:00:01;1989-01-05 00:00:00;1989-01-04;1.4;Y;;Medelvärdet är beräknat för = 24 timmar
1989-01-05 00:00:01;1989-01-06 00:00:00;1989-01-05;3.7;Y;;
1989-01-06 00:00:01;1989-01-07 00:00:00;1989-01-06;-0.9;Y;;Kvalitetskoderna:
1989-01-07 00:00:01;1989-01-08 00:00:00;1989-01-07;-1.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1989-01-08 00:00:01;1989-01-09 00:00:00;1989-01-08;-2.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1989-01-09 00:00:01;1989-01-10 00:00:00;1989-01-09;3.0;Y;;
1989-01-10 00:00:01;1989-01-11 00:00:00;1989-01-10;1.9;Y;;Nätinformation:
1989-01-11 00:00:01;1989-01-12 00:00:00;1989-01-11;-0.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
