Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Östmark-Rännberg;102200;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1980-07-01 00:00:00;1988-08-01 23:59:59;198.0;60.3328;12.6775

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1980-07-01 06:00:01;1980-07-02 06:00:00;1980-07-01;0.3;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1980-07-02 06:00:01;1980-07-03 06:00:00;1980-07-02;0.0;G;;Tidsperiod (fr.o.m.) = 1980-07-01 00:00:00 (UTC)
1980-07-03 06:00:01;1980-07-04 06:00:00;1980-07-03;0.0;G;;Tidsperiod (t.o.m.) = 1988-08-01 23:59:59 (UTC)
1980-07-04 06:00:01;1980-07-05 06:00:00;1980-07-04;0.1;G;;Värdet är summerat över = 24 timmar
1980-07-05 06:00:01;1980-07-06 06:00:00;1980-07-05;0.4;G;;
1980-07-06 06:00:01;1980-07-07 06:00:00;1980-07-06;0.0;G;;Kvalitetskoderna:
1980-07-07 06:00:01;1980-07-08 06:00:00;1980-07-07;0.7;G;;Grön (G) = Kontrollerade och godkända värden.
1980-07-08 06:00:01;1980-07-09 06:00:00;1980-07-08;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1980-07-09 06:00:01;1980-07-10 06:00:00;1980-07-09;0.4;G;;
1980-07-10 06:00:01;1980-07-11 06:00:00;1980-07-10;1.4;G;;Nätinformation:
1980-07-11 06:00:01;1980-07-12 06:00:00;1980-07-11;10.5;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1980-07-12 06:00:01;1980-07-13 06:00:00;1980-07-12;5.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1980-07-13 06:00:01;1980-07-14 06:00:00;1980-07-13;0.0;G;;
1980-07-14 06:00:01;1980-07-15 06:00:00;1980-07-14;1.6;G;;Möjliga orsaker till saknade data:
