Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Granåbron;103290;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1949-06-01 00:00:00;1952-05-01 23:59:59;310.0;60.4403;13.8944

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1949-06-23 06:00:01;1949-06-24 06:00:00;1949-06-23;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1949-06-24 06:00:01;1949-06-25 06:00:00;1949-06-24;0.0;G;;Tidsperiod (fr.o.m.) = 1949-06-01 00:00:00 (UTC)
1949-06-25 06:00:01;1949-06-26 06:00:00;1949-06-25;0.0;G;;Tidsperiod (t.o.m.) = 1952-05-01 23:59:59 (UTC)
1949-06-26 06:00:01;1949-06-27 06:00:00;1949-06-26;0.0;G;;Värdet är summerat över = 24 timmar
1949-06-27 06:00:01;1949-06-28 06:00:00;1949-06-27;0.0;G;;
1949-06-28 06:00:01;1949-06-29 06:00:00;1949-06-28;0.0;G;;Kvalitetskoderna:
1949-06-29 06:00:01;1949-06-30 06:00:00;1949-06-29;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
1949-06-30 06:00:01;1949-07-01 06:00:00;1949-06-30;3.6;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1949-07-01 06:00:01;1949-07-02 06:00:00;1949-07-01;20.2;G;;
1949-07-02 06:00:01;1949-07-03 06:00:00;1949-07-02;3.8;G;;Nätinformation:
1949-07-03 06:00:01;1949-07-04 06:00:00;1949-07-03;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1949-07-04 06:00:01;1949-07-05 06:00:00;1949-07-04;9.8;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1949-07-05 06:00:01;1949-07-06 06:00:00;1949-07-05;0.0;G;;
1949-07-06 06:00:01;1949-07-07 06:00:00;1949-07-06;0.1;G;;Möjliga orsaker till saknade data:
1949-07-07 06:00:01;1949-07-08 06:00:00;1949-07-07;0.0;G;;– stationen eller givaren har varit ur funktion.
1949-07-08 06:00:01;1949-07-09 06:00:00;1949-07-08;0.0;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1949-07-09 06:00:01;1949-07-10 06:00:00;1949-07-09;0.0;G
1949-07-10 06:00:01;1949-07-11 06:00:00;1949-07-10;0.0;G
1949-07-11 06:00:01;1949-07-12 06:00:00;1949-07-11;1.5;G
1949-07-12 06:00:01;1949-07-13 06:00:00;1949-07-12;11.8;G
1949-07-13 06:00:01;1949-07-14 06:00:00;1949-07-13;0.0;G
1949-07-14 06:00:01;1949-07-15 06:00:00;1949-07-14;0.1;G
1949-07-15 06:00:01;1949-07-16 06:00:00;1949-07-15;0.1;G
1949-07-16 06:00:01;1949-07-17 06:00:00;1949-07-16;0.0;G
1949-07-17 06:00:01;1949-07-18 06:00:00;1949-07-17;0.5;G
1949-07-18 06:00:01;1949-07-19 06:00:00;1949-07-18;3.0;G
1949-07-19 06:00:01;1949-07-20 06:00:00;1949-07-19;32.0;G
1949-07-20 06:00:01;1949-07-21 06:00:00;1949-07-20;7.0;G
1949-07-21 06:00:01;1949-07-22 06:00:00;1949-07-21;0.0;G
1949-07-22 06:00:01;1949-07-23 06:00:00;1949-07-22;0.0;G
1949-07-23 06:00:01;1949-07-24 06:00:00;1949-07-23;0.0;G
1949-07-24 06:00:01;1949-07-25 06:00:00;1949-07-24;0.1;G
1949-07-25 06:00:01;1949-07-26 06:00:00;1949-07-25;0.0;G
1949-07-26 06:00:01;1949-07-27 06:00:00;1949-07-26;0.0;G
1949-07-27 06:00:01;1949-07-28 06:00:00;1949-07-27;0.1;G
1949-07-28 06:00:01;1949-07-29 06:00:00;1949-07-28;13.1;G
1949-07-29 06:00:01;1949-07-30 06:00:00;1949-07-29;5.1;G
1949-07-30 06:00:01;1949-07-31 06:00:00;1949-07-30;3.5;G
1949-07-31 06:00:01;1949-08-01 06:00:00;1949-07-31;1.1;G
1949-08-01 06:00:01;1949-08-02 06:00:00;1949-08-01;34.4;G
1949-08-02 06:00:01;1949-08-03 06:00:00;1949-08-02;20.0;G
1949-08-03 06:00:01;1949-08-04 06:00:00;1949-08-03;8.0;G
1949-08-04 06:00:01;1949-08-05 06:00:00;1949-08-04;1.1;G
1949-08-05 06:00:01;1949-08-06 06:00:00;1949-08-05;0.0;G
1949-08-06 06:00:01;1949-08-07 06:00:00;1949-08-06;0.1;G
1949-08-07 06:00:01;1949-08-08 06:00:00;1949-08-07;0.1;G
1949-08-08 06:00:01;1949-08-09 06:00:00;1949-08-08;8.5;G
1949-08-09 06:00:01;1949-08-10 06:00:00;1949-08-09;0.0;G
1949-08-10 06:00:01;1949-08-11 06:00:00;1949-08-10;0.0;G
1949-08-11 06:00:01;1949-08-12 06:00:00;1949-08-11;1.0;G
1949-08-12 06:00:01;1949-08-13 06:00:00;1949-08-12;0.0;G
1949-08-13 06:00:01;1949-08-14 06:00:00;1949-08-13;0.1;G
1949-08-14 06:00:01;1949-08-15 06:00:00;1949-08-14;1.0;G
1949-08-15 06:00:01;1949-08-16 06:00:00;1949-08-15;3.8;G
1949-08-16 06:00:01;1949-08-17 06:00:00;1949-08-16;1.0;G
1949-08-17 06:00:01;1949-08-18 06:00:00;1949-08-17;1.0;G
1949-08-18 06:00:01;1949-08-19 06:00:00;1949-08-18;0.0;G
1949-08-19 06:00:01;1949-08-20 06:00:00;1949-08-19;0.0;G
1949-08-20 06:00:01;1949-08-21 06:00:00;1949-08-20;0.0;G
1949-08-21 06:00:01;1949-08-22 06:00:00;1949-08-21;0.0;G
1949-08-22 06:00:01;1949-08-23 06:00:00;1949-08-22;0.0;G
1949-08-23 06:00:01;1949-08-24 06:00:00;1949-08-23;0.0;G
1949-08-24 06:00:01;1949-08-25 06:00:00;1949-08-24;0.0;G
1949-08-25 06:00:01;1949-08-26 06:00:00;1949-08-25;0.0;G
1949-08-26 06:00:01;1949-08-27 06:00:00;1949-08-26;0.0;G
1949-08-27 06:00:01;1949-08-28 06:00:00;1949-08-27;0.0;G
1949-08-28 06:00:01;1949-08-29 06:00:00;1949-08-28;0.0;G
1949-08-29 06:00:01;1949-08-30 06:00:00;1949-08-29;0.0;G
1949-08-30 06:00:01;1949-08-31 06:00:00;1949-08-30;0.0;G
1949-08-31 06:00:01;1949-09-01 06:00:00;1949-08-31;0.0;G
1949-09-01 06:00:01;1949-09-02 06:00:00;1949-09-01;0.1;G
1949-09-02 06:00:01;1949-09-03 06:00:00;1949-09-02;0.0;G
1949-09-03 06:00:01;1949-09-04 06:00:00;1949-09-03;3.6;G
1949-09-04 06:00:01;1949-09-05 06:00:00;1949-09-04;0.0;G
1949-09-05 06:00:01;1949-09-06 06:00:00;1949-09-05;0.0;G
1949-09-06 06:00:01;1949-09-07 06:00:00;1949-09-06;0.8;G
1949-09-07 06:00:01;1949-09-08 06:00:00;1949-09-07;0.0;G
1949-09-08 06:00:01;1949-09-09 06:00:00;1949-09-08;0.0;G
1949-09-09 06:00:01;1949-09-10 06:00:00;1949-09-09;0.5;G
1949-09-10 06:00:01;1949-09-11 06:00:00;1949-09-10;6.2;G
1949-09-11 06:00:01;1949-09-12 06:00:00;1949-09-11;4.5;G
1949-09-12 06:00:01;1949-09-13 06:00:00;1949-09-12;0.0;G
1949-09-13 06:00:01;1949-09-14 06:00:00;1949-09-13;0.0;G
1949-09-14 06:00:01;1949-09-15 06:00:00;1949-09-14;0.1;G
1949-09-15 06:00:01;1949-09-16 06:00:00;1949-09-15;0.0;G
1949-09-16 06:00:01;1949-09-17 06:00:00;1949-09-16;0.0;G
1949-09-17 06:00:01;1949-09-18 06:00:00;1949-09-17;9.0;G
1949-09-18 06:00:01;1949-09-19 06:00:00;1949-09-18;0.0;G
1949-09-19 06:00:01;1949-09-20 06:00:00;1949-09-19;0.0;G
1949-09-20 06:00:01;1949-09-21 06:00:00;1949-09-20;0.1;G
1949-09-21 06:00:01;1949-09-22 06:00:00;1949-09-21;0.0;G
1949-09-22 06:00:01;1949-09-23 06:00:00;1949-09-22;0.0;G
1949-09-23 06:00:01;1949-09-24 06:00:00;1949-09-23;0.0;G
1949-09-24 06:00:01;1949-09-25 06:00:00;1949-09-24;0.0;G
1949-09-25 06:00:01;1949-09-26 06:00:00;1949-09-25;0.0;G
1949-09-26 06:00:01;1949-09-27 06:00:00;1949-09-26;0.0;G
1949-09-27 06:00:01;1949-09-28 06:00:00;1949-09-27;0.0;G
1949-09-28 06:00:01;1949-09-29 06:00:00;1949-09-28;0.0;G
1949-09-29 06:00:01;1949-09-30 06:00:00;1949-09-29;0.0;G
1949-09-30 06:00:01;1949-10-01 06:00:00;1949-09-30;0.0;G
1949-10-01 06:00:01;1949-10-02 06:00:00;1949-10-01;0.0;G
1949-10-02 06:00:01;1949-10-03 06:00:00;1949-10-02;0.0;G
1949-10-03 06:00:01;1949-10-04 06:00:00;1949-10-03;0.0;G
1949-10-04 06:00:01;1949-10-05 06:00:00;1949-10-04;0.0;G
1949-10-05 06:00:01;1949-10-06 06:00:00;1949-10-05;0.0;G
1949-10-06 06:00:01;1949-10-07 06:00:00;1949-10-06;0.0;G
1949-10-07 06:00:01;1949-10-08 06:00:00;1949-10-07;1.6;G
1949-10-08 06:00:01;1949-10-09 06:00:00;1949-10-08;3.0;G
1949-10-09 06:00:01;1949-10-10 06:00:00;1949-10-09;0.0;G
1949-10-10 06:00:01;1949-10-11 06:00:00;1949-10-10;0.0;G
1949-10-11 06:00:01;1949-10-12 06:00:00;1949-10-11;0.0;G
1949-10-12 06:00:01;1949-10-13 06:00:00;1949-10-12;1.0;G
1949-10-13 06:00:01;1949-10-14 06:00:00;1949-10-13;0.1;G
1949-10-14 06:00:01;1949-10-15 06:00:00;1949-10-14;0.0;G
1949-10-15 06:00:01;1949-10-16 06:00:00;1949-10-15;0.0;G
1949-10-16 06:00:01;1949-10-17 06:00:00;1949-10-16;0.0;G
1949-10-17 06:00:01;1949-10-18 06:00:00;1949-10-17;0.5;G
1949-10-18 06:00:01;1949-10-19 06:00:00;1949-10-18;9.6;G
1949-10-19 06:00:01;1949-10-20 06:00:00;1949-10-19;0.8;G
1949-10-20 06:00:01;1949-10-21 06:00:00;1949-10-20;2.1;G
1949-10-21 06:00:01;1949-10-22 06:00:00;1949-10-21;16.3;G
1949-10-22 06:00:01;1949-10-23 06:00:00;1949-10-22;1.8;G
1949-10-23 06:00:01;1949-10-24 06:00:00;1949-10-23;23.4;G
1949-10-24 06:00:01;1949-10-25 06:00:00;1949-10-24;12.1;G
1949-10-25 06:00:01;1949-10-26 06:00:00;1949-10-25;5.2;G
1949-10-26 06:00:01;1949-10-27 06:00:00;1949-10-26;71.6;G
1949-10-27 06:00:01;1949-10-28 06:00:00;1949-10-27;3.7;G
1949-10-28 06:00:01;1949-10-29 06:00:00;1949-10-28;0.0;G
1949-10-29 06:00:01;1949-10-30 06:00:00;1949-10-29;0.0;G
1949-10-30 06:00:01;1949-10-31 06:00:00;1949-10-30;0.0;G
1949-10-31 06:00:01;1949-11-01 06:00:00;1949-10-31;0.0;G
